"Date","S154_PHOSPHATE_Ld_mg","S154_C_FLOW_cfd"
"2000-03-20",217989.881169984,1614.7398605184
"2001-07-11",1312082.15494487,37848.5237003328
"2001-07-16",17489100.634742,59084.799441696
"2001-07-25",40589275.4902527,61873.8955644096
"2001-08-08",77176161.3457783,143051.272188653
"2001-08-13",259745194.565575,163773.767065306
"2001-08-15",291397790.16081,183615.494745312
"2001-08-27",48838736.7800866,68210.5262291712
"2001-09-10",109413696.455486,242602.431165158
"2001-09-24",115661907.880007,169841.274419981
"2001-09-26",239738567.693752,215592.237134669
"2001-10-03",52626231.4517098,48637.9218592512
"2001-10-08",190669657.086275,208154.647474099
"2001-10-10",120002769.008679,138892.093760045
"2001-10-22",244901576.068982,369383.975971315
"2001-10-31",146164661.90002,223152.15557255
"2001-11-05",127949319.780133,217231.44275065
"2001-11-07",45400136.014235,158464.698129965
"2002-05-28",102315.789343757,2006.1919479168
"2002-07-08",3510150.86770145,83575.0206595584
"2002-08-28",112986650.91746,143932.039385299
"2002-09-04",66138814.988126,260389.035386323
"2002-09-11",21836200.5310567,33542.5507389504
"2002-12-18",13154551.6709795,101973.268767283
"2002-12-26",38288711.5726124,193377.33117481
"2002-12-30",45907347.8236038,121448.010115354
"2003-01-02",98450689.2958069,244902.212178624
"2003-01-08",58536228.272718,120444.914141395
"2003-01-13",25398585.7866705,117044.174132122
"2003-01-15",22559750.7831017,48515.5930819392
"2003-02-05",13908.7819803744,73.3972663872
"2003-03-19",16219327.9262435,63855.621756864
"2003-06-25",4668555.45733517,24832.741794336
"2003-07-02",14202371.0459232,31560.824546496
"2003-07-08",8654027.02216013,29236.577777568
"2003-07-09",10530452.6031044,28771.7284237824
"2003-07-16",6898168.68413461,26129.4268338432
"2003-07-21",7028815.81830382,26129.4268338432
"2003-07-23",5303808.79791638,27768.632449824
"2003-07-30",4501894.7311253,34105.2631145856
"2003-08-04",2774905.98454541,13089.179172384
"2003-08-13",12181499.644729,31805.48210112
"2003-08-18",205988840.937545,255569.28156023
"2003-08-20",164154552.083323,273135.693982234
"2003-08-27",286390946.702696,368111.75668727
"2003-09-03",177325789.399528,222491.580175066
"2003-09-10",148472247.489478,201181.907167315
"2003-09-15",52272945.9428328,122133.051268301
"2003-09-17",20772013.5657087,39340.9347835392
"2003-09-24",33471404.3220657,89495.7334814592
"2003-10-01",162469032.792251,479259.683752954
"2003-10-09",68133948.414574,140482.367865101
"2003-10-15",48573968.3744725,98327.8712033856
"2003-11-03",2115064.55972448,8563.01441184
"2003-12-03",353285.508877056,2324.246768928
"2004-09-01",40731372.5979783,54020.3880609792
"2004-09-15",421515069.463977,387243.977458867
"2004-09-21",927385127.87165,1031574.11331663
"2004-09-30",957744977.414009,1114953.40793249
"2004-10-04",1900774390.09552,1881954.84167873
"2004-10-06",2705073623.38663,2678290.71622439
"2004-10-13",142109585.260905,140702.559664262
"2004-10-18",109770211.444084,116652.722044723
"2004-10-20",72758563.3750986,77238.3899947968
"2004-11-03",37313702.2859247,50423.9220080064
"2004-11-15",318641.999142298,538.2466201728
"2004-11-17",727440.307163539,1296.6850395072
"2004-12-01",363512.194660339,929.6987075712
"2004-12-22",448530.694892179,2373.1782798528
"2005-02-02",72614.3622124032,685.0411529472
"2005-02-09",6728.08275216,122.328777312
"2005-03-24",36572756.881746,90303.1034117184
"2005-03-30",40259574.9696414,83526.0891486336
