"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1973-06-11",285515366.246208,951717.88748736
"1973-08-13",655584383.370471,2341372.79775168
"1973-08-20",480018122.172288,1600060.40724096
"1973-08-27",523640564.161747,3080238.61271616
"1973-09-04",868974702.513523,1472838.47883648
"1973-09-10",166856452.253568,538246.6201728
"1973-09-17",188655440.370566,1715049.45791424
"1973-09-24",253465226.590464,685041.1529472
"1973-10-08",124579626.814541,327841.12319616
"1973-10-15",65078909.529984,325394.54764992
"1973-10-23",145620176.512205,910126.10320128
"1973-10-29",38166578.521344,254443.85680896
"1973-11-26",32661783.542304,217745.22361536
"1973-12-17",30582194.328,305821.94328
"1974-06-10",4403835.983232,88076.71966464
"1974-07-08",513585138.666701,1604953.55833344
"1974-07-22",593857282.338835,1915668.65270592
"1974-08-05",625711695.95088,1896096.048336
"1974-08-19",676037754.937037,1536449.44303872
"1974-09-03",183199576.902451,572498.67782016
"1974-09-16",15291097.164,305821.94328
"1974-09-30",100113871.352141,910126.10320128
"1974-10-14",89055349.883136,318054.8210112
"1974-10-28",954164.4630336,31805.48210112
"1974-11-12",3963452.3849088,66057.53974848
"1974-11-25",4403835.983232,88076.71966464
"1974-12-09",29970550.44144,599411.0088288
"1974-12-23",155895793.806413,433043.87168448
"1975-01-06",18202522.0640256,303375.36773376
"1975-02-17",15413425.941312,220191.7991616
"1975-03-03",31120440.9481728,259337.00790144
"1975-04-14",3816657.8521344,127221.92840448
"1975-06-25",104126255.247974,548032.92235776
"1975-06-30",11645699.6001024,166367.13714432
"1975-07-08",74865211.714944,249550.70571648
"1975-07-15",125386996.7448,501547.9869792
"1975-07-22",5480329.2235776,17126.02882368
"1975-08-11",231739635.739853,362093.18084352
"1975-08-19",235605225.102912,785350.75034304
"1975-08-25",182783659.05959,589624.70664384
"1975-09-02",19817261.924544,330287.6987424
"1975-09-10",218014346.925446,1147443.93118656
"1975-09-15",18349316.5968,611643.88656
"1975-09-25",258456240.704794,680148.00185472
"1975-09-29",398302498.927872,1076493.2403456
"1975-10-06",242749225.697933,592071.28219008
"1975-10-21",7095069.084096,354753.4542048
"1975-11-04",10960658.4471552,274016.46117888
"1975-12-01",636109.6420224,31805.48210112
"1975-12-15",12037151.6875008,401238.38958336
"1975-12-29",19083289.260672,73397.2663872
"1976-05-17",192423166.711776,1480178.2054752
"1976-06-01",4092435847.70657,7307921.15661888
"1976-06-14",440383598.3232,1223287.77312
"1976-06-28",522197084.589466,1135211.05345536
"1976-07-12",446255379.634176,929698.7075712
"1976-07-26",73397266.3872,733972.663872
"1976-08-09",722693950.603834,663021.97303104
"1976-08-23",201304235.944627,915019.25429376
"1976-09-07",260780487.473722,790243.90143552
"1976-09-20",108334365.187507,200619.19479168
"1976-10-04",158538095.396352,330287.6987424
"1976-10-18",103930529.204275,288695.91445632
"1977-01-24",80639130.0040704,503994.56252544
"1977-02-23",1761534.3932928,19572.60436992
"1977-03-07",2642301.5899392,264230.15899392
"1977-03-21",5822849.8000512,291142.49000256
"1977-05-31",31169372.4590976,445276.74941568
"1977-09-06",918640186.102195,2551778.29472832
"1977-09-19",308904628.468262,523567.16689536
"1977-10-03",113349845.057299,276463.03672512
"1977-10-17",52160990.6458368,401238.38958336
"1977-12-05",123307407.530496,440383.5983232
"1977-12-19",796360340.30112,2275315.2580032
"1978-01-04",99037378.1117952,450169.90050816
"1978-01-16",98499131.4916224,447723.32496192
"1978-01-30",38753756.6524416,176153.43932928
"1978-02-13",92969870.75712,489315.109248
"1978-02-27",102168994.810982,638556.21756864
"1978-03-13",272059200.741888,1360296.00370944
"1978-03-27",19964056.4573184,124775.35285824
"1978-04-24",37106395.7846401,318054.8210112
"1978-05-08",15242165.6530752,217745.22361536
"1978-05-22",195726.0436992,4893.15109248
"1978-06-05",6238767.642912,207958.9214304
"1978-07-05",50595182.2962432,229978.10134656
"1978-07-17",110707543.46736,442830.17386944
"1978-07-31",135295627.707072,966397.3407648
"1978-08-14",165951219.301459,325394.54764992
"1978-08-28",256205391.202253,457509.62714688
"1978-09-11",451319791.014893,1157230.23337152
"1978-09-25",1304440683.98878,2987268.74195904
"1978-10-09",199469304.284947,643449.36866112
"1978-10-23",113888091.677472,325394.54764992
"1978-11-20",94193158.53024,376772.63412096
"1978-12-04",3767726.3412096,53824.66201728
"1978-12-19",2789096.1227136,92969.87075712
"1979-01-08",184569659.208346,802476.77916672
"1979-01-22",139748395.201229,873427.47000768
"1979-02-05",83183568.57216,415917.8428608
"1979-02-20",49176168.479424,491761.68479424
"1979-03-05",24465755.4624,305821.94328
"1979-04-16",685041.152947199,29358.90655488
"1979-05-14",544314127.527475,2267975.53136448
"1979-05-29",46925318.9768832,335180.84983488
"1979-06-11",72027184.0813056,313161.66991872
"1979-07-09",500887411.581715,848961.71454528
"1979-07-23",556351279.214976,927252.13202496
"1979-08-06",6850411.529472,34252.05764736
"1979-08-20",128273955.889363,261783.58344768
"1979-09-05",2770012833.45293,9233376.11150976
"1979-09-18",968452464.223642,3026413.95069888
"1979-10-01",964978326.947981,3711455.10364608
"1979-10-15",93801706.4428416,173706.86378304
"1979-10-29",214890885.478079,207958.9214304
"1979-11-13",54069319.571904,207958.9214304
"1979-11-27",5945178.5773632,198172.61924544
"1979-12-11",183199576.902451,254443.85680896
"1980-01-22",440383.5983232,14679.45327744
"1980-02-05",167688287.93929,364539.75638976
"1980-02-19",299901230.458099,1666117.94698944
"1980-03-04",168520123.625011,802476.77916672
"1980-04-02",137252888.144064,1247753.5285824
"1980-05-13",26447481.6548544,114989.05067328
"1980-05-28",9786302.18496,195726.0436992
"1980-08-04",12673261.3295232,17126.02882368
"1980-08-20",8073699.302592,73397.2663872
"1980-09-03",2320919426.18511,1507090.53648384
"1980-09-17",540693195.71904,415917.8428608
"1980-10-01",633956655.541709,386558.93630592
"1980-10-14",73299403.3653504,261783.58344768
"1980-10-29",15070905.3648384,34252.05764736
"1980-11-12",4697425.0487808,39145.20873984
"1980-12-02",134072339.933952,335180.84983488
"1981-01-14",32539454.764992,232424.6768928
"1981-02-24",228608019.040666,156580.83495936
"1981-06-17",1296685.0395072,129668.50395072
"1981-07-28",5651589.5118144,188386.31706048
"1981-08-12",728688060.692122,1071600.08925312
"1981-08-25",327645397.152461,455063.05160064
"1981-09-10",1462464998.52042,2285101.56018816
"1981-09-23",681126632.073216,1702816.58018304
"1981-12-02",3327342.7428864,83183.56857216
"1982-03-09",120860831.984256,232424.6768928
"1982-04-05",159320999.571149,362093.18084352
"1982-04-19",164091821.886317,863641.16782272
"1982-05-04",99820282.286592,415917.8428608
"1982-05-18",3523068.7865856,88076.71966464
"1982-06-01",243091746.274406,1012882.27614336
"1982-07-01",264817337.125018,645895.94420736
"1982-07-12",785840065.452288,1428800.11900416
"1982-07-27",106939817.12615,344967.15201984
"1982-08-25",277148077.878067,577391.82891264
"1982-09-09",339266630.997101,692380.87958592
"1982-09-21",183493165.968,305821.94328
"1982-10-05",337725288.40297,1164569.96001024
"1982-10-20",83966472.7469568,215298.64806912
"1982-11-01",23682851.2876032,215298.64806912
"1982-11-22",89275541.6822976,217745.22361536
"1983-02-01",83159102.8166976,251997.28126272
"1983-02-17",426829569.79703,3283304.38305408
"1983-03-02",179064864.229306,1377422.03253312
"1983-03-15",64222608.0888,305821.94328
"1983-03-29",88076719.66464,587178.1310976
"1983-04-15",2201917.991616,110095.8995808
"1983-06-21",28820659.9347072,92969.87075712
"1983-08-02",105692063.597568,234871.25243904
"1983-08-30",128371818.911213,242210.97907776
"1983-09-12",55659593.67696,85630.1441184
"1983-10-10",66155402.7703296,127221.92840448
"1983-10-25",401483047.137984,2676553.64758656
"1983-11-08",153277957.971936,437937.02277696
