"Date","S191_NITRATE+NITRITE-N_mg/L","S191_S_FLOW_cfs"
"1973-06-11",0.354,951717.88748736
"1973-08-13",0.212,2341372.79775168
"1973-08-20",0.117,1600060.40724096
"1973-08-27",0.129,3080238.61271616
"1973-09-04",0.038,1472838.47883648
"1973-09-10",0.161,538246.6201728
"1973-09-17",0.044,1715049.45791424
"1973-09-24",0.168,685041.1529472
"1973-10-08",0.576,327841.12319616
"1973-10-15",0.244,325394.54764992
"1973-10-23",0.332,910126.10320128
"1973-10-29",0.44,254443.85680896
"1973-11-26",0.368,217745.22361536
"1973-12-17",0.706,305821.94328
"1974-06-10",0.039,88076.71966464
"1974-06-24",0.008,139454.80613568
"1974-07-08",0.095,1604953.55833344
"1974-07-22",0.068,1915668.65270592
"1974-08-05",0.117,1896096.048336
"1974-08-19",0.233,1536449.44303872
"1974-09-03",0.162,572498.67782016
"1974-09-16",0.367,305821.94328
"1974-09-30",0.513,910126.10320128
"1974-10-14",0.454,318054.8210112
"1974-10-28",0.52,31805.48210112
"1974-11-12",0.66,66057.53974848
"1974-11-25",0.991,88076.71966464
"1974-12-09",1.049,599411.0088288
"1974-12-23",1.026,433043.87168448
"1975-01-06",0.833,303375.36773376
"1975-02-17",0.641,220191.7991616
"1975-03-03",0.503,259337.00790144
"1975-04-14",0.06,127221.92840448
"1975-06-30",0.009,166367.13714432
"1975-07-15",0.175,501547.9869792
"1975-07-22",0.133,17126.02882368
"1975-08-11",0.274,362093.18084352
"1975-08-19",0.323,785350.75034304
"1975-08-25",0.44,589624.70664384
"1975-09-02",0.647,330287.6987424
"1975-09-10",0.84,1147443.93118656
"1975-09-15",0.677,611643.88656
"1975-09-25",0.21,680148.00185472
"1975-09-29",0.263,1076493.2403456
"1975-10-06",0.246,592071.28219008
"1975-10-21",0.904,354753.4542048
"1975-11-04",0.667,274016.46117888
"1975-12-01",1.368,31805.48210112
"1975-12-15",1.706,401238.38958336
"1975-12-29",1.698,73397.2663872
"1976-03-08",1.058,269123.3100864
"1976-05-17",0.119,1480178.2054752
"1976-06-01",0.147,7307921.15661888
"1976-06-14",0.109,1223287.77312
"1976-06-28",0.142,1135211.05345536
"1976-07-12",0.176,929698.7075712
"1976-07-26",0.142,733972.663872
"1976-08-09",0.203,663021.97303104
"1976-08-23",0.136,915019.25429376
"1976-09-07",0.258,790243.90143552
"1976-09-20",0.092,200619.19479168
"1976-10-04",0.217,330287.6987424
"1976-10-18",0.53,288695.91445632
"1976-12-27",1.14,342520.5764736
"1977-01-24",0.656,503994.56252544
"1977-02-23",0.738,19572.60436992
"1977-03-07",0.606,264230.15899392
"1977-03-21",0.244,291142.49000256
"1977-05-31",0.015,445276.74941568
"1977-09-06",0.077,2551778.29472832
"1977-09-19",0.005,523567.16689536
"1977-10-03",0.13,276463.03672512
"1977-10-17",0.592,401238.38958336
"1977-12-05",0.302,440383.5983232
"1977-12-19",0.197,2275315.2580032
"1978-01-04",0.498,450169.90050816
"1978-01-16",0.784,447723.32496192
"1978-01-30",0.726,176153.43932928
"1978-02-13",0.96,489315.109248
"1978-02-27",0.855,638556.21756864
"1978-03-13",0.234,1360296.00370944
"1978-03-27",0.41,124775.35285824
"1978-04-24",0.644,318054.8210112
"1978-05-08",0.353,217745.22361536
"1978-05-22",0.666,4893.15109248
"1978-06-05",0.531,207958.9214304
"1978-07-05",0.227,229978.10134656
"1978-07-17",0.153,442830.17386944
"1978-07-31",0.101,966397.3407648
"1978-08-14",0.175,325394.54764992
"1978-08-28",0.221,457509.62714688
"1978-09-11",0.273,1157230.23337152
"1978-09-25",0.598666666666667,2987268.74195904
"1978-10-09",0.261,643449.36866112
"1978-10-23",1.051,325394.54764992
"1978-11-20",1.238,376772.63412096
"1978-12-04",0.607,53824.66201728
"1978-12-19",1.702,92969.87075712
"1979-01-08",0.557,802476.77916672
"1979-01-22",0.273,873427.47000768
"1979-02-05",0.502,415917.8428608
"1979-02-20",0.631,491761.68479424
"1979-03-05",0.981,305821.94328
"1979-04-16",0.796666666666667,29358.90655488
"1979-05-14",0.246,2267975.53136448
