"Date","S191_NITRATE+NITRITE-N_mg/L","S191_PHOSPHATE, TOTAL AS P_mg/L","S191_AMMONIA-N_mg/L","S191_S_FLOW_cfs"
"1973-06-11",0.354,0.93,0.3,951717.88748736
"1973-08-13",0.212,0.83,0.28,2341372.79775168
"1973-08-20",0.117,1.38,0.3,1600060.40724096
"1973-08-27",0.129,0.712,0.17,3080238.61271616
"1973-09-04",0.038,0.4,0.59,1472838.47883648
"1973-09-10",0.161,1.008,0.31,538246.6201728
"1973-09-17",0.044,0.434,0.11,1715049.45791424
"1973-09-24",0.168,0.876,0.37,685041.1529472
"1973-10-08",0.576,0.588,0.38,327841.12319616
"1973-10-15",0.244,0.92,0.2,325394.54764992
"1973-10-23",0.332,1.06,0.16,910126.10320128
"1973-10-29",0.44,0.924,0.15,254443.85680896
"1973-11-26",0.368,0.324,0.15,217745.22361536
"1973-12-17",0.706,0.501,0.1,305821.94328
"1974-06-10",0.039,0.418,0.05,88076.71966464
"1974-07-22",0.068,0.98,0.31,1915668.65270592
"1974-08-19",0.233,0.95,0.44,1536449.44303872
"1974-09-03",0.162,0.74,0.32,572498.67782016
"1974-09-16",0.367,0.34,0.05,305821.94328
"1974-09-30",0.513,1.11,0.11,910126.10320128
"1974-10-14",0.454,0.672,0.28,318054.8210112
"1974-10-28",0.52,0.66,0.03,31805.48210112
"1974-11-12",0.66,0.46,0.06,66057.53974848
"1974-11-25",0.991,0.695,0.05,88076.71966464
"1975-01-06",0.833,0.624,0.06,303375.36773376
"1975-02-17",0.641,0.481,0.07,220191.7991616
"1975-04-14",0.06,0.442,0.03,127221.92840448
"1975-06-30",0.009,0.801,0.07,166367.13714432
"1975-07-15",0.175,1.009,0.25,501547.9869792
"1975-07-22",0.133,0.667,0.32,17126.02882368
"1975-08-11",0.274,1.18,0.64,362093.18084352
"1975-08-19",0.323,1.22,0.3,785350.75034304
"1975-08-25",0.44,1.004,0.31,589624.70664384
"1975-09-02",0.647,1.158,0.06,330287.6987424
"1975-09-10",0.84,1.197,0.19,1147443.93118656
"1975-09-15",0.677,1.181,0.03,611643.88656
"1975-09-25",0.21,0.784,0.38,680148.00185472
"1975-09-29",0.263,0.868,0.37,1076493.2403456
"1975-10-06",0.246,1.012,0.41,592071.28219008
"1975-10-21",0.904,1.064,0.02,354753.4542048
"1975-11-04",0.667,0.795,0.04,274016.46117888
"1975-12-01",1.368,0.875,0.02,31805.48210112
"1975-12-15",1.706,0.993,0.03,401238.38958336
"1976-05-17",0.119,1.366,0.13,1480178.2054752
"1976-06-14",0.109,0.966,0.36,1223287.77312
"1976-06-28",0.142,0.908,0.46,1135211.05345536
"1976-07-12",0.176,0.839,0.48,929698.7075712
"1976-07-26",0.142,0.744,0.1,733972.663872
"1976-08-09",0.203,0.729,1.09,663021.97303104
"1976-08-23",0.136,1.017,0.22,915019.25429376
"1976-09-07",0.258,0.622,0.33,790243.90143552
"1976-09-20",0.092,0.826,0.54,200619.19479168
"1976-10-04",0.217,0.776,0.48,330287.6987424
"1976-10-18",0.53,0.755,0.36,288695.91445632
"1977-01-24",0.656,0.845,0.16,503994.56252544
"1977-03-07",0.606,0.944,0.01,264230.15899392
"1977-03-21",0.244,0.852,0.02,291142.49000256
"1977-05-31",0.015,0.903,0.07,445276.74941568
"1977-09-06",0.077,1.063,0.36,2551778.29472832
"1977-09-19",0.005,1.168,0.59,523567.16689536
"1977-10-03",0.13,0.902,0.41,276463.03672512
"1977-10-17",0.592,1.143,0.13,401238.38958336
"1977-12-05",0.302,1.091,0.28,440383.5983232
"1977-12-19",0.197,0.872,0.35,2275315.2580032
"1978-01-04",0.498,1.04,0.22,450169.90050816
"1978-01-16",0.784,1.081,0.22,447723.32496192
"1978-01-30",0.726,0.901,0.22,176153.43932928
"1978-02-13",0.96,1.045,0.19,489315.109248
"1978-02-27",0.855,1.087,0.16,638556.21756864
"1978-03-13",0.234,0.979,0.2,1360296.00370944
"1978-03-27",0.41,1.295,0.16,124775.35285824
"1978-04-24",0.644,1.15033333333333,0.116666666666667,318054.8210112
"1978-05-08",0.353,1.125,0.07,217745.22361536
"1978-05-22",0.666,1.333,0.04,4893.15109248
"1978-06-05",0.531,1.334,0.03,207958.9214304
"1978-07-05",0.227,1.354,0.22,229978.10134656
"1978-07-17",0.153,1.111,0.25,442830.17386944
"1978-07-31",0.101,0.825,0.14,966397.3407648
"1978-08-14",0.175,0.951,0.51,325394.54764992
"1978-09-11",0.273,0.92,0.39,1157230.23337152
"1978-09-25",0.598666666666667,1.2235,0.436666666666667,2987268.74195904
"1978-10-09",0.261,0.779,0.31,643449.36866112
"1978-10-23",1.051,1.082,0.35,325394.54764992
"1978-11-20",1.238,1.051,0.25,376772.63412096
"1978-12-04",0.607,1.181,0.07,53824.66201728
"1978-12-19",1.702,1.241,0.03,92969.87075712
"1979-01-08",0.557,0.939,0.23,802476.77916672
"1979-01-22",0.273,1.021,0.16,873427.47000768
"1979-02-05",0.502,0.861,0.2,415917.8428608
"1979-02-20",0.631,0.93,0.1,491761.68479424
"1979-03-05",0.981,1.061,0.08,305821.94328
"1979-04-16",0.796666666666667,0.989333333333333,0.0233333333333333,29358.90655488
"1979-05-14",0.246,1.168,0.24,2267975.53136448
"1979-06-11",0.134,1.117,0.23,313161.66991872
"1979-07-23",0.105,1.067,0.6,927252.13202496
"1979-08-06",0.279,1.519,0.2,34252.05764736
"1979-08-20",0.006,1.133,0.49,261783.58344768
"1979-09-05",0.081,0.834,0.3,9233376.11150976
"1979-09-18",0.008,1.115,0.32,3026413.95069888
