"Date","S191_NITRATE_NITRITE_N_Ld_mg","S191_PHOSPHATE_Ld_mg","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfs"
"1973-06-11",336908132.170525,885097635.363245,285515366.246208,951717.88748736
"1973-08-13",496371033.123356,1943339422.13389,655584383.370471,2341372.79775168
"1973-08-20",187207067.647192,2208083361.99252,480018122.172288,1600060.40724096
"1973-08-27",397350781.040385,2193129892.25391,523640564.161747,3080238.61271616
"1973-09-04",55967862.1957862,589135391.534592,868974702.513523,1472838.47883648
"1973-09-10",86657705.8478208,542552593.134182,166856452.253568,538246.6201728
"1973-09-17",75462176.1482266,744331464.73478,188655440.370566,1715049.45791424
"1973-09-24",115086913.69513,600096049.981747,253465226.590464,685041.1529472
"1973-10-08",188836486.960988,192770580.439342,124579626.814541,327841.12319616
"1973-10-15",79396269.6265805,299362983.837926,65078909.529984,325394.54764992
"1973-10-23",302161866.262825,964733669.393357,145620176.512205,910126.10320128
"1973-10-29",111955296.995942,235106123.691479,38166578.521344,254443.85680896
"1973-11-26",80130242.2904525,70549452.4513766,32661783.542304,217745.22361536
"1973-12-17",215910291.95568,153216793.58328,30582194.328,305821.94328
"1974-06-10",3434992.06692096,36816068.8198195,4403835.983232,88076.71966464
"1974-07-22",130265468.384003,1877355279.6518,593857282.338835,1915668.65270592
"1974-08-19",357992720.228022,1459626970.88678,676037754.937037,1536449.44303872
"1974-09-03",92744785.8068659,423649021.586918,183199576.902451,572498.67782016
"1974-09-16",112236653.18376,103979460.7152,15291097.164,305821.94328
"1974-09-30",466894690.942257,1010239974.55342,100113871.352141,910126.10320128
"1974-10-14",144396888.739085,213732839.719526,89055349.883136,318054.8210112
"1974-10-28",16538850.6925824,20991618.1867392,954164.4630336,31805.48210112
"1974-11-12",43597976.2339968,30386468.2843008,3963452.3849088,66057.53974848
"1974-11-25",87284029.1876582,61213320.1669248,4403835.983232,88076.71966464
"1975-01-06",252711681.322222,189306229.465866,18202522.0640256,303375.36773376
"1975-02-17",141142943.262586,105912255.39673,15413425.941312,220191.7991616
"1975-04-14",7633315.7042688,56232092.3547802,3816657.8521344,127221.92840448
"1975-06-30",1497304.23429888,133260076.8526,11645699.6001024,166367.13714432
"1975-07-15",87770897.72136,506061918.862013,125386996.7448,501547.9869792
"1975-07-22",2277761.83354944,11423061.2253946,5480329.2235776,17126.02882368
"1975-08-11",99213531.5511245,427269953.395354,231739635.739853,362093.18084352
"1975-08-19",253668292.360802,958127915.418509,235605225.102912,785350.75034304
"1975-08-25",259434870.92329,591983205.470415,182783659.05959,589624.70664384
"1975-09-02",213696141.086333,382473155.143699,19817261.924544,330287.6987424
"1975-09-10",963852902.19671,1373490385.63031,218014346.925446,1147443.93118656
"1975-09-15",414082911.20112,722351430.02736,18349316.5968,611643.88656
"1975-09-25",142831080.389491,533236033.4541,258456240.704794,680148.00185472
"1975-09-29",283117722.210893,934396132.619981,398302498.927872,1076493.2403456
"1975-10-06",145649535.41876,599176137.576361,242749225.697933,592071.28219008
"1975-10-21",320697122.601139,377457675.273907,7095069.084096,354753.4542048
"1975-11-04",182768979.606313,217843086.63721,10960658.4471552,274016.46117888
"1975-12-01",43509899.5143322,27829796.83848,636109.6420224,31805.48210112
"1975-12-15",684512692.629212,398429720.856276,12037151.6875008,401238.38958336
"1976-05-17",176141206.451549,2021923428.67912,192423166.711776,1480178.2054752
"1976-06-14",133338367.27008,1181695988.83392,440383598.3232,1223287.77312
"1976-06-28",161199969.590661,1030771636.53747,522197084.589466,1135211.05345536
"1976-07-12",163626972.532531,780017215.652237,446255379.634176,929698.7075712
"1976-07-26",104224118.269824,546075661.920768,73397266.3872,733972.663872
"1976-08-09",134593460.525301,483343018.339628,722693950.603834,663021.97303104
"1976-08-23",124442618.583951,930574581.616754,201304235.944627,915019.25429376
"1976-09-07",203882926.570364,491531706.692893,260780487.473722,790243.90143552
"1976-09-20",18456965.9208346,165711454.897928,108334365.187507,200619.19479168
"1976-10-04",71672430.6271008,256303254.224102,158538095.396352,330287.6987424
"1976-10-18",153008834.66185,217965415.414522,103930529.204275,288695.91445632
"1977-01-24",330620433.016689,425875405.333997,80639130.0040704,503994.56252544
"1977-03-07",160123476.350316,249433270.09026,2642301.5899392,264230.15899392
"1977-03-21",71038767.5606246,248053401.482181,5822849.8000512,291142.49000256
"1977-05-31",6679151.2412352,402084904.722359,31169372.4590976,445276.74941568
"1977-09-06",196486928.694081,2712540327.2962,918640186.102195,2551778.29472832
"1977-09-19",2617835.8344768,611526450.93378,308904628.468262,523567.16689536
"1977-10-03",35940194.7742656,249369659.126058,113349845.057299,276463.03672512
"1977-10-17",237533126.633349,458615479.29378,52160990.6458368,401238.38958336
"1977-12-05",132995846.693606,480458505.770611,123307407.530496,440383.5983232
"1977-12-19",448237105.82663,1984074904.97879,796360340.30112,2275315.2580032
"1978-01-04",224184610.453064,468176696.528486,99037378.1117952,450169.90050816
"1978-01-16",351015086.770145,483988914.283836,98499131.4916224,447723.32496192
"1978-01-30",127887396.953057,158714248.835681,38753756.6524416,176153.43932928
"1978-02-13",469742504.87808,511334289.16416,92969870.75712,489315.109248
"1978-02-27",545965566.021187,694110608.497112,102168994.810982,638556.21756864
"1978-03-13",318309264.868009,1331729787.63154,272059200.741888,1360296.00370944
"1978-03-27",51157894.6718784,161584081.951421,19964056.4573184,124775.35285824
"1978-04-24",204827304.731213,365869062.436549,37106395.7846401,318054.8210112
"1978-05-08",76864063.9362221,244963376.56728,15242165.6530752,217745.22361536
"1978-05-22",3258838.62759168,6522570.40627584,195726.0436992,4893.15109248
"1978-06-05",110426187.279542,277417201.188154,6238767.642912,207958.9214304
"1978-07-05",52205029.0056691,311390349.223242,50595182.2962432,229978.10134656
"1978-07-17",67753016.6020243,491984323.168948,110707543.46736,442830.17386944
"1978-07-31",97606131.4172448,797277806.13096,135295627.707072,966397.3407648
"1978-08-14",56944045.838736,309450214.815074,165951219.301459,325394.54764992
"1978-09-11",315923853.710425,1064651814.7018,451319791.014893,1157230.23337152
"1978-09-25",1788378220.18615,3654923305.78689,1304440683.98878,2987268.74195904
"1978-10-09",167940285.220552,501247058.187012,199469304.284947,643449.36866112
"1978-10-23",341989669.580066,352076900.557213,113888091.677472,325394.54764992
"1978-11-20",466444521.041749,395988038.461129,94193158.53024,376772.63412096
"1978-12-04",32671569.844489,63566925.8424077,3767726.3412096,53824.66201728
"1978-12-19",158234720.028618,115375609.609586,2789096.1227136,92969.87075712
"1979-01-08",446979565.995863,753525695.63755,184569659.208346,802476.77916672
"1979-01-22",238445699.312097,891769446.877841,139748395.201229,873427.47000768
"1979-02-05",208790757.116122,358105262.703149,83183568.57216,415917.8428608
"1979-02-20",310301623.105165,457338366.858643,49176168.479424,491761.68479424
"1979-03-05",300011326.35768,324477081.82008,24465755.4624,305821.94328
"1979-04-16",23389262.2220544,29045744.8849613,685041.152947199,29358.90655488
"1979-05-14",557921980.715662,2648995420.63371,544314127.527475,2267975.53136448
"1979-06-11",41963663.7691085,349801585.29921,72027184.0813056,313161.66991872
"1979-07-23",97361473.8626208,989378024.870632,556351279.214976,927252.13202496
"1979-08-06",9556324.08361344,52028875.5663398,6850411.529472,34252.05764736
"1979-08-20",1570701.50068608,296600800.046221,128273955.889363,261783.58344768
"1979-09-05",747903465.032291,7700635676.99914,2770012833.45293,9233376.11150976
"1979-09-18",24211311.605591,3374451555.02925,968452464.223642,3026413.95069888
"1979-10-01",553006810.443266,3113910831.95906,964978326.947981,3711455.10364608
"1979-10-29",181686777.689693,197699614.639834,214890885.478079,207958.9214304
"1979-11-13",332526315.36721,182587933.015891,54069319.571904,207958.9214304
"1979-11-27",272883696.700971,128614029.890291,5945178.5773632,198172.61924544
"1979-12-11",380139122.072586,248337204.245545,183199576.902451,254443.85680896
"1980-01-22",20698029.1211904,16719897.2830042,440383.5983232,14679.45327744
"1980-02-05",379485886.40174,419585259.604614,167688287.93929,364539.75638976
"1980-02-19",1271247993.55294,1542825218.91222,299901230.458099,1666117.94698944
"1980-03-04",445374612.43753,669265633.825045,168520123.625011,802476.77916672
"1980-05-13",61289164.0088582,125913010.487242,26447481.6548544,114989.05067328
"1980-05-28",115282639.738829,224497772.122982,9786302.18496,195726.0436992
"1980-08-20",8660877.4336896,46240277.823936,8073699.302592,73397.2663872
"1980-09-03",456648432.554604,1689448491.39838,2320919426.18511,1507090.53648384
"1980-09-17",53237483.8861824,408847239.532166,540693195.71904,415917.8428608
"1980-10-01",54891368.9554406,337465951.395068,633956655.541709,386558.93630592
"1980-10-14",215186105.593993,210735784.675382,73299403.3653504,261783.58344768
"1980-10-29",21339031.9143053,29182753.1155507,15070905.3648384,34252.05764736
"1980-11-12",34095476.8124006,34721800.1522381,4697425.0487808,39145.20873984
"1980-12-02",365347126.320019,342554828.531247,134072339.933952,335180.84983488
"1981-01-14",357469153.061126,36025824.918384,32539454.764992,232424.6768928
"1981-02-24",174900792.649605,191028618.650419,228608019.040666,156580.83495936
"1981-07-28",2072249.48766528,196486928.694081,5651589.5118144,188386.31706048
"1981-08-12",259327221.599255,1793858549.40972,728688060.692122,1071600.08925312
"1981-09-10",123395484.250161,3295116449.79133,1462464998.52042,2285101.56018816
"1981-09-23",279261919.150019,1673868698.31993,681126632.073216,1702816.58018304
"1981-12-02",96492939.5437056,102149422.206612,3327342.7428864,83183.56857216
"1982-04-05",232825915.282383,532276975.839974,159320999.571149,362093.18084352
"1982-04-19",621821640.832358,963823543.290156,164091821.886317,863641.16782272
"1982-05-04",297381257.645472,407599486.003584,99820282.286592,415917.8428608
"1982-05-18",60068322.8112845,72927523.8823219,3523068.7865856,88076.71966464
"1982-06-01",273478214.558707,587471720.163149,243091746.274406,1012882.27614336
"1982-07-01",23252253.991465,656876175.258885,264817337.125018,645895.94420736
"1982-07-12",220035218.326641,1207336100.55852,785840065.452288,1428800.11900416
"1982-07-27",108664652.88625,226643418.877035,106939817.12615,344967.15201984
"1982-08-25",167443630.384666,452675193.86751,277148077.878067,577391.82891264
"1982-09-09",549058037.511635,530363753.762815,339266630.997101,692380.87958592
"1982-09-21",95110624.36008,204289058.11104,183493165.968,305821.94328
"1982-10-05",203799743.001792,857123490.567537,337725288.40297,1164569.96001024
"1982-10-20",58130634.9786624,140805315.837204,83966472.7469568,215298.64806912
"1982-11-01",179343773.841577,146618379.335071,23682851.2876032,215298.64806912
"1982-11-22",162873427.264289,194228739.464901,89275541.6822976,217745.22361536
"1983-02-01",192021928.322193,223017593.917507,83159102.8166976,251997.28126272
"1983-02-17",548311831.970031,2551127505.63302,426829569.79703,3283304.38305408
"1983-03-02",207990726.912501,1176318415.78328,179064864.229306,1377422.03253312
"1983-03-15",122022955.36872,250162349.60304,64222608.0888,305821.94328
"1983-03-29",115086913.69513,376381182.033562,88076719.66464,587178.1310976
"1983-04-15",49212867.1126176,85324322.17512,2201917.991616,110095.8995808
"1983-06-21",3068005.73498496,71028981.2584397,28820659.9347072,92969.87075712
"1983-08-02",25835837.7682944,144210948.997571,105692063.597568,234871.25243904
"1983-08-30",21072355.1797651,156952714.442389,128371818.911213,242210.97907776
"1983-09-12",599411.0088288,55231442.956368,55659593.67696,85630.1441184
"1983-10-10",23663278.6832333,100632545.367944,66155402.7703296,127221.92840448
"1983-10-25",270331918.406243,2106447720.65062,401483047.137984,2676553.64758656
"1983-11-08",148460650.721389,285972875.873355,153277957.971936,437937.02277696
"1983-12-20",468876417.134711,364373389.252616,46240277.823936,462402.77823936
"1984-01-04",319439582.770372,284942867.568388,103490145.605952,344967.15201984
"1984-01-31",174771124.145654,162366986.126218,20673563.365728,159027.4105056
"1984-02-14",224642120.080211,225087396.829626,20037453.7237056,222638.37470784
"1984-02-29",823321602.820685,3153146563.99411,455454503.688038,3503496.18221568
"1984-07-31",155602204.740864,1024640518.21859,15560220.4740864,778011.02370432
"1984-08-13",22087684.0314547,151330483.837129,28355810.5809216,149241.10832064
"1984-09-25",54676070.3073715,188288454.03863,56124443.0307456,181046.59042176
"1984-10-09",47561428.6189056,212705277.990106,27890961.227136,146794.5327744
"1984-12-04",74784474.7219181,105339756.718909,45579702.4264512,168813.71269056
"1985-01-15",219685358.023528,174391904.935987,14532658.7446656,242210.97907776
"1985-02-26",41836441.840704,23780714.3094528,1834931.65968,36698.6331936
"1985-07-30",38401449.773783,129120471.028362,17615343.932928,176153.43932928
"1985-08-27",34252057.64736,362704824.73008,152910971.64,305821.94328
"1985-09-09",236508011.479475,1006587237.26288,205659140.416934,1142550.78009408
"1985-09-24",624708599.976922,1890662204.0478,312354299.988461,1837378.23522624
"1985-10-08",165975685.056922,446059653.590477,278787283.494048,648342.5197536
"1985-11-05",189340481.523514,126632303.697836,19107755.0161344,173706.86378304
"1985-12-03",15344921.8260173,13642105.2458342,587178.1310976,19572.60436992
"1986-01-14",48222004.0163904,35098572.786359,11890357.1547264,44038.35983232
"1986-02-12",108928883.045244,115099146.572861,2373178.2798528,237317.82798528
"1986-03-11",14317360.0965965,98548063.0025472,11156384.4908544,185939.74151424
"1986-06-17",67158498.744288,597710638.824163,74620554.16032,746205.5416032
"1986-06-23",284641938.7762,1812288602.99955,737202143.593037,2047783.73220288
"1986-07-01",75697047.4006656,1420941718.34964,454182284.403994,1081386.39143808
"1986-07-15",41493921.2642304,904254321.890304,422768254.390272,782904.1747968
"1986-07-29",251165445.576998,1101154721.8517,354753454.2048,1419013.8168192
"1986-08-14",207332598.090563,591369115.008309,243458732.606342,785350.75034304
"1986-08-26",123498240.423103,570575669.440815,48295401.2827776,689934.30403968
"1986-09-09",267767907.233783,810540692.167127,253293966.302227,1206161.74429632
"1986-09-23",135892592.140355,479254790.601861,223029826.795238,518674.01580288
"1986-10-07",19450275.592608,28551536.6246208,8807671.966464,36698.6331936
"1986-10-21",32196934.1885184,53159193.4687027,23976440.353152,68504.11529472
"1986-11-04",172821203.435301,199684602.933016,134316997.488576,447723.32496192
"1986-11-18",91286626.7813069,181535905.531008,51867401.580288,259337.00790144
"1986-12-03",38430808.6803379,51994623.5086925,10275617.294208,68504.11529472
"1986-12-18",193489873.649937,186296941.543991,55145812.8122496,239764.40353152
"1987-01-07",312305368.477536,680735179.985818,181046590.42176,905232.9521088
"1987-01-22",90841350.0318912,209050094.124023,91991240.538624,229978.10134656
"1987-02-03",39781318.3818624,36502907.1499008,5382466.201728,48931.5109248
"1987-02-18",23120138.911968,14070255.9664262,1321150.7949696,22019.17991616
"1987-03-03",197531616.452325,116740798.764388,9663973.407648,193279.46815296
"1987-03-17",9042543.21890304,13231080.5540659,1565808.3495936,19572.60436992
"1987-03-31",311507784.849462,693750961.891814,176838480.482227,1360296.00370944
"1987-04-14",24661481.5060992,61144816.0516301,8611945.9227648,78290.41747968
"1987-04-28",17747459.012425,43891565.2995456,636109.6420224,63610.96420224
"1987-05-11",6028362.14593536,35901049.5655258,1614739.8605184,53824.66201728
"1987-05-26",5592871.69870464,29197432.5688282,440383.5983232,44038.35983232
"1987-06-10",47796299.8713446,174347866.576155,8147096.5689792,271569.88563264
"1987-08-04",2245956.35144832,85742686.593527,3963452.3849088,132115.07949696
"1987-10-13",212947488.969183,808204212.520468,24906139.0607232,1245306.95303616
"1987-11-10",118316393.416166,820581438.208896,236632786.832333,763331.57042688
"1987-11-12",91501925.429376,447111681.07536,58228498.000512,415917.8428608
"1987-11-13",67947519.3579504,421668518.682237,23633919.7766784,393898.66294464
"1987-11-15",48650154.7369824,244437362.824838,21358604.5186752,237317.82798528
"1987-11-17",49124790.392953,257489843.364029,47463565.597056,237317.82798528
"1987-11-19",800128066.64233,1808508643.78061,137008230.58944,2740164.6117888
"1987-11-20",1691180666.88512,2854913898.05855,167443630.384666,4186090.75961664
"1987-11-21",1228851285.91215,2859310394.31514,240278184.39623,3432545.49137472
"1987-11-22",628867778.40553,1654521178.90026,411758664.432192,1871630.2928736
"1987-11-23",286151475.88823,1229785877.77081,159712451.658547,1330937.09715456
"1987-11-24",262135890.326339,1021406145.34646,144347957.22816,1154783.65782528
"1987-11-26",165209906.910948,796257584.128178,72222910.1250048,902786.37656256
"1987-11-28",108202250.10801,534471554.104952,71342142.9283584,594517.85773632
"1987-11-30",81265453.3439078,405692380.36529,44442044.7974496,423257.56949952
"1987-12-02",45447587.3469542,223450637.789192,27352714.6069632,210405.49697664
"1987-12-03",55057736.092585,254642029.428205,33224495.9179392,237317.82798528
"1987-12-06",1316257.64387712,5088877.1361792,636109.6420224,4893.15109248
"1987-12-08",43270135.1108006,165476583.645489,25346522.6590464,181046.59042176
"1987-12-09",65176772.5518336,175859850.263731,21529864.806912,195726.0436992
"1987-12-10",72900611.5513133,179510140.978721,18275919.3304128,203065.77033792
"1987-12-13",20482730.4731213,44960718.8132525,4501699.0050816,56271.23756352
"1987-12-14",45195590.0656915,98663052.0532205,17982330.264864,119882.20176576
"1987-12-17",69756761.9743949,146449565.62238,11890357.1547264,198172.61924544
"1987-12-18",60772936.5686016,132291232.936289,10569206.3597568,176153.43932928
"1987-12-20",64393868.3770368,149926149.473587,15658083.495936,195726.0436992
"1987-12-22",67510805.6229466,118769009.892221,16074001.3387968,178600.01487552
"1988-01-01",44096343.6727659,102488762.234876,6040595.02366656,201353.167455552
"1988-01-08",62020690.097184,98278939.6924608,13358302.4824704,190832.89260672
"1988-01-19",68886596.6051156,147004122.746195,3139771.95100801,188386.31706048
"1988-01-21",83183568.57216,88798459.4507808,6238767.642912,207958.9214304
"1988-01-23",90836456.8807987,93713629.723177,6165370.3765248,205512.34588416
"1988-01-25",82701593.1895507,86280933.2136998,11303179.0236288,188386.31706048
"1988-01-27",85992237.2992435,91313539.1123155,21285207.252288,212852.07252288
"1988-02-02",66090568.5183542,78160748.9757293,6752548.5076224,168813.71269056
"1988-02-11",164497953.426993,208007852.941325,34349920.6692096,381665.78521344
"1988-02-13",98029388.9867443,118991648.266929,26716604.9649408,205512.34588416
"1988-02-16",84612368.6911642,125088514.528159,32294797.210368,215298.64806912
"1988-02-17",86118235.9398749,115513841.127948,23951974.5976896,217745.22361536
"1988-02-19",111111228.43249,174440836.446912,45506305.160064,379219.2096672
"1988-02-21",37814271.6426854,38284014.1475635,9394850.0975616,78290.41747968
"1988-02-23",92480555.647872,88810692.328512,16514384.93712,183493.165968
"1988-03-03",63750419.0083757,79731450.4764154,1737068.6378304,173706.86378304
"1988-03-07",86006916.752521,61103224.267344,660575.3974848,132115.07949696
"1988-03-11",83026987.7372006,92480555.647872,14385864.2118912,205512.34588416
"1988-03-14",65264849.2714982,80883787.5586944,3718794.8302848,185939.74151424
"1988-03-16",31891112.2452384,84849686.5191494,38655893.630592,193279.46815296
"1988-03-18",84861919.3968806,100040474.085754,2299781.0134656,229978.10134656
"1988-03-19",288725273.362875,344556127.328072,39879181.403712,797583.62807424
"1988-03-20",287683032.180177,420972467.939332,33322358.9397888,1110745.29799296
"1988-03-21",162831835.480003,311473532.791814,21285207.252288,709506.9084096
"1988-03-28",84223363.179312,150874197.497755,10397946.07152,207958.9214304
"1988-04-04",65404304.0776339,116219678.173039,18031261.7757888,163920.56159808
"1988-04-30",27821233.8240682,104172740.183353,8367288.3681408,139454.80613568
"1988-05-05",41635822.6459123,112859306.660278,7376425.2719136,163920.56159808
"1988-05-17",25835837.7682944,83428226.126784,4036849.651296,134561.6550432
"1988-05-18",20453371.5665664,56466963.6072192,978630.218496,97863.0218496
"1988-06-07",19846620.8310989,74424828.1166208,24596239.4915328,127221.92840448
"1988-06-10",6605753.974848,47473351.899241,10569206.3597568,88076.71966464
"1988-06-21",2757290.64061248,67134032.9888256,599411.0088288,119882.20176576
"1988-06-30",6473638.89535104,65529079.4304922,11229781.7572416,132115.07949696
"1988-07-01",4095567.46440576,62490432.6020621,14532658.7446656,132115.07949696
"1988-07-02",2935890.655488,62123446.2701261,16440987.6707328,117435.62621952
"1988-07-06",3678018.5711808,62459442.6451431,10365325.0642368,100309.59739584
"1988-07-29",19342626.2685734,175722842.033142,16392056.159808,327841.12319616
"1988-07-30",27616944.7659571,372329652.928988,16636713.714432,665468.54857728
"1988-08-01",21544544.2601894,379067521.983333,46582798.4004096,582284.98000512
"1988-08-02",81420810.8910941,958508357.915949,24184399.2745824,1612293.28497216
"1988-08-03",38430808.6803379,1002968752.03,37677263.412096,1507090.53648384
"1988-08-08",16989020.5930906,417292818.317787,21236275.7413632,530906.89353408
"1988-08-09",18004349.4447802,482298330.581384,60014498.1492672,545586.34681152
"1988-08-10",44136222.8541696,1028373992.50215,110340557.135424,1103405.57135424
"1988-08-11",315353801.608151,2458774171.91355,123185078.753184,2463701.57506368
"1988-08-16",36992222.2591488,1213344890.10008,345260741.085389,1233074.07530496
"1988-08-17",102540874.294011,725180894.646587,202123838.752618,985969.94513472
"1988-08-19",201010646.879078,768285885.908016,183615494.745312,966397.3407648
"1988-08-21",82684467.160727,1093531192.44962,279496790.402458,1164569.96001024
"1988-08-22",91834659.7036646,1311344920.18027,310617231.35063,1350509.70152448
"1988-08-23",377526179.389202,1188529274.33457,282579475.59072,1130317.90236288
"1988-08-25",596132597.596838,978170262.293307,38460167.5868928,1282005.58622976
"1988-08-27",108305006.280952,745907059.386559,279496790.402458,873427.47000768
"1988-08-28",52160990.6458368,620843010.613862,171749603.346048,636109.6420224
"1988-08-30",52235203.4374059,1589659199.06871,124041380.194368,413471.26731456
"1988-09-03",116028845.280432,468825039.04824,34252057.64736,428150.720592
"1988-09-05",37579400.3902464,260941961.459773,46974250.487808,234871.25243904
