"Date","S308C_AMMONIA_N_Ld_mg","S308.DS_FLOW_cfd"
"2000-02-07",14826247.8102144,1235520.6508512
"2000-04-03",6011236.11711168,667915.12412352
"2000-05-01",84570776.9068781,6505444.37745216
"2000-05-15",91340451.4433242,8303677.40393856
"2000-06-26",-114118069.778819,-826942.53462912
"2000-07-24",-53051544.1446682,-381665.78521344
"2000-08-07",-274725968.08729,-1445926.14782784
"2000-08-21",32461164.3475123,1047134.33379072
"2000-09-18",-536411688.51312,-2145646.75405248
"2000-10-16",-5871781.310976,-58717.81310976
"2000-11-13",44605965.3590477,1037348.03160576
"2000-12-18",7809469.14359808,371879.48302848
"2001-01-08",17302182.2630093,665468.54857728
"2001-02-05",8147096.5689792,543139.77126528
"2001-03-05",31805482.10112,636109.6420224
"2001-03-19",11249354.3616115,92969.87075712
"2001-04-16",6461406.01761984,340074.00092736
"2001-05-14",2453915.27287872,144347.95722816
"2001-06-18",-81103979.357856,-477082.2315168
"2001-06-30",-210147383.256512,-1269772.70849856
"2001-07-02",-211604318.994298,-758438.4193344
"2001-07-05",-138874967.731221,-1167016.53555648
"2001-07-09",-63126542.2440845,-325394.54764992
"2001-07-16",-265636939.933008,-1235520.6508512
"2001-07-30",-215699886.458703,-910126.10320128
"2001-08-07",-468411567.780926,-3033753.6773376
"2001-08-13",-176126526.998271,-912572.67874752
"2001-08-21",-64119851.9158579,-411024.69176832
"2001-08-28",-26955146.0806992,-276463.03672512
"2001-09-04",-65066676.6522528,-481975.38260928
"2001-09-10",-44390666.7109786,-234871.25243904
"2001-09-18",-60127040.6243942,-626323.33983744
"2001-09-24",-3079259.98249766,-14190.138168192
"2001-10-08",42981439.1963443,447723.32496192
"2001-12-03",6238767.642912,623876.7642912
"2002-01-22",3464350.97347584,144347.95722816
"2002-02-04",4107800.34213696,178600.01487552
"2002-03-18",22948878.6237312,819602.8079904
"2002-04-15",4734123.6819744,105202.74848832
"2002-04-29",418364.41840704,836728.83681408
"2002-05-28",47700883.4250413,711953.48395584
"2002-06-10",26863399.4977152,298482.21664128
"2002-06-24",-100759767.296348,-484421.95815552
