Date,S308C_NITRATE+NITRITE-N_mg/L,S308.DS_FLOW_cfs
6/26/2000,0.098,826942.5346
7/24/2000,0.206,381665.7852
8/7/2000,0.283,1445926.148
9/18/2000,0.187,2145646.754
10/16/2000,0.532,58717.81311
6/18/2001,0.13,477082.2315
6/30/2001,0.2005,1269772.708
7/2/2001,0.333,758438.4193
7/5/2001,0.11,1167016.536
7/9/2001,0.191,325394.5476
7/16/2001,0.157,1235520.651
7/30/2001,0.211,910126.1032
8/7/2001,0.159,3033753.677
8/13/2001,0.074,912572.6787
8/21/2001,0.088,411024.6918
8/28/2001,0.0885,276463.0367
9/4/2001,0.073,481975.3826
9/10/2001,0.249,234871.2524
9/18/2001,0.1535,626323.3398
9/24/2001,0.165,14190.13817
6/24/2002,0.226,484421.9582
7/8/2002,0.091,1176802.838
7/22/2002,0.055,1142550.78
7/12/2004,0.119,359646.6053
8/9/2004,0.35,746205.5416
9/21/2004,0.43,340074.0009
4/11/2006,0.297,579838.4045
4/25/2006,0.2305,915019.2543
5/2/2006,0.604,474635.656
5/8/2006,0.453,1091172.694
5/16/2006,0.599,2463701.575
8/21/2006,0.143,325394.5476
9/11/2006,0.149,861194.5923
5/7/2007,0.095,276463.0367
5/21/2007,0.336,215298.6481
6/5/2007,0.362,758438.4193
6/18/2007,0.219,1930348.106
7/9/2007,0.1,1761534.393
7/23/2007,0.15,755991.8438
8/6/2007,0.095,486868.5337
8/20/2007,0.171,831835.6857
9/10/2007,0.1255,462402.7782
9/24/2007,0.179,3645397.564
10/2/2007,0.224,4501699.005
10/8/2007,0.133,2148093.33
10/22/2007,0.234,2343819.373
11/13/2007,0.284,540693.1957
12/5/2007,0.1515,207958.9214
12/19/2007,0.306,770671.2971
1/2/2008,0.213,124775.3529
1/16/2008,0.369,31805.4821
3/5/2008,0.1525,39145.20874
4/16/2008,0.089,3914.520874
5/28/2008,0.0756,278909.6123
6/11/2008,0.0175,70950.69084
6/25/2008,0.0155,418364.4184
7/16/2008,0.082,1132764.478
7/30/2008,0.071,1450819.299
8/13/2008,0.049,428150.7206
4/22/2009,0.383,2299.781013
5/20/2009,0.1078,2018424.826
6/3/2009,0.061,545586.3468
6/17/2009,0.07,44038.35983
7/8/2009,0.168,555372.649
8/12/2009,0.012,26912.33101
9/23/2009,0.179,29358.90655
10/14/2009,0.042,264230.159
10/28/2009,0.265,122328.7773
1/13/2010,0.417,293589.0655
3/17/2010,0.296,132115.0795
8/18/2010,0.018333333,53824.66202
10/13/2010,0.115,3180.54821
1/20/2011,0.409,117435.6262
5/18/2011,0.109,151687.6839
7/6/2011,0.175,24465.75546
7/20/2011,0.073,193279.4682
8/24/2011,0.111333333,215298.6481
10/5/2011,0.169,327841.1232
10/19/2011,0.127,1719942.609
11/2/2011,0.381,325394.5476
2/22/2012,0.351,15168.76839
5/16/2012,0.043,1120531.6
6/6/2012,0.075,190832.8926
7/11/2012,0.072,16881.37127
7/25/2012,0.077,469742.5049
8/8/2012,0.107333333,342520.5765
8/22/2012,0.099,797583.6281
9/5/2012,0.009,1830038.509
12/19/2012,0.353,63610.9642
2/21/2013,0.408333333,90523.29521
3/6/2013,0.448,63610.9642
3/20/2013,0.399,308268.5188
5/22/2013,0.027,134561.655
9/18/2013,0.06,134561.655
12/16/2013,0.272,7829.041748
1/6/2014,0.394,494208.2603
1/21/2014,0.387,401238.3896
2/3/2014,0.263,379219.2097
2/17/2014,0.292,183493.166
3/3/2014,0.293,193279.4682
4/21/2014,0.458,249550.7057
5/5/2014,0.276666667,41591.78429
8/4/2014,0.091,369432.9075
8/18/2014,0.038333333,53824.66202
11/17/2014,0.111,450169.9005
1/5/2015,0.32,16881.37127
4/20/2015,0.166,107649.324
6/15/2015,0.112,102756.1729
7/6/2015,0.146,107649.324
8/3/2015,0.304666667,137008.2306
8/17/2015,0.057,92969.87076
8/31/2015,0.042,110095.8996
9/28/2015,0.028,269123.3101
10/12/2015,0.04,88076.71966
11/9/2015,0.166,19817.26192
1/20/2016,0.394333333,80736.99303
11/21/2016,0.409,2299.781013
12/5/2016,0.426,134561.655
12/19/2016,0.421333333,193279.4682
1/4/2017,0.289,278909.6123
1/30/2017,0.476,269123.3101
4/24/2017,0.479,217500.5661
6/5/2017,0.121,3351808.498
6/19/2017,0.246,2960356.411
7/5/2017,0.156,369432.9075
7/17/2017,0.224,494208.2603
7/31/2017,0.173,552926.0735
8/1/2017,0.274,1888756.322
8/14/2017,0.202,1379868.608
8/28/2017,0.277,912572.6787
4/9/2018,0.552666667,73397.26639
5/7/2018,0.517,296035.6411
1/14/2019,0.249,143858.6421
4/22/2019,0.532,152176.999
8/12/2019,0.127,1362742.579
12/16/2019,0.307,746205.5416
12/30/2019,0.219,3205013.966
1/27/2020,0.427,128689.8737
2/24/2020,0.405,21921.31689
4/20/2020,0.322,521120.5913
6/1/2020,0.096,540693.1957
6/15/2020,0.108,579838.4045
6/29/2020,0.099,99086.30962
7/13/2020,0.117666667,790243.9014
7/27/2020,0.149,770671.2971
8/10/2020,0.116,601857.5844
7/2/2021,0.403,464849.3538
7/12/2021,0.13,773117.8726
7/26/2021,0.134,572498.6778
8/9/2021,0.108,406131.5407
6/27/2022,0.051,1783553.573
7/11/2022,0.016,817156.2324
