"Date","S308C_NITRATE_NITRITE_N_Ld_mg","S308.DS_FLOW_cfd"
"2000-02-07",871042058.850096,1235520.6508512
"2000-04-03",451510623.9075,667915.12412352
"2000-05-01",104087110.039235,6505444.37745216
"2000-05-15",739027288.950532,8303677.40393856
"2000-06-26",-81040368.3936538,-826942.53462912
"2000-07-24",-78623151.7539686,-381665.78521344
"2000-08-07",-409197099.835279,-1445926.14782784
"2000-08-21",26178358.344768,1047134.33379072
"2000-09-18",-401235943.007814,-2145646.75405248
"2000-10-16",-31237876.5743923,-58717.81310976
"2000-11-13",369295899.251651,1037348.03160576
"2000-12-18",190774174.79361,371879.48302848
"2001-01-08",248552502.893614,665468.54857728
"2001-01-22",213145661.588429,484421.95815552
"2001-02-05",257991391.351008,543139.77126528
"2001-03-05",253171637.524915,636109.6420224
"2001-03-19",24915925.3629082,92969.87075712
"2001-04-16",30266586.082535,340074.00092736
"2001-05-14",2453915.27287872,144347.95722816
"2001-06-18",-62020690.097184,-477082.2315168
"2001-06-30",-254589428.053961,-1269772.70849856
"2001-07-02",-252559993.638355,-758438.4193344
"2001-07-05",-128371818.911213,-1167016.53555648
"2001-07-09",-62150358.6011347,-325394.54764992
"2001-07-16",-193976742.183638,-1235520.6508512
"2001-07-30",-192036607.77547,-910126.10320128
"2001-08-07",-482366834.696678,-3033753.6773376
"2001-08-13",-67530378.2273165,-912572.67874752
"2001-08-21",-36170172.8756122,-411024.69176832
"2001-08-28",-24466978.7501731,-276463.03672512
"2001-09-04",-35184202.9304774,-481975.38260928
"2001-09-10",-58482941.857321,-234871.25243904
"2001-09-18",-96140632.665047,-626323.33983744
"2001-09-24",-2341372.79775168,-14190.138168192
"2001-10-08",118198957.789947,447723.32496192
"2001-12-03",296965339.802611,623876.7642912
"2002-01-07",133277692.196533,474635.65597056
"2002-01-22",42582647.3823072,144347.95722816
"2002-02-04",63045805.2510586,178600.01487552
"2002-03-18",285221777.180659,819602.8079904
"2002-04-01",163788446.518583,915019.25429376
"2002-04-15",31981635.5404493,105202.74848832
"2002-04-29",10877474.878583,836728.83681408
"2002-05-28",133847254.983698,711953.48395584
"2002-06-10",60890372.1948211,298482.21664128
"2002-06-24",-109479362.543148,-484421.95815552
"2002-07-08",-107089058.234471,-1176802.83774144
"2002-07-16",149497998.752995,1235520.6508512
"2002-07-17",129609786.13761,1683243.97581312
"2002-07-22",-62840292.9051744,-1142550.78009408
"2002-08-01",145488061.432708,1426353.54345792
"2002-08-05",136606992.199857,1453265.87446656
"2002-08-19",46020086.0247744,220191.7991616
"2002-09-16",16658732.8943482,1514430.26312256
"2002-09-25",500006644.385069,2617835.8344768
"2002-09-30",77881839.3634579,961504.18967232
"2002-10-09",192359555.747574,2003745.37237056
"2002-10-14",23961760.8998746,406131.54067584
"2002-10-28",7060817.02644864,95416.44630336
"2002-11-12",37004455.13688,672808.275216
"2002-11-25",64966367.054857,347413.72756608
"2002-12-09",49012247.9178259,327841.12319616
"2002-12-17",250507316.75506,1551128.89631616
"2002-12-30",538853370.908268,1575594.65177856
"2003-01-13",1844473304.31034,5137808.647104
"2003-01-27",708229795.974463,1744408.36446912
"2003-02-10",1300012382.25009,3523068.7865856
"2003-02-24",70231397.6303654,151687.68386688
"2003-03-10",327694328.663386,885660.34773888
"2003-03-24",93339303.6646022,198172.61924544
"2003-04-07",87528686.7422822,210405.49697664
"2003-04-21",4081866.64134682,10520.274848832
"2003-05-05",435539378.741645,3156082.4546496
"2003-05-19",156468292.484233,1580487.80287104
"2003-06-16",80003020.362048,2666767.3454016
"2003-07-08",191615796.781517,4354904.4723072
"2003-08-04",6216748.46299584,888106.92328512
"2003-08-25",62143018.874496,3107150.9437248
"2003-09-02",566773691.041958,6997206.0622464
"2003-09-08",419245185.603686,7046137.5731712
"2003-09-15",1124935436.16115,10226685.7832832
"2003-09-22",474733518.99241,6165370.3765248
"2003-09-29",18960960.48336,244657.554624
"2003-10-06",957790287.993128,4007490.74474112
"2003-10-13",574832710.891273,5042392.20080064
"2003-10-27",701482140.617933,2740164.6117888
"2003-11-03",878394018.366547,3938986.6294464
"2003-11-10",130353545.103667,704613.75731712
"2003-11-17",174103209.021531,731526.08832576
"2003-11-24",132029449.352842,1052027.4848832
"2003-12-08",37579400.3902464,293589.0655488
"2003-12-15",251165445.576998,866087.74336896
"2004-01-05",109527070.766299,932145.28311744
"2004-03-15",963339121.332,2568904.323552
"2004-04-05",496478682.447391,2820901.60481472
"2004-04-19",377328006.769956,1245306.95303616
"2004-05-03",188763089.694601,565158.95118144
"2004-05-17",169161126.418126,442830.17386944
"2004-06-07",55821067.6630118,450169.90050816
"2004-06-21",5822849.8000512,68504.11529472
"2004-07-12",-42797946.0303763,-359646.60529728
"2004-07-26",53124941.4110554,344967.15201984
"2004-08-09",-261171939.56112,-746205.5416032
"2004-08-23",2427002.94187008,151687.68386688
"2004-09-13",1137510834.46883,1504643.9609376
"2004-09-16",2551191116.59722,3205013.9655744
"2004-09-21",-146231820.398765,-340074.00092736
"2004-09-29",3322033673.95106,3449671.5201984
"2004-10-04",5569267137.83452,6106652.56341504
"2004-10-18",10856042876.798,15119836.8757632
"2004-10-25",11981252329.4203,13867190.1960883
"2004-11-01",7662564514.9241,8697576.0668832
"2004-11-08",4227799979.52894,9522072.02596608
"2004-11-15",2138718052.10553,2365838.55321408
"2004-11-23",2450421562.99869,2771970.09388992
"2004-12-06",1209303147.29769,1360296.00370944
"2004-12-16",3478267095.18285,3916967.44953024
"2004-12-20",1243936870.73027,1394548.0613568
"2005-01-31",1452321496.30571,1903435.77497472
"2005-02-14",870623694.431689,1142550.78009408
"2005-02-28",160094117.443761,200619.19479168
"2005-03-14",444395982.219034,584731.55555136
"2005-03-29",1554724139.08136,3843570.18314304
"2005-04-04",435979762.339968,550479.497904
"2005-04-12",735477307.832938,1000649.39841216
"2005-04-18",2960733183.58452,4017277.04692608
"2005-04-26",674971047.998876,2860046.81355456
"2005-05-02",493895098.670561,1668564.52253568
"2005-05-10",2115407080.30095,3305323.56297024
"2005-05-16",727161397.551268,1262432.98185984
"2005-05-24",680315592.279638,2478381.02834112
"2005-05-31",1322201599.16671,4327992.14129856
"2005-06-07",471171304.997084,885660.34773888
"2005-06-13",390380487.309147,604304.15992128
"2005-06-21",437631200.83368,1834931.65968
"2005-07-05",1292281203.52397,6461406.01761984
"2005-07-11",1194408395.37218,6253447.09618944
"2005-07-19",1982115197.96625,11457313.2830419
"2005-07-25",4548722187.08033,11486672.1895968
"2005-08-02",1447155552.03983,7146447.17056704
"2005-08-16",162457509.421429,5157381.25147392
"2005-08-22",402899614.379257,7899992.43880896
"2005-08-30",201376409.923241,3442331.79355968
"2005-09-06",256494087.116709,1482624.78102144
"2005-09-20",592408909.615461,2130967.30077504
"2005-09-27",2663935434.20683,18826398.8283168
"2005-10-03",301640745.671476,976183.64294976
"2005-11-01",3527687921.2169,5377573.05063552
"2005-11-14",3489335402.95404,6723189.60106752
"2005-11-22",655013107.980423,3569553.72196416
"2005-11-29",1200397612.30938,6062614.20358272
"2005-12-05",3093320452.16191,7312814.30771136
"2005-12-13",2028230700.43733,6693830.69451264
"2005-12-19",2829929468.58035,5495008.67685504
"2005-12-27",997578946.101629,1871630.2928736
"2006-01-03",1044772165.10083,3672309.89490624
"2006-01-09",145265423.058,305821.94328
"2006-01-17",49374341.0986694,227531.52580032
"2006-01-31",72663293.723328,220191.7991616
"2006-02-14",160935739.431667,538246.6201728
"2006-02-21",1048421232.52804,1952367.28589952
"2006-03-06",1647893405.7455,2732824.88515008
"2006-03-14",1330922417.70128,4252148.29936512
"2006-03-20",1125424751.2704,1957260.436992
"2006-03-28",197839884.971151,325394.54764992
"2006-04-03",799893195.389891,1470391.90329024
"2006-04-11",-172212006.124287,-579838.40445888
"2006-04-17",739061541.008179,2886959.1445632
"2006-04-25",-210911938.114712,-915019.25429376
"2006-05-02",-286679936.206218,-474635.65597056
"2006-05-08",-494301230.211237,-1091172.69362304
"2006-05-16",-1475757243.46314,-2463701.57506368
"2006-05-22",56224752.6281414,163920.56159808
"2006-05-30",88979506.0412026,198172.61924544
"2006-06-05",154750796.450772,616537.03765248
"2006-08-21",-46531420.3139386,-325394.54764992
"2006-09-11",-128317994.249196,-861194.59227648
