Date,"S308C_PHOSPHATE, TOTAL AS P_mg/L",S308.DS_FLOW_cfs
5/25/2000,0.1274,1059367.212
6/26/2000,0.122,826942.5346
7/24/2000,0.168,381665.7852
8/7/2000,0.233,1445926.148
9/18/2000,0.167,2145646.754
10/16/2000,0.181,58717.81311
6/18/2001,0.197,477082.2315
6/30/2001,0.148,1269772.708
7/2/2001,0.297,758438.4193
7/5/2001,0.1575,1167016.536
7/9/2001,0.196,325394.5476
7/16/2001,0.213,1235520.651
7/30/2001,0.3,910126.1032
8/7/2001,0.4318,3033753.677
8/13/2001,0.242,912572.6787
8/21/2001,0.161,411024.6918
8/28/2001,0.14,276463.0367
9/4/2001,0.1385,481975.3826
9/10/2001,0.289,234871.2524
9/18/2001,0.226,626323.3398
9/24/2001,0.433,14190.13817
6/24/2002,0.228,484421.9582
7/8/2002,0.649,1176802.838
7/22/2002,0.576,1142550.78
7/12/2004,0.144,359646.6053
8/9/2004,0.162,746205.5416
9/21/2004,0.1545,340074.0009
4/11/2006,0.159,579838.4045
4/25/2006,0.106,915019.2543
5/2/2006,0.321,474635.656
5/8/2006,0.23,1091172.694
5/16/2006,0.26,2463701.575
8/21/2006,0.124,325394.5476
9/11/2006,0.231,861194.5923
5/7/2007,0.278,276463.0367
5/21/2007,0.16,215298.6481
6/5/2007,0.154,758438.4193
6/18/2007,0.218,1930348.106
7/9/2007,0.434,1761534.393
7/23/2007,0.271,755991.8438
8/6/2007,0.1105,486868.5337
8/20/2007,0.242,831835.6857
9/10/2007,0.102,462402.7782
9/24/2007,0.355,3645397.564
10/2/2007,0.418,4501699.005
10/8/2007,0.486,2148093.33
10/22/2007,0.362,2343819.373
11/13/2007,0.419,540693.1957
12/5/2007,0.1355,207958.9214
12/19/2007,0.188,770671.2971
1/2/2008,0.1865,124775.3529
1/16/2008,0.176,31805.4821
3/5/2008,0.139,39145.20874
4/16/2008,0.419,3914.520874
5/28/2008,0.0772,278909.6123
6/11/2008,0.0555,70950.69084
6/25/2008,0.0625,418364.4184
7/16/2008,0.199,1132764.478
7/30/2008,0.181,1450819.299
8/13/2008,0.176,428150.7206
4/22/2009,0.266,2299.781013
5/20/2009,0.0926,2018424.826
6/3/2009,0.209,545586.3468
6/17/2009,0.189,44038.35983
7/8/2009,0.166,555372.649
8/12/2009,0.076,26912.33101
9/23/2009,0.119,29358.90655
10/14/2009,0.089,264230.159
10/28/2009,0.138,122328.7773
1/13/2010,0.198,293589.0655
3/17/2010,0.121,132115.0795
8/18/2010,0.094666667,53824.66202
10/13/2010,0.073,3180.54821
1/20/2011,0.1,117435.6262
5/18/2011,0.188333333,151687.6839
7/6/2011,0.147,24465.75546
7/20/2011,0.156,193279.4682
8/24/2011,0.174666667,215298.6481
10/5/2011,0.15,327841.1232
10/19/2011,0.141,1719942.609
11/2/2011,0.22,325394.5476
2/22/2012,0.168333333,15168.76839
5/16/2012,0.134333333,1120531.6
6/6/2012,0.207,190832.8926
7/11/2012,0.117,16881.37127
7/25/2012,0.152,469742.5049
8/8/2012,0.117,342520.5765
8/22/2012,0.186,797583.6281
9/5/2012,0.465,1830038.509
12/19/2012,0.14,63610.9642
2/21/2013,0.126333333,90523.29521
3/6/2013,0.259,63610.9642
3/20/2013,0.138,308268.5188
5/22/2013,0.097,134561.655
9/18/2013,0.107,134561.655
12/16/2013,0.228,7829.041748
1/6/2014,0.221,494208.2603
1/21/2014,0.189,401238.3896
2/3/2014,0.120333333,379219.2097
2/17/2014,0.186,183493.166
3/3/2014,0.155,193279.4682
4/21/2014,0.295,249550.7057
5/5/2014,0.182,41591.78429
8/4/2014,0.2,369432.9075
8/18/2014,0.206,53824.66202
11/17/2014,0.113,450169.9005
1/5/2015,0.119,16881.37127
4/20/2015,0.202,107649.324
6/15/2015,0.137,102756.1729
7/6/2015,0.154,107649.324
8/3/2015,0.202666667,137008.2306
8/17/2015,0.112,92969.87076
8/31/2015,0.15,110095.8996
9/28/2015,0.085,269123.3101
10/12/2015,0.155,88076.71966
11/9/2015,0.106,19817.26192
1/20/2016,0.310333333,80736.99303
11/21/2016,0.234,2299.781013
12/5/2016,0.134,134561.655
12/19/2016,0.150666667,193279.4682
1/4/2017,0.191,278909.6123
1/30/2017,0.318,269123.3101
4/24/2017,0.2,217500.5661
6/5/2017,0.168,3351808.498
6/19/2017,0.385,2960356.411
7/5/2017,0.464,369432.9075
7/17/2017,0.324,494208.2603
7/31/2017,0.343,552926.0735
8/1/2017,0.324,1888756.322
8/14/2017,0.267,1379868.608
8/28/2017,0.204,912572.6787
4/9/2018,0.307333333,73397.26639
5/7/2018,0.22,296035.6411
1/14/2019,0.339,143858.6421
4/22/2019,0.224,152176.999
8/12/2019,0.358,1362742.579
12/16/2019,0.226,746205.5416
12/30/2019,0.221,3205013.966
1/27/2020,0.199,128689.8737
2/24/2020,0.184,21921.31689
4/20/2020,0.308,521120.5913
6/1/2020,0.16,540693.1957
6/15/2020,0.286,579838.4045
6/29/2020,0.234,99086.30962
7/13/2020,0.250666667,790243.9014
7/27/2020,0.174,770671.2971
8/10/2020,0.155,601857.5844
7/2/2021,0.187,464849.3538
7/12/2021,0.249666667,773117.8726
7/26/2021,0.275,572498.6778
8/9/2021,0.188,406131.5407
6/27/2022,0.153,1783553.573
7/11/2022,0.143,817156.2324
