"Date","S308C_PHOSPHATE_Ld_mg","S308.DS_FLOW_cfd"
"2000-02-07",373127236.557062,1235520.6508512
"2000-04-03",120224722.342234,667915.12412352
"2000-04-27",1203842390.67848,5705414.17383168
"2000-04-28",964514456.224414,6909129.34258176
"2000-04-29",1422585817.11671,8073699.302592
"2000-04-30",1065939692.06934,7163573.19939072
"2000-05-01",910762212.843302,6505444.37745216
"2000-05-02",614908596.968903,6772121.11199232
"2000-05-03",491233224.476252,6899343.0403968
"2000-05-04",456827521.884588,6737869.05434496
"2000-05-11",568857194.777136,7146447.17056704
"2000-05-15",1320284707.22623,8303677.40393856
"2000-05-18",218356867.50192,4367137.3500384
"2000-05-25",-134963382.747893,-1059367.21152192
"2000-06-01",44121543.4008922,621430.18874496
"2000-06-26",-100886989.224753,-826942.53462912
"2000-07-24",-64119851.9158579,-381665.78521344
"2000-08-07",-336900792.443887,-1445926.14782784
"2000-08-21",122514717.053514,1047134.33379072
"2000-09-18",-358323007.926764,-2145646.75405248
"2000-10-16",-10627924.1728666,-58717.81310976
"2000-11-13",102697455.12897,1037348.03160576
"2000-12-18",118257675.603057,371879.48302848
"2001-01-08",76196148.8120986,665468.54857728
"2001-01-22",143388899.614034,484421.95815552
"2001-02-05",493170912.308874,543139.77126528
"2001-03-05",525426564.310502,636109.6420224
"2001-03-19",10226685.7832832,92969.87075712
"2001-04-16",79577316.2170022,340074.00092736
"2001-05-14",9166095.28398816,144347.95722816
"2001-06-18",-93985199.6088096,-477082.2315168
"2001-06-30",-187926360.857787,-1269772.70849856
"2001-07-02",-225256210.542317,-758438.4193344
"2001-07-05",-183805104.350146,-1167016.53555648
"2001-07-09",-63777331.3393843,-325394.54764992
"2001-07-16",-263165898.631306,-1235520.6508512
"2001-07-30",-273037830.960384,-910126.10320128
"2001-08-07",-1309974837.87438,-3033753.6773376
"2001-08-13",-220842588.2569,-912572.67874752
"2001-08-21",-66174975.3746995,-411024.69176832
"2001-08-28",-38704825.1415168,-276463.03672512
"2001-09-04",-66753590.4913853,-481975.38260928
"2001-09-10",-67877791.9548826,-234871.25243904
"2001-09-18",-141549074.803261,-626323.33983744
"2001-09-24",-6144329.82682714,-14190.138168192
"2001-10-08",142376017.337891,447723.32496192
"2001-12-03",140996148.729811,623876.7642912
"2002-01-07",89326430.4536594,474635.65597056
"2002-01-22",11547836.5782528,144347.95722816
"2002-02-04",56616204.7155398,178600.01487552
"2002-03-18",85238692.0310016,819602.8079904
"2002-04-01",103397175.735195,915019.25429376
"2002-04-15",12939938.0640634,105202.74848832
"2002-04-29",70703586.7107898,836728.83681408
"2002-05-13",85434418.0747008,949271.31194112
"2002-05-28",64075813.5560256,711953.48395584
"2002-06-10",42981439.1963443,298482.21664128
"2002-06-24",-110448206.459459,-484421.95815552
"2002-07-08",-763745041.694195,-1176802.83774144
"2002-07-16",243397568.217686,1235520.6508512
"2002-07-17",294567695.767296,1683243.97581312
"2002-07-22",-658109249.33419,-1142550.78009408
"2002-08-01",203255379.942754,1426353.54345792
"2002-08-05",244148666.910382,1453265.87446656
"2002-08-19",31927810.878432,220191.7991616
"2002-09-03",172630370.542694,1541342.5941312
"2002-09-16",162044038.154114,1514430.26312256
"2002-09-25",518331495.226406,2617835.8344768
"2002-09-30",98073427.3465766,961504.18967232
"2002-10-09",141264048.752124,2003745.37237056
"2002-10-14",48329653.340425,406131.54067584
"2002-10-28",11927055.78792,95416.44630336
"2002-11-12",93520350.255024,672808.275216
"2002-11-25",53849127.7727424,347413.72756608
"2002-12-09",23932401.9933197,327841.12319616
"2002-12-17",159766276.320564,1551128.89631616
"2002-12-30",248943954.981012,1575594.65177856
"2003-01-13",1063526389.95053,5137808.647104
"2003-01-27",505878425.696045,1744408.36446912
"2003-02-10",503798836.481741,3523068.7865856
"2003-02-24",31399350.5604442,151687.68386688
"2003-03-10",226729049.021153,885660.34773888
"2003-03-24",48354119.0958874,198172.61924544
"2003-04-07",30508797.0616128,210405.49697664
"2003-04-21",1325554.63095283,10520.274848832
"2003-05-05",533377934.835783,3156082.4546496
"2003-05-19",134341463.244038,1580487.80287104
"2003-06-16",320012081.448192,2666767.3454016
"2003-07-08",618396435.067622,4354904.4723072
"2003-07-21",5436290.86374528,53824.66201728
"2003-08-04",63943698.4765286,888106.92328512
