"Date","S4_NITRATE+NITRITE-N_mg/L","S4_P_FLOW_cfs"
"2001-08-04",0.110125,1250591.55621604
"2001-08-07",0.1195,1630055.42343786
"2001-08-10",0.215,349542.248291309
"2001-08-13",0.251,590554.405351411
"2001-08-16",0.068,397030.279643827
"2001-08-19",0.026,195848.372476512
"2001-09-16",0.2038,793155.326335546
"2002-02-12",0.0126666666666667,698741.976006144
"2002-06-10",0.1,281135.996018438
"2002-06-24",0.963666666666667,488727.931116902
"2002-07-08",0.1115,326544.438156653
"2002-07-09",0.119,458365.928588064
"2002-07-22",0.13,1409741.29549895
"2003-04-29",0.0943333333333333,581379.747053011
"2003-06-24",0.178,694778.523621235
"2003-09-30",0.662666666666667,2400237.40539421
"2003-12-15",0.181666666666667,1277821.94204569
"2004-08-17",0.416666666666667,1623156.08039747
"2004-09-13",0.2055,460298.723269594
"2004-09-22",0.527666666666667,2599706.70967916
"2004-09-24",0.253666666666667,1150428.75335297
"2004-09-29",0.6085,3182529.93630445
"2004-10-04",0.0916666666666667,375965.264190701
"2004-11-09",0.046,371194.441875533
"2005-01-31",0.448,15462.3574522368
"2005-02-28",0.359,550846.484235936
"2005-06-03",0.115,791295.928920403
"2005-06-05",0.597,725531.978237472
"2005-07-05",0.19225,510331.193190202
"2005-07-11",0.248,1700516.79916957
"2005-08-08",0.09,876289.963396781
"2005-09-20",0.1105,31316.166991872
"2005-10-31",0.185666666666667,2035183.86813974
"2005-11-01",0.007,1016796.79701734
"2006-02-06",0.223,624145.887601287
"2006-09-07",0.0732857142857143,1651316.16493469
"2007-03-06",0.048,47879.4834399168
"2007-08-20",0.005,18202.5220640256
"2007-09-24",0.03,104762.364889997
"2008-08-21",0.86725,2631022.87667103
"2008-08-26",0.0965,2437278.55916429
"2008-08-28",0.083,1882615.41707622
"2008-09-02",0.0258,287301.366394963
"2008-09-09",0.123,278836.215004973
"2009-06-17",0.164,161938.835405626
"2009-07-07",0.242,876999.47030519
"2009-07-08",0.241,704369.099762496
"2009-07-14",0.072,415232.801707853
"2009-08-11",0.0746666666666667,99869.2137975168
"2009-08-26",0.115,292243.448998368
"2009-09-01",0.04,199175.715219398
"2009-09-08",0.1475,430254.775561766
"2009-09-09",0.416,238957.033601261
"2010-03-15",1.105,822587.630156813
"2010-03-17",1.361,579446.952371482
"2010-03-23",0.35125,426193.460155008
"2010-03-30",0.38925,1195250.01736009
"2010-04-20",0.0583333333333333,695023.181175859
"2010-04-21",0.2245,1314496.10948383
"2010-04-27",0.127333333333333,2339782.52364662
"2010-07-06",0.313,1450109.79201191
"2010-08-18",0.047,465827.984004096
"2010-08-24",0.139,603570.187257408
"2010-09-07",0.198,787552.668334656
"2010-09-15",0.026,65348.0328400704
"2010-09-29",0.097,268756.323754464
"2010-10-13",0.058,171015.630682176
"2010-11-03",0.129,282261.420769709
"2011-01-20",0.332,113741.297144698
"2011-03-02",0.061,109386.39267239
"2011-08-24",0.356,105007.022444621
"2011-09-21",0.058,105178.282732858
"2011-10-05",0.007,103661.405894189
"2011-10-19",0.337,519652.646021376
"2011-11-16",0.518,96248.2819890816
"2011-12-07",0.04,95905.761412608
"2012-03-07",0.104,61873.8955644096
"2012-08-27",1.96,2835385.33204846
"2012-08-28",1.578,2884096.6511741
"2012-08-30",1.204,1068077.02046653
"2012-09-25",0.199,87978.8566427904
"2012-10-02",0.049,831468.699389664
"2012-10-03",0.09,666153.589730227
"2012-10-09",0.2565,667499.206280659
"2012-10-17",0.044,83330.3631049344
"2012-12-05",0.141,97496.035517664
"2012-12-19",0.294,81152.9108687808
"2013-01-09",0.077,18398.2481077248
"2013-03-06",0.045,106132.447195891
"2013-04-16",0.007,80516.8012267584
"2013-05-28",0.007,69238.087958592
"2013-06-04",0.067,347633.919365242
"2013-06-05",0.112,375157.894260442
"2013-06-19",0.048,357053.235218266
"2013-06-25",0.126,462647.435793984
"2013-07-02",0.346,1179494.0708423
"2013-07-16",0.132,333982.027817222
"2013-07-23",0.26,809204.86191888
"2013-07-24",0.853,440505.927100512
"2013-08-06",0.278,1901576.37755958
"2013-08-07",0.446,1053495.43021094
"2013-09-04",0.034,371732.688495706
"2013-09-24",0.019,566822.622552883
"2013-10-08",0.065,632121.723882029
"2014-02-03",0.483,162159.027204787
"2014-02-04",0.52,519750.509043226
"2014-02-17",0.183,39707.9211154752
"2014-05-05",0.118,329137.808235667
"2014-07-15",0.242,1029494.52410233
"2014-07-21",0.392,716601.977493696
"2014-08-05",0.051,378974.552112576
"2014-09-08",0.145,569734.047452909
"2014-09-22",0.581,465754.586737709
"2014-09-23",0.436,975963.451150599
"2014-09-30",0.55,491663.82177239
"2015-03-10",0.124,443710.941066086
"2015-04-20",0.13,405960.280387603
"2015-08-31",0.401,870687.305395891
"2015-09-01",0.851,635008.683026592
"2016-02-01",1.8535,2125560.36881785
"2016-02-17",0.6125,701139.620041459
"2016-05-18",0.033,479797.930373126
"2016-08-31",0.16,81837.952021728
"2016-10-24",0.183,41493.9212642304
"2016-11-09",0.185,111172.392821146
"2017-01-04",0.166,134757.381086899
"2017-09-13",0.803,2999795.20875579
"2018-06-04",0.831,873207.278208519
"2021-07-26",0.071,158684.889929126
