"Date","S65E_AMMONIA-N_mg/L","S65E_S_FLOW_cfs"
"2000-01-04",0.0154,2890090.76126239
"2000-01-18",0.0185,2063588.61023159
"2000-01-24",0.036,3252330.73663868
"2000-02-01",0.025,2266996.90114598
"2000-02-15",0.01,2518088.9494566
"2000-03-14",0.036,61066.5256341504
"2000-03-28",0.019,1170001.35772289
"2000-04-11",0.009,2892341.61076493
"2000-07-05",0.009,108383.296698432
"2000-08-01",0.0168,1730952.1989648
"2000-08-15",0.009,300463.942833734
"2000-09-12",0.028,880473.607580851
"2000-09-26",0.211,1041238.08672428
"2000-10-10",0.0995,622457.750474381
"2000-10-16",0.055,107331.269213549
"2001-06-19",0.01,96639.73407648
"2001-07-03",0.0186,323535.150234778
"2001-07-16",0.076,2058010.41798616
"2001-07-17",0.064,2350669.78482739
"2001-07-31",0.149,1593356.79024426
"2001-08-14",0.044,5637839.75724453
"2001-08-28",0.032,2310790.60342368
"2001-09-11",0.0756,5479203.79882633
"2001-09-25",0.043,10707486.8096303
"2001-10-08",0.068,8093345.30422831
"2001-10-09",0.072,7840491.7215244
"2001-11-06",0.0355,3882201.61101817
"2001-11-20",0.03,1819689.49402692
"2001-12-04",0.044,1175775.27601202
"2001-12-18",0.039,1437950.3115471
"2002-01-02",0.0125,981663.972173338
"2002-01-15",0.009,955387.75080672
"2002-01-29",0.0195,945870.571931847
"2002-02-12",0.0115,1003218.30273571
"2002-02-26",0.029,1001505.69985334
"2002-03-12",0.046,929258.323972877
"2002-03-18",0.0125,1117253.18894596
"2002-03-26",0.041,841548.590640173
"2002-04-09",0.0275,721495.128586176
"2002-06-24",0.016,1922152.07790346
"2002-07-02",0.184,10535737.2062842
"2002-07-16",0.01,15024395.9637044
"2002-07-30",0.023,7770372.86636917
"2002-08-13",0.113,7277020.90746987
"2002-08-27",0.0365,12878039.7027435
"2002-09-10",0.033,14285994.9980937
"2002-09-16",0.0815,12346252.0420128
"2002-09-24",0.0325,9466412.43228912
"2002-10-08",0.063,4592466.9578471
"2002-10-22",0.107,2799591.93180697
"2002-11-05",0.113,1476630.67093315
"2002-11-19",0.11,2231766.21328013
"2002-12-03",0.048,1740689.56963884
"2002-12-17",0.0208,13603082.3658717
"2002-12-30",0.064,15113549.1766094
"2002-12-31",0.025,15831374.4418762
"2003-01-14",0.039,24899092.92315
"2003-01-28",0.042,6879158.79214032
"2003-02-11",0.075,1831995.76902451
"2003-02-25",0.092,852680.509375565
"2003-03-11",0.046,217573.963327123
"2003-03-24",0.107,6251294.10970875
