"Date","S65E_AMMONIA_N_Ld_mg","S65E_S_FLOW_cfd"
"2000-01-04",44507397.7234408,2890090.76126239
"2000-01-18",38176389.2892844,2063588.61023159
"2000-01-24",117083906.518992,3252330.73663868
"2000-02-01",56674922.5286495,2266996.90114598
"2000-02-15",25180889.494566,2518088.9494566
"2000-03-14",2198394.92282941,61066.5256341504
"2000-03-28",22230025.7967349,1170001.35772289
"2000-04-11",26031074.4968844,2892341.61076493
"2000-07-05",975449.670285888,108383.296698432
"2000-08-01",29079996.9426086,1730952.1989648
"2000-08-15",2704175.48550361,300463.942833734
"2000-09-12",24653261.0122638,880473.607580851
"2000-09-26",219701236.298823,1041238.08672428
"2000-10-10",61934546.1722009,622457.750474381
"2000-10-16",5903219.8067452,107331.269213549
"2001-06-19",966397.3407648,96639.73407648
"2001-07-03",6017753.79436687,323535.150234778
"2001-07-16",156408791.766948,2058010.41798616
"2001-07-17",150442866.228953,2350669.78482739
"2001-07-31",237410161.746395,1593356.79024426
"2001-08-14",248064949.318759,5637839.75724453
"2001-08-28",73945299.3095578,2310790.60342368
"2001-09-11",414227807.191271,5479203.79882633
"2001-09-25",460421932.814103,10707486.8096303
"2001-10-08",550347480.687525,8093345.30422831
"2001-10-09",564515403.949757,7840491.7215244
"2001-11-06",137818157.191145,3882201.61101817
"2001-11-20",54590684.8208076,1819689.49402692
"2001-12-04",51734112.1445289,1175775.27601202
"2001-12-18",56080062.1503369,1437950.3115471
"2002-01-02",12270799.6521667,981663.972173338
"2002-01-15",8598489.75726048,955387.75080672
"2002-01-29",18444476.152671,945870.571931847
"2002-02-12",11537010.4814607,1003218.30273571
"2002-02-26",29043665.2957469,1001505.69985334
"2002-03-12",42745882.9027523,929258.323972877
"2002-03-18",13965664.8618245,1117253.18894596
"2002-03-26",34503492.2162471,841548.590640173
"2002-04-09",19841116.0361198,721495.128586176
"2002-06-24",30754433.2464554,1922152.07790346
"2002-07-02",1938575645.95629,10535737.2062842
"2002-07-16",150243959.637044,15024395.9637044
"2002-07-30",178718575.926491,7770372.86636917
"2002-08-13",822303362.544095,7277020.90746987
"2002-08-27",470048449.150138,12878039.7027435
"2002-09-10",471437834.937092,14285994.9980937
"2002-09-16",1006219541.42404,12346252.0420128
"2002-09-24",307658404.049396,9466412.43228912
"2002-10-08",289325418.344367,4592466.9578471
"2002-10-22",299556336.703346,2799591.93180697
"2002-11-05",166859265.815446,1476630.67093315
"2002-11-19",245494283.460814,2231766.21328013
"2002-12-03",83553099.3426643,1740689.56963884
"2002-12-17",282944113.210131,13603082.3658717
"2002-12-30",967267147.303002,15113549.1766094
"2002-12-31",395784361.046905,15831374.4418762
"2003-01-14",971064624.00285,24899092.92315
"2003-01-28",288924669.269893,6879158.79214032
"2003-02-11",137399682.676838,1831995.76902451
"2003-02-25",78446606.862552,852680.509375565
"2003-03-11",10008402.3130477,217573.963327123
"2003-03-24",668888469.738836,6251294.10970875
"2003-03-25",471182265.655531,5609312.68637537
"2003-04-08",134090640.319038,6385268.58662085
"2003-04-22",62015283.1652268,4770406.39732514
"2003-05-06",23419012.5806966,2927376.57258708
"2003-05-20",128521060.019534,2570421.20039067
"2003-06-03",9940167.321063,1529256.51093277
"2003-06-16",26305678.1361943,1697140.52491576
"2003-07-01",82724150.6160872,2121132.06707916
"2003-07-15",37258801.1306671,3104900.09422226
"2003-08-12",767090978.411232,12784849.6401872
"2003-08-26",1018058569.42381,23675780.6842746
"2003-09-09",441284549.768103,29418969.9845402
"2003-09-15",630172683.938873,21730092.5496163
"2003-09-23",620058638.493738,6079006.25974253
"2003-10-07",230824310.663616,6155314.95102975
"2003-10-21",328609935.095811,2567265.11793602
"2003-11-04",191511817.320802,1954202.2175592
"2003-11-18",58160850.1866585,1661738.57676167
"2003-12-02",52431092.5861416,1310777.31465354
"2003-12-16",42491879.4295417,1931449.06497917
"2003-12-30",23391757.7291116,3341679.67558737
"2004-01-13",164702633.937191,4334279.8404524
"2004-01-27",162319816.149686,4271574.10920227
"2004-02-10",10154621.9005687,414474.363288518
"2004-02-24",73433133.1847079,2824351.27633492
"2004-03-09",36956820.3109948,3359710.93736316
"2004-03-15",138967448.286869,2836070.37320141
"2004-03-23",83558628.6033987,2881332.02080685
"2004-04-06",12637981.7101464,601808.652864115
"2004-04-20",101117945.956318,1189622.89360374
"2004-05-04",10750179.5529122,1535739.93613031
"2004-05-17",10760345.0743068,860827.605944544
"2004-05-18",11526013.1243803,523909.687471834
"2004-06-08",44282038.7567256,1107050.96891814
"2004-07-20",3180181.22378007,636036.244756013
"2004-08-03",30575148.1904268,826355.356498022
"2004-08-17",270412117.152648,3466822.01477754
"2004-08-23",366172136.059967,4548722.18708033
"2004-08-31",898925680.350593,3942656.49276576
"2004-09-14",866422606.163973,27949116.3278701
"2004-09-29",5210507758.69333,48245442.2101234
"2004-10-12",1512433245.83294,20165776.6111059
"2004-10-26",128354717.348144,8954980.28010311
"2004-11-22",368781629.071831,4097573.65635368
"2004-12-07",177303280.904502,3476534.91969612
"2004-12-21",49527447.7963533,2358449.89506444
"2005-01-04",175384235.977542,2505489.08539346
"2005-01-18",80707046.941234,2069411.46003164
"2005-02-01",81395121.8478586,2141976.89073312
"2005-02-03",46167027.3520817,2098501.24327644
"2005-02-14",35942347.7607463,1996797.09781924
"2005-02-15",13990252.9460642,999303.781861728
"2005-03-01",62887365.018684,2620306.8757785
"2005-03-15",84410110.2907566,4965300.60533862
"2005-03-29",238913606.885316,10387548.1254485
"2005-04-12",99290818.8726303,5840636.40427237
"2005-04-26",68565524.3409307,3809195.79671837
"2005-05-10",396081008.331886,5501125.11572064
"2005-05-16",49188756.1106093,3643611.56374884
"2005-05-24",79357564.8014389,2939169.06671996
"2005-06-07",79665148.2791122,17071103.2026669
"2005-06-21",595049669.862806,9754912.62070174
"2005-07-05",208414351.468333,24519335.4668627
"2005-07-19",113539087.675801,22707817.5351602
"2005-08-02",194086568.959909,8259002.93446422
"2005-08-16",404023766.911243,7769687.82521622
"2005-08-22",273603723.884229,6514374.37819594
"2005-08-30",382545378.053824,8316203.87073531
"2005-09-12",126563310.267432,8437554.01782881
"2005-10-11",112124453.229209,2669629.8387907
"2005-11-08",112405711.554005,14987428.2072007
"2005-11-14",299397725.210683,9979924.17368943
"2005-11-16",275589976.241444,8889999.23359498
"2005-12-06",208486598.844213,4738331.79191393
"2005-12-20",141741864.956305,3937274.02656403
"2006-01-03",65732536.6529175,3651807.59182875
"2006-01-17",96127078.6365209,2912941.77686427
"2006-01-30",140208791.78752,3048017.21277218
"2006-02-13",86347002.9863261,3674340.55260962
"2006-02-28",85977631.2432325,2605382.76494644
"2006-03-13",40987896.0440015,1951804.57352388
"2006-03-28",31310882.3886921,711610.963379366
"2006-04-11",38879070.2519201,1254163.55651355
"2006-04-24",19253130.535092,713078.90870711
"2006-05-08",22350935.5602301,1490062.37068201
"2006-05-22",29054307.899373,1162172.31597492
"2006-06-19",1966312.76651309,206980.291211904
"2006-07-18",554002.566690586,61555.8407433984
"2006-07-31",2015733.59254713,115184.776716979
"2006-08-31",208651840.556606,3161391.52358494
"2006-09-11",268055428.791977,6092168.8361813
"2006-09-25",185405017.962854,517891.111628083
"2006-10-10",114971973.575967,262493.09035609
"2006-10-24",58039744.6971196,107282.337702624
"2007-07-17",22805607.1597434,495774.068690074
"2007-08-06",181016644.337074,2350865.51087109
"2007-08-20",339883840.843029,1710107.37531084
