"Date","S65E_NITRATE+NITRITE-N_mg/L","S65E_S_FLOW_cfs"
"2000-01-04",0.0364,2890090.76126239
"2000-01-18",0.0275,2063588.61023159
"2000-01-24",0.037,3252330.73663868
"2000-02-01",0.032,2266996.90114598
"2000-02-15",0.01,2518088.9494566
"2000-02-29",0.009,2497513.24911272
"2000-03-14",0.035,61066.5256341504
"2000-03-28",0.094,1170001.35772289
"2000-04-11",0.005,2892341.61076493
"2000-04-17",0.0045,2938239.36801239
"2000-07-25",0.006,669676.658516813
"2000-08-01",0.0022,1730952.1989648
"2000-08-15",0.0048,300463.942833734
"2000-09-12",0.097,880473.607580851
"2000-09-26",0.048,1041238.08672428
"2000-10-10",0.083,622457.750474381
"2000-10-16",0.33,107331.269213549
"2001-07-03",0.0192,323535.150234778
"2001-07-16",0.045,2058010.41798616
"2001-07-17",0.053,2350669.78482739
"2001-07-31",0.036,1593356.79024426
"2001-08-28",0.01,2310790.60342368
"2001-09-11",0.0028,5479203.79882633
"2001-10-08",0.013,8093345.30422831
"2001-10-09",0.02,7840491.7215244
"2001-11-06",0.0165,3882201.61101817
"2001-11-20",0.0155,1819689.49402692
"2001-12-04",0.039,1175775.27601202
"2001-12-18",0.106,1437950.3115471
"2002-01-02",0.0745,981663.972173338
"2002-01-15",0.073,955387.75080672
"2002-01-29",0.0275,945870.571931847
"2002-02-12",0.0725,1003218.30273571
"2002-02-26",0.161,1001505.69985334
"2002-03-12",0.088,929258.323972877
"2002-03-18",0.0175,1117253.18894596
"2002-03-26",0.044,841548.590640173
"2002-04-09",0.041,721495.128586176
"2002-06-24",0.01,1922152.07790346
"2002-07-02",0.012,10535737.2062842
"2002-07-16",0.0065,15024395.9637044
"2002-07-30",0.0015,7770372.86636917
"2002-08-13",0.02,7277020.90746987
"2002-08-27",0.009,12878039.7027435
"2002-09-10",0.015,14285994.9980937
"2002-09-16",0.046,12346252.0420128
"2002-09-24",0.0175,9466412.43228912
"2002-10-08",0.033,4592466.9578471
"2002-10-22",0.044,2799591.93180697
"2002-11-05",0.039,1476630.67093315
"2002-11-19",0.076,2231766.21328013
"2002-12-03",0.085,1740689.56963884
"2002-12-17",0.0266,13603082.3658717
"2002-12-30",0.0915,15113549.1766094
"2002-12-31",0.091,15831374.4418762
"2003-01-14",0.145,24899092.92315
"2003-01-28",0.143,6879158.79214032
"2003-02-11",0.105,1831995.76902451
"2003-02-25",0.118,852680.509375565
"2003-03-11",0.115,217573.963327123
"2003-03-24",0.17,6251294.10970875
"2003-03-25",0.156,5609312.68637537
"2003-04-08",0.03,6385268.58662085
"2003-04-22",0.025,4770406.39732514
"2003-05-06",0.011,2927376.57258708
"2003-05-20",0.02,2570421.20039067
"2003-06-03",0.0085,1529256.51093277
"2003-06-16",0.01,1697140.52491576
"2003-06-17",0.001,1007108.35785423
"2003-07-01",0.016,2121132.06707916
"2003-07-15",0.014,3104900.09422226
"2003-08-12",0.014,12784849.6401872
"2003-08-26",0.01,23675780.6842746
"2003-09-09",0.017,29418969.9845402
"2003-09-15",0.037,21730092.5496163
"2003-09-23",0.029,6079006.25974253
"2003-10-07",0.0175,6155314.95102975
"2003-10-21",0.053,2567265.11793602
"2003-11-04",0.069,1954202.2175592
"2003-11-18",0.159,1661738.57676167
"2003-12-02",0.116,1310777.31465354
"2003-12-15",0.101666666666667,1500509.24826445
"2003-12-16",0.136,1931449.06497917
"2003-12-30",0.041,3341679.67558737
"2004-01-13",0.045,4334279.8404524
"2004-01-27",0.048,4271574.10920227
"2004-02-10",0.033,414474.363288518
"2004-02-24",0.045,2824351.27633492
"2004-03-09",0.036,3359710.93736316
"2004-03-15",0.065,2836070.37320141
"2004-03-23",0.061,2881332.02080685
"2004-04-06",0.12,601808.652864115
"2004-04-20",0.162,1189622.89360374
"2004-05-04",0.065,1535739.93613031
"2004-05-17",0.1095,860827.605944544
"2004-05-18",0.097,523909.687471834
"2004-06-08",0.015,1107050.96891814
"2004-06-22",0.004,655780.10941417
"2004-07-20",5e-04,636036.244756013
"2004-08-03",0.057,826355.356498022
"2004-08-17",0.079,3466822.01477754
"2004-08-31",0.013,3942656.49276576
"2004-09-14",0.006,27949116.3278701
"2004-09-29",0.069,48245442.2101234
"2004-10-12",0.154,20165776.6111059
"2004-10-26",0.0416666666666667,8954980.28010311
"2004-11-09",0.114,5303392.88007352
"2004-11-22",0.135,4097573.65635368
"2004-12-07",0.168,3476534.91969612
"2004-12-21",0.1,2358449.89506444
"2005-01-04",0.222,2505489.08539346
"2005-01-18",0.222,2069411.46003164
"2005-02-01",0.222,2141976.89073312
"2005-02-03",0.138,2098501.24327644
"2005-02-14",0.188,1996797.09781924
"2005-02-15",0.18,999303.781861728
"2005-03-01",0.0745,2620306.8757785
"2005-03-15",0.111,4965300.60533862
"2005-03-29",0.029,10387548.1254485
"2005-04-12",0.032,5840636.40427237
"2005-04-26",0.01,3809195.79671837
"2005-05-10",0.063,5501125.11572064
"2005-05-16",0.0045,3643611.56374884
"2005-05-24",0.026,2939169.06671996
"2005-06-07",0.001,17071103.2026669
"2005-06-21",0.024,9754912.62070174
"2005-07-05",0.004,24519335.4668627
"2005-07-19",0.004,22707817.5351602
"2005-08-02",0.003,8259002.93446422
"2005-08-16",0.031,7769687.82521622
"2005-08-22",0.022,6514374.37819594
"2005-08-30",0.031,8316203.87073531
"2005-09-12",0.0045,8437554.01782881
"2005-10-11",0.05,2669629.8387907
"2005-11-08",0.0285,14987428.2072007
"2005-11-14",0.056,9979924.17368943
"2005-11-16",0.046,8889999.23359498
"2005-12-06",0.085,4738331.79191393
"2005-12-20",0.084,3937274.02656403
"2006-01-03",0.097,3651807.59182875
"2006-01-17",0.101,2912941.77686427
"2006-01-30",0.126,3048017.21277218
"2006-02-13",0.0565,3674340.55260962
"2006-02-21",0.002,2951034.95811923
"2006-02-28",0.104,2605382.76494644
"2006-03-13",0.06,1951804.57352388
"2006-03-28",0.191,711610.963379366
"2006-04-11",0.0895,1254163.55651355
"2006-04-24",0.121,713078.90870711
"2006-05-08",0.026,1490062.37068201
"2006-05-22",0.021,1162172.31597492
"2006-06-19",0.01,206980.291211904
"2006-07-18",0.007,61555.8407433984
"2006-07-31",0.0705,115184.776716979
"2006-08-31",0.113,3161391.52358494
"2006-09-25",0.011,517891.111628083
"2006-10-10",0.012,262493.09035609
"2006-10-24",0.042,107282.337702624
