"Date","S65E_NITRATE_NITRITE_N_Ld_mg","S65E_S_FLOW_cfd"
"2000-01-04",105199303.709951,2890090.76126239
"2000-01-18",56748686.7813687,2063588.61023159
"2000-01-24",120336237.255631,3252330.73663868
"2000-02-01",72543900.8366714,2266996.90114598
"2000-02-15",25180889.494566,2518088.9494566
"2000-02-29",22477619.2420145,2497513.24911272
"2000-03-14",2137328.39719526,61066.5256341504
"2000-03-28",109980127.625952,1170001.35772289
"2000-04-11",14461708.0538247,2892341.61076493
"2000-04-17",13222077.1560558,2938239.36801239
"2000-07-25",4018059.95110088,669676.658516813
"2000-08-01",3808094.83772256,1730952.1989648
"2000-08-15",1442226.92560192,300463.942833734
"2000-09-12",85405939.9353425,880473.607580851
"2000-09-26",49979428.1627654,1041238.08672428
"2000-10-10",51663993.2893736,622457.750474381
"2000-10-16",35419318.8404712,107331.269213549
"2001-07-03",6211874.88450774,323535.150234778
"2001-07-16",92610468.8093772,2058010.41798616
"2001-07-17",124585498.595852,2350669.78482739
"2001-07-31",57360844.4487934,1593356.79024426
"2001-08-28",23107906.0342368,2310790.60342368
"2001-09-11",15341770.6367137,5479203.79882633
"2001-10-08",105213488.954968,8093345.30422831
"2001-10-09",156809834.430488,7840491.7215244
"2001-11-06",64056326.5817998,3882201.61101817
"2001-11-20",28205187.1574173,1819689.49402692
"2001-12-04",45855235.7644688,1175775.27601202
"2001-12-18",152422733.023993,1437950.3115471
"2002-01-02",73133965.9269137,981663.972173338
"2002-01-15",69743305.8088906,955387.75080672
"2002-01-29",26011440.7281258,945870.571931847
"2002-02-12",72733326.948339,1003218.30273571
"2002-02-26",161242417.676388,1001505.69985334
"2002-03-12",81774732.5096132,929258.323972877
"2002-03-18",19551930.8065543,1117253.18894596
"2002-03-26",37028137.9881676,841548.590640173
"2002-04-09",29581300.2720332,721495.128586176
"2002-06-24",19221520.7790346,1922152.07790346
"2002-07-02",126428846.47541,10535737.2062842
"2002-07-16",97658573.7640786,15024395.9637044
"2002-07-30",11655559.2995538,7770372.86636917
"2002-08-13",145540418.149397,7277020.90746987
"2002-08-27",115902357.324691,12878039.7027435
"2002-09-10",214289924.971406,14285994.9980937
"2002-09-16",567927593.932589,12346252.0420128
"2002-09-24",165662217.56506,9466412.43228912
"2002-10-08",151551409.608954,4592466.9578471
"2002-10-22",123182044.999507,2799591.93180697
"2002-11-05",57588596.1663928,1476630.67093315
"2002-11-19",169614232.20929,2231766.21328013
"2002-12-03",147958613.419301,1740689.56963884
"2002-12-17",361841990.932187,13603082.3658717
"2002-12-30",1382889749.65976,15113549.1766094
"2002-12-31",1440655074.21073,15831374.4418762
"2003-01-14",3610368473.85675,24899092.92315
"2003-01-28",983719707.276066,6879158.79214032
"2003-02-11",192359555.747574,1831995.76902451
"2003-02-25",100616300.106317,852680.509375565
"2003-03-11",25021005.7826191,217573.963327123
"2003-03-24",1062719998.65049,6251294.10970875
"2003-03-25",875052779.074558,5609312.68637537
"2003-04-08",191558057.598625,6385268.58662085
"2003-04-22",119260159.933129,4770406.39732514
"2003-05-06",32201142.2984579,2927376.57258708
"2003-05-20",51408424.0078134,2570421.20039067
"2003-06-03",12998680.3429285,1529256.51093277
"2003-06-16",16971405.2491576,1697140.52491576
"2003-06-17",1007108.35785423,1007108.35785423
"2003-07-01",33938113.0732666,2121132.06707916
"2003-07-15",43468601.3191116,3104900.09422226
"2003-08-12",178987894.962621,12784849.6401872
"2003-08-26",236757806.842746,23675780.6842746
"2003-09-09",500122489.737183,29418969.9845402
"2003-09-15",804013424.335803,21730092.5496163
"2003-09-23",176291181.532533,6079006.25974253
"2003-10-07",107718011.643021,6155314.95102975
"2003-10-21",136065051.250609,2567265.11793602
"2003-11-04",134839953.011585,1954202.2175592
"2003-11-18",264216433.705106,1661738.57676167
"2003-12-02",152050168.499811,1310777.31465354
"2003-12-15",152551773.573553,1500509.24826445
"2003-12-16",262677072.837167,1931449.06497917
"2003-12-30",137008866.699082,3341679.67558737
"2004-01-13",195042592.820358,4334279.8404524
"2004-01-27",205035557.241709,4271574.10920227
"2004-02-10",13677653.9885211,414474.363288518
"2004-02-24",127095807.435071,2824351.27633492
"2004-03-09",120949593.745074,3359710.93736316
"2004-03-15",184344574.258092,2836070.37320141
"2004-03-23",175761253.269218,2881332.02080685
"2004-04-06",72217038.3436938,601808.652864115
"2004-04-20",192718908.763806,1189622.89360374
"2004-05-04",99823095.8484702,1535739.93613031
"2004-05-17",94260622.8509276,860827.605944544
"2004-05-18",50819239.6847679,523909.687471834
"2004-06-08",16605764.5337721,1107050.96891814
"2004-06-22",2623120.43765668,655780.10941417
"2004-07-20",318018.122378007,636036.244756013
"2004-08-03",47102255.3203873,826355.356498022
"2004-08-17",273878939.167426,3466822.01477754
"2004-08-31",51254534.4059549,3942656.49276576
"2004-09-14",167694697.967221,27949116.3278701
"2004-09-29",3328935512.49851,48245442.2101234
"2004-10-12",3105529598.11031,20165776.6111059
"2004-10-26",373124178.33763,8954980.28010311
"2004-11-09",604586788.328381,5303392.88007352
"2004-11-22",553172443.607747,4097573.65635368
"2004-12-07",584057866.508948,3476534.91969612
"2004-12-21",235844989.506444,2358449.89506444
"2005-01-04",556218576.957348,2505489.08539346
"2005-01-18",459409344.127024,2069411.46003164
"2005-02-01",475518869.742753,2141976.89073312
"2005-02-03",289593171.572149,2098501.24327644
"2005-02-14",375397854.390017,1996797.09781924
"2005-02-15",179874680.735111,999303.781861728
"2005-03-01",195212862.245498,2620306.8757785
"2005-03-15",551148367.192587,4965300.60533862
"2005-03-29",301238895.638007,10387548.1254485
"2005-04-12",186900364.936716,5840636.40427237
"2005-04-26",38091957.9671837,3809195.79671837
"2005-05-10",346570882.2904,5501125.11572064
"2005-05-16",16396252.0368698,3643611.56374884
"2005-05-24",76418395.734719,2939169.06671996
"2005-06-07",17071103.2026669,17071103.2026669
"2005-06-21",234117902.896842,9754912.62070174
"2005-07-05",98077341.8674508,24519335.4668627
"2005-07-19",90831270.1406408,22707817.5351602
"2005-08-02",24777008.8033927,8259002.93446422
"2005-08-16",240860322.581703,7769687.82521622
"2005-08-22",143316236.320311,6514374.37819594
"2005-08-30",257802319.992795,8316203.87073531
"2005-09-12",37968993.0802296,8437554.01782881
"2005-10-11",133481491.939535,2669629.8387907
"2005-11-08",427141703.90522,14987428.2072007
"2005-11-14",558875753.726608,9979924.17368943
"2005-11-16",408939964.745369,8889999.23359498
"2005-12-06",402758202.312684,4738331.79191393
"2005-12-20",330731018.231378,3937274.02656403
"2006-01-03",354225336.407389,3651807.59182875
"2006-01-17",294207119.463291,2912941.77686427
"2006-01-30",384050168.809295,3048017.21277218
"2006-02-13",207600241.222444,3674340.55260962
"2006-02-21",5902069.91623846,2951034.95811923
"2006-02-28",270959807.55443,2605382.76494644
"2006-03-13",117108274.411433,1951804.57352388
"2006-03-28",135917694.005459,711610.963379366
"2006-04-11",112247638.307963,1254163.55651355
"2006-04-24",86282547.9535603,713078.90870711
"2006-05-08",38741621.6377323,1490062.37068201
"2006-05-22",24405618.6354733,1162172.31597492
"2006-06-19",2069802.91211904,206980.291211904
"2006-07-18",430890.885203789,61555.8407433984
"2006-07-31",8120526.75854702,115184.776716979
"2006-08-31",357237242.165098,3161391.52358494
"2006-09-25",5696802.22790891,517891.111628083
"2006-10-10",3149917.08427308,262493.09035609
"2006-10-24",4505858.18351021,107282.337702624
"2007-07-17",12394351.7172519,495774.068690074
"2007-08-06",4701731.02174218,2350865.51087109
"2007-08-20",5985375.81358794,1710107.37531084
"2007-08-21",9022579.1624457,1503763.19374095
"2007-09-04",40700178.7597637,2200009.66268993
"2007-09-17",215156942.413482,1081190.66539438
"2007-10-01",304479580.675046,1123540.8880998
"2007-10-15",129237906.654582,1820252.20640256
"2007-10-29",372847470.64335,1462146.94369941
"2007-11-05",276165728.864741,965614.436590003
"2007-11-20",104087599.354344,408186.664134682
"2007-11-26",21890245.3848732,83550.554904096
"2007-12-03",34701640.3697371,255911.802136704
"2007-12-18",57790071.6626258,240791.965260941
"2008-01-17",65634037.5214259,294323.038212672
"2008-01-29",20840321.9549597,212656.346479181
"2008-02-04",55270049.9184876,259483.802434214
"2008-02-19",59464410.1034506,450487.955329171
"2008-02-20",23248657.525412,261220.871072045
"2008-03-03",288187.026742702,80051.9518729728
"2008-03-17",2266189.53121573,2266189.53121573
"2008-04-07",67988352.7038171,5229873.28490901
"2008-04-21",13354020.9752645,2670804.1950529
"2008-06-17",26356591.3733116,798684.587070048
"2008-07-16",12800776.8469932,3200194.21174831
"2008-08-06",31980779.2390081,6396155.84780162
"2008-08-26",1285902491.75981,35719513.6599948
"2008-08-28",207809239.938481,34634873.3230802
"2008-09-08",225834434.206916,16131031.0147797
"2008-09-22",46027425.7514131,3835618.81261776
"2008-10-06",74291966.8315822,474709.053236947
"2008-10-20",135561374.742905,503945.631014515
"2008-11-13",125524592.15352,582480.706048819
"2008-11-19",113505373.864774,316170.957840595
"2008-11-24",68484420.3615728,184594.124963808
"2008-12-10",41227746.0776772,287301.366394963
"2008-12-23",12508729.1240386,245269.19851056
"2009-01-14",30071471.6827224,481143.546923558
"2009-01-27",63725708.5953587,321847.013107872
"2009-02-02",67805569.0447575,458145.736788902
"2009-02-17",2023440.30551779,289062.900788256
"2009-02-18",16639062.4269564,519970.700842387
"2009-03-03",6391810.7296315,176569.357172141
"2009-03-31",9278148.44400596,618543.229600397
"2009-04-14",22973368.8449491,433459.789527341
"2009-04-29",18601803.193172,140922.751463424
"2009-05-13",1348234.38626648,449411.462088826
"2009-05-20",8256605.2904289,1376100.88173815
"2009-05-27",536351992.069792,6704399.9008724
"2009-06-16",203348716.799843,6559636.02580138
"2009-07-07",149543015.743046,7477150.7871523
"2009-07-20",334787244.761001,9846683.6694412
"2009-08-04",120709144.300389,9656731.54403113
"2009-08-18",54714139.022871,4052899.18687933
"2009-08-26",294745806.467062,5263317.97262611
"2009-09-08",70116469.7440809,8248996.4404801
"2009-09-22",91572543.3859427,6937313.89287445
"2009-10-07",17039542.3781204,757312.99458313
"2009-10-21",61673251.9038625,458537.188876301
"2009-11-09",25073044.4444877,168275.466070387
"2009-11-18",102754374.709054,575654.76027481
"2009-11-30",72129744.5282039,386754.662349619
"2009-12-16",165451310.520096,1099344.25594748
"2009-12-28",26574544.5558483,161547.383318227
"2010-01-11",225957741.614446,710558.935894483
"2010-01-25",269723210.410337,1214969.41626278
"2010-02-08",673581784.540699,3007061.53812812
"2010-02-17",1354983607.43136,5463643.57835224
"2010-02-24",346882918.535568,6194337.83099228
"2010-03-15",797331439.960087,12576205.6776039
"2010-03-29",788941344.614702,14088238.2966911
"2010-04-12",401640851.260718,10710422.7002858
"2010-04-26",355270904.93283,7250426.63128224
"2010-05-10",52570425.0635001,7009390.00846668
"2010-05-24",120319111.226807,5469050.51030943
"2010-05-26",92149509.5107103,5420559.38298296
"2010-06-07",38621121.6756411,4413842.47721612
"2010-06-21",10049113.3301371,1116568.14779301
"2010-07-08",154430295.054215,6177211.8021686
"2010-07-19",7332142.25452665,1466428.45090533
"2010-08-02",46278224.2106581,416920.938834758
"2010-08-16",129449437.57631,1269112.13310108
"2010-08-18",115118034.136078,872106.31921271
"2010-09-14",15832671.1269157,1130905.08049398
"2010-09-27",78606710.7662976,1228229.8557234
"2010-10-11",236049400.893332,933001.584558624
"2010-10-26",103531933.116282,468470.285594035
"2010-11-09",31674370.1175969,185230.23460583
"2010-11-17",32305660.0057933,187823.604684845
"2010-11-29",39651919.0012217,252559.993638355
"2010-12-09",73088263.8957099,641125.121892192
"2010-12-22",10993564.8882521,354631.125427488
"2011-01-10",6676949.32324359,222564.977441453
"2011-01-24",2112862.64173286,52821.5660433216
"2011-02-17",57325711.6239494,573257.116239494
"2011-03-09",5032116.58350644,251605.829175322
"2011-07-20",80162683.8821956,3643758.35828162
"2011-08-03",26106673.6812631,1740444.91208421
"2011-08-17",53015334.826584,1325383.3706646
"2011-08-24",136689882.179363,1798551.08130741
"2011-08-31",67630198.5096028,1166037.90533798
"2011-09-14",40761318.6826643,5095164.83533304
"2011-09-28",63900540.8838931,3550030.04910517
"2011-10-12",548451776.091276,49859252.3719342
"2011-10-26",402552812.295577,26836854.1530385
"2011-11-07",341623172.563239,8133885.0610295
"2011-11-16",312140224.628164,4161869.66170886
"2011-11-22",230988292.389602,2923902.43531142
"2011-12-07",146665940.763689,1232486.89717386
"2011-12-21",262916935.103721,1537525.93627907
"2012-01-04",199120055.625722,1137828.88928984
"2012-01-18",186551287.537778,1277748.5447793
"2012-02-01",94432531.4816844,1628147.0945118
"2012-02-15",196639179.090323,2209428.97854296
