"Date","S65E_PHOSPHATE, TOTAL AS P_mg/L","S65E_S_FLOW_cfs"
"2000-01-01",0.11,2829782.67404757
"2000-01-02",0.1,2821072.86510296
"2000-01-03",0.094,2799616.39756243
"2000-01-04",0.0523333333333333,2890090.76126239
"2000-01-05",0.11,3198481.60886594
"2000-01-12",0.091,2846664.04531663
"2000-01-18",0.0335,2063588.61023159
"2000-01-19",0.074,2332100.27643143
"2000-01-24",0.065,3252330.73663868
"2000-01-26",0.075,3388849.65211887
"2000-02-01",0.07,2266996.90114598
"2000-02-02",0.067,2420225.927607
"2000-02-09",0.08,2220781.08907751
"2000-02-15",0.065,2518088.9494566
"2000-02-16",0.064,2683330.66184964
"2000-02-23",0.057,2580965.94099496
"2000-02-29",0.0325,2497513.24911272
"2000-03-01",0.06,1444531.59976648
"2000-03-08",0.075,631754.737550093
"2000-03-14",0.064,61066.5256341504
"2000-03-15",0.067,197242.920537869
"2000-03-22",0.088,472507.135245331
"2000-03-28",0.089,1170001.35772289
"2000-03-29",0.094,1117253.18894596
"2000-04-05",0.093,3747713.35324136
"2000-04-11",0.052,2892341.61076493
"2000-04-12",0.088,3008431.62043402
"2000-04-17",0.0555,2938239.36801239
"2000-04-19",0.092,3955085.09654066
"2000-04-24",0.0345,2501990.48236234
"2000-04-26",0.04175,1840093.93408257
"2000-05-03",0.066,1044663.29248902
"2000-05-10",0.054,8563.01441184
"2000-06-14",0.307,1174.3562621952
"2000-06-28",0.044,62216.4161408832
"2000-07-05",0.045,108383.296698432
"2000-07-25",0.035,669676.658516813
"2000-07-26",0.13,703170.277744839
"2000-08-01",0.0366,1730952.1989648
"2000-08-02",0.133,1685837.34589213
"2000-08-09",0.0523333333333333,1135700.36856461
"2000-08-15",0.046,300463.942833734
"2000-08-23",0.175,159687.985903085
"2000-09-06",0.125,129423.846396096
"2000-09-12",0.155,880473.607580851
"2000-09-13",0.135,976477.232015309
"2000-09-20",0.194,1866223.36091641
"2000-09-26",0.201,1041238.08672428
"2000-10-04",0.144,540106.017587942
"2000-10-10",0.086,622457.750474381
"2000-10-11",0.133,512630.974203667
"2000-10-16",0.173,107331.269213549
"2000-10-18",0.173,217989.881169984
"2001-06-19",0.026,96639.73407648
"2001-06-27",0.0245,153840.670347571
"2001-07-03",0.0396,323535.150234778
"2001-07-05",0.031,952158.271085683
"2001-07-11",0.066,770255.379222739
"2001-07-16",0.1595,2058010.41798616
"2001-07-17",0.196,2350669.78482739
"2001-07-18",0.109,2825501.16684165
