"Date","S65E_PHOSPHATE_Ld_mg","S65E_S_FLOW_cfd"
"2000-01-01",311276094.145233,2829782.67404757
"2000-01-02",282107286.510296,2821072.86510296
"2000-01-03",263163941.370868,2799616.39756243
"2000-01-04",151248083.172732,2890090.76126239
"2000-01-05",351832976.975253,3198481.60886594
"2000-01-12",259046428.123813,2846664.04531663
"2000-01-18",69130218.4427583,2063588.61023159
"2000-01-19",172575420.455926,2332100.27643143
"2000-01-24",211401497.881514,3252330.73663868
"2000-01-26",254163723.908915,3388849.65211887
"2000-02-01",158689783.080219,2266996.90114598
"2000-02-02",162155137.149669,2420225.927607
"2000-02-09",177662487.126201,2220781.08907751
"2000-02-15",163675781.714679,2518088.9494566
"2000-02-16",171733162.358377,2683330.66184964
"2000-02-23",147115058.636713,2580965.94099496
"2000-02-29",81169180.5961634,2497513.24911272
"2000-03-01",86671895.9859888,1444531.59976648
"2000-03-08",47381605.316257,631754.737550093
"2000-03-14",3908257.64058563,61066.5256341504
"2000-03-15",13215275.6760372,197242.920537869
"2000-03-22",41580627.9015891,472507.135245331
"2000-03-28",104130120.837337,1170001.35772289
"2000-03-29",105021799.76092,1117253.18894596
"2000-04-05",348537341.851447,3747713.35324136
"2000-04-11",150401763.759776,2892341.61076493
"2000-04-12",264741982.598194,3008431.62043402
"2000-04-17",163072284.924688,2938239.36801239
"2000-04-19",363867828.881741,3955085.09654066
"2000-04-24",86318671.6415007,2501990.48236234
"2000-04-26",76823921.7479473,1840093.93408257
"2000-05-03",68947777.3042753,1044663.29248902
"2000-05-10",462402.77823936,8563.01441184
"2000-06-14",360527.372493926,1174.3562621952
"2000-06-28",2737522.31019886,62216.4161408832
"2000-07-05",4877248.35142944,108383.296698432
"2000-07-25",23438683.0480885,669676.658516813
"2000-07-26",91412136.1068291,703170.277744839
"2000-08-01",63352850.4821117,1730952.1989648
"2000-08-02",224216367.003653,1685837.34589213
"2000-08-09",59434985.9548812,1135700.36856461
"2000-08-15",13821341.3703518,300463.942833734
"2000-08-23",27945397.5330399,159687.985903085
"2000-09-06",16177980.799512,129423.846396096
"2000-09-12",136473409.175032,880473.607580851
"2000-09-13",131824426.322067,976477.232015309
"2000-09-20",362047332.017784,1866223.36091641
"2000-09-26",209288855.43158,1041238.08672428
"2000-10-04",77775266.5326636,540106.017587942
"2000-10-10",53531366.5407968,622457.750474381
"2000-10-11",68179919.5690877,512630.974203667
"2000-10-16",18568309.573944,107331.269213549
"2000-10-18",37712249.4424072,217989.881169984
"2001-06-19",2512633.08598848,96639.73407648
"2001-06-27",3769096.42351549,153840.670347571
"2001-07-03",12811991.9492972,323535.150234778
"2001-07-05",29516906.4036562,952158.271085683
"2001-07-11",50836855.0287008,770255.379222739
"2001-07-16",328252661.668792,2058010.41798616
"2001-07-17",460731277.826169,2350669.78482739
"2001-07-18",307979627.18574,2825501.16684165
"2001-07-25",651467286.041257,2669947.89361171
"2001-07-31",363285348.175691,1593356.79024426
"2001-08-01",236635478.065433,1931718.18828925
"2001-08-08",1442428719.15298,6111986.09810584
"2001-08-14",1014811156.30402,5637839.75724453
"2001-08-15",473430240.431806,4323563.83955987
