"Date","S71_AMMONIA-N_mg/L","S71_S_FLOW_cfs"
"2000-01-24",0.032,507909.083399424
"2000-02-07",0.0135,10202.2200278208
"2000-04-17",0.013,234112.814019706
"2000-06-26",0.012,146818.998529862
"2000-07-24",0.027,1099833.57105673
"2000-09-05",0.0222,744590.801742682
"2000-09-18",0.244,1721190.3625353
"2000-10-02",0.231,183248.508413376
"2000-10-16",0.097,63292.9093812288
"2001-02-20",0.018,78094.6914359808
"2001-04-02",0.0228,431673.789378586
"2001-06-04",0.00216666666666667,132604.394606208
"2001-06-18",0.014,125974.174875898
"2001-07-16",0.633,1728530.08917402
"2001-07-30",0.8,545806.538610682
"2001-08-13",0.69,242773.691453395
"2001-08-27",0.285,1488863.54866435
"2001-09-10",0.371,4240796.18883057
"2001-09-24",0.213,2021018.19572701
"2001-10-08",1.135,1720138.33505042
"2001-10-22",0.132,797265.573253229
"2001-11-05",0.05,1738438.72013629
"2002-06-24",0.808,3718109.78913185
"2002-07-08",0.127,2140631.27418269
"2002-07-22",0.188,3621421.12354445
"2002-08-05",0.247,3415566.25708381
"2002-08-19",0.554,885415.690184256
"2002-09-03",0.267,3020077.32003412
"2002-09-16",0.205,1362448.99019013
"2002-09-30",0.242,783760.476237984
"2002-10-14",0.161,1962838.62923743
"2002-11-25",0.43,96908.8573865664
"2002-12-09",0.026,584462.432241274
"2002-12-30",0.27,1041556.14154529
"2003-01-13",0.158,122915.955443098
"2003-01-27",0.182,531078.153822317
"2003-02-24",0.134,1540779.88175556
"2003-03-24",0.381,755111.076591514
"2003-04-07",0.009,582456.240293357
"2003-04-21",0.015,1094304.31032223
"2003-05-05",0.012,601417.200776717
"2003-06-02",0.145,501914.973311136
"2003-06-16",0.011,967033.450406822
"2003-07-08",0.1405,790317.298701907
"2003-07-21",0.149,205757.003438784
"2003-08-04",0.122,1440445.81860426
"2003-08-18",0.191,1323499.50749399
"2003-09-02",0.204,971877.669988378
"2003-09-15",0.135,124824.284369165
"2003-10-06",0.129,288818.243233632
"2003-11-03",0.107,936671.447877984
"2003-12-01",0.015,109166.200873229
"2003-12-15",0.041,1680185.75638032
"2004-01-05",0.027,365347.126320019
"2004-01-20",0.081,1414756.77536874
"2004-02-02",0.0015,329896.246655002
"2004-03-01",0.433,137375.216921376
"2004-04-05",0.054,587.1781310976
"2004-06-21",0.01,219849.278585126
"2004-07-12",0.013,468690.477393197
"2004-08-09",0.499,1944146.79206415
"2004-08-23",0.033,3727162.11865294
"2004-10-04",0.232,3805305.74159985
"2004-10-18",0.079,1939351.50399352
"2004-11-01",0.093,1008894.35800299
