"Date","S72_PHOSPHATE, TOTAL AS P_mg/L","S72_S_FLOW_cfs"
"2000-04-17",0.056,43622.4419894592
"2000-06-26",0.073,25493.3171918208
"2000-07-24",0.126,121717.13342544
"2000-09-18",0.484,783197.763862349
"2001-04-02",0.087,105887.789641267
"2001-06-18",0.277,108676.885763981
"2001-07-16",0.286,340710.110569382
"2001-07-30",0.21,138965.491026432
"2001-08-13",0.285,200986.181123616
"2001-08-27",0.422,201891.414075725
"2001-10-08",0.237,275631.201039398
"2001-10-22",0.108,219751.415563277
"2001-11-05",0.184,47316.7710642816
"2002-01-22",0.136,77801.102370432
"2002-06-13",0.0835,8807.671966464
"2002-06-20",0.0723333333333333,219237.634698566
"2002-06-24",0.238,1123467.49083341
"2002-06-27",0.218,1448715.24395055
"2002-07-03",0.208,1362326.66141282
"2002-07-08",0.299,483345.464915174
"2002-07-11",0.215333333333333,852704.975131027
"2002-07-18",0.13,682521.180134573
"2002-07-22",0.205,812336.478618067
"2002-07-25",0.23,414547.760554906
"2002-08-05",0.194,752370.911979725
"2002-08-07",0.167,338092.274734906
"2002-08-14",0.107,139308.011602906
"2002-08-19",0.215,326348.712112954
"2002-08-22",0.223333333333333,450659.215617408
"2002-08-29",0.128,759270.255020122
"2002-09-03",0.313,860631.879900845
"2002-09-05",0.1195,534870.345918989
"2002-09-12",0.1105,488312.013274042
"2002-09-16",0.185,314140.300137216
"2002-09-26",0.14425,418902.665027213
"2002-10-03",0.106333333333333,163822.69857623
"2002-10-10",0.169,146867.930040787
"2002-10-14",0.138,521022.72832727
"2002-10-17",0.066,307118.628319507
"2002-10-23",0.076,28698.3311573952
"2002-11-21",0.227666666666667,413887.185157421
"2002-11-27",0.282,193059.276353798
"2002-12-11",0.1475,1088041.07692385
"2002-12-19",0.26,141436.532328134
"2002-12-26",0.188,423771.35036423
"2002-12-30",0.218,296231.367138739
"2003-01-02",0.172,807223.135726426
"2003-01-09",0.118,290114.928273139
"2003-01-13",0.212,288842.708989094
"2003-01-16",0.140333333333333,11670.1653555648
"2003-01-27",0.1285,146280.75190969
"2003-02-24",0.0856666666666667,315583.779709498
"2003-02-27",0.0916666666666667,156801.026758522
"2003-03-20",0.3275,311987.313656525
"2003-03-24",0.437,309149.286022886
"2003-05-21",0.119666666666667,185181.303094906
"2003-05-29",0.0823333333333333,1130171.10783011
"2003-06-02",0.213,432432.22779792
"2003-06-04",0.2425,360135.920406528
"2003-06-12",0.2365,332587.479755866
"2003-06-16",0.347,220411.990960762
"2003-06-19",0.134666666666667,374913.236705818
"2003-06-26",0.241,1253747.63867069
"2003-07-03",0.111,404296.60901616
"2003-07-10",0.1645,91232.8021192896
"2003-07-17",0.1405,34839.2357784576
"2003-07-21",0.107,124163.70897168
"2003-07-24",0.130333333333333,310812.95739433
"2003-07-31",0.233,131332.175322163
"2003-08-07",0.195333333333333,276438.570969658
"2003-08-13",0.155333333333333,329455.863056678
"2003-08-18",0.253,328942.082191968
"2003-08-20",0.206666666666667,923386.542661901
"2003-08-27",0.108,772090.310882419
"2003-09-04",0.218,792176.69611705
"2003-09-11",0.257,269221.17310825
"2003-09-15",0.203,253538.623856851
"2003-09-18",0.2055,312696.820564934
"2003-09-24",0.1285,30313.0710179136
"2003-10-02",0.292,1215752.32043758
"2003-10-06",0.282,328844.219170118
"2003-10-08",0.2825,258603.035237568
"2003-10-20",0.115,274456.844777203
"2003-10-23",0.175,74302.4993393088
"2003-11-06",0.07,268976.515553626
"2003-12-18",0.101,1054376.19740759
"2004-01-08",0.0886666666666667,167614.890672902
"2004-02-02",0.121,265722.570077126
"2004-02-04",0.0833333333333333,110756.474978285
"2004-02-25",0.139,831126.17881319
"2004-03-01",0.731,567703.38974953
"2004-03-02",0.366,355829.947445146
"2004-03-18",0.154,285833.421067219
"2004-06-17",0.351,414988.144153229
"2004-06-21",0.153,43010.7981028992
"2004-06-23",0.2125,73005.8142998016
"2004-07-12",0.169,393629.539634554
"2004-07-15",0.185,29261.0435330304
"2004-08-05",0.13475,1070866.11658925
"2004-08-09",0.425,1037421.42887215
"2004-08-11",0.51,1667488.02929533
"2004-08-18",0.4165,2043404.36197511
"2004-08-23",0.23,1331646.60406297
"2004-08-26",0.2435,1261283.09135311
"2004-09-13",0.349,1041898.66212177
