"Date","S84_NITRATE_NITRITE_N_Ld_mg","S84_S_FLOW_cfd"
"2000-01-10",78045.759925056,3547.534542048
"2000-01-24",52769405.0526758,977211.204679181
"2000-03-06",105496.337553869,3767.7263412096
"2000-04-17",356710.714641792,71342.1429283584
"2000-07-25",2695147.62173799,539029.524347597
"2000-08-07",1300526.1631148,100040.474085754
"2000-09-05",4876710.10480928,152397.19077529
"2000-09-18",15751493.7502914,750071.130966259
"2000-10-02",2307928.11003458,74449.2938720832
"2001-07-16",39608688.0113198,1277699.61326838
"2001-07-30",1288855.99775923,322213.999439808
"2001-09-10",401728047.213184,3433573.05310414
"2001-09-24",48062634.0853083,2827213.76972402
"2001-10-08",76978808.3293408,2960723.39728234
"2001-11-05",26946509.6690209,2449682.69718372
"2002-01-22",16019687.3616703,266994.789361171
"2002-03-04",4367.1373500384,171.2602882368
"2002-06-24",124198613.449473,2117021.82016147
"2002-08-19",18706908.0786384,779454.503276602
"2002-09-30",11268437.6508722,1126843.76508722
"2002-10-14",244360051.037576,1197843.3874391
"2002-11-25",2418195.26990362,483639.053980723
"2002-12-09",1649970.54838426,329994.109676851
"2002-12-30",6448781.68780125,201524.427743789
"2003-01-27",957907.723619347,10300.0830496704
"2003-02-10",12317039.9299907,439894.283213952
"2003-02-24",1195983.99002396,11841.4256438016
"2003-03-24",13148422.9992362,559507.361669626
"2003-06-02",7544064.62834197,685824.057121997
"2003-06-16",9799513.69290971,1399930.52755853
"2003-07-08",6953534.688746,1390706.9377492
"2003-08-04",72123603.6235828,1759112.28350202
"2003-08-18",39727077.8020024,1891765.60961916
"2003-09-02",68709627.6406041,1616697.12095539
"2003-09-15",74424.8281166208,1908.3289260672
"2003-10-06",96047515.9997573,1315719.39725695
"2003-10-20",2525722.26516086,45922.2230029248
"2003-11-03",245734.047864346,3963.4523849088
"2004-01-05",382693.346942861,5798.3840445888
"2004-01-21",97863.0218496,4893.15109248
"2004-02-02",41687665.5817371,1985126.93246367
"2004-02-17",2998522.98947174,599704.597894349
"2004-03-01",44509570.2825259,494550.780916954
"2004-08-23",5388704.9693709,1077740.99387418
"2004-09-13",26430453.4890526,3303806.68613157
"2004-10-04",339174272.77023,4522323.6369364
"2004-10-18",2787261.19105393,111490.447642157
"2005-01-03",55335177.7595287,212827.606767418
"2005-01-18",40136903.6717528,1180497.16681626
"2005-02-14",25004.0020825728,342.5205764736
"2005-02-28",18481505.0735633,152739.711351763
"2005-03-14",4513320.23892624,19205.618037984
"2005-04-04",150562.25911561,4428.3017386944
"2005-06-13",45460064.88224,7576677.48037334
"2005-06-27",19130973.0180682,2732996.14543832
"2005-07-11",10687082.3695747,1781180.39492911
"2005-07-25",3560721.58424223,395635.73158247
"2005-08-22",21731169.0428566,658520.274025958
"2005-09-06",31186498.4879212,2079099.89919475
"2005-11-01",35583875.5117112,531102.619577779
"2005-11-14",66142680.5774892,1653567.01443723
"2005-12-05",4764632.47903601,680661.78271943
"2006-01-09",4404618.88740678,137644.340231462
"2006-02-06",191844404.800557,2997568.82500871
"2006-03-06",30826.851882624,513.7808647104
"2006-03-20",8758.7404555392,48.9315109248
"2006-09-25",2822027.02956599,403146.718509427
"2006-10-09",52687.0043882784,1443.4795722816
"2007-05-07",2214.1508693472,4428.3017386944
"2007-05-21",1259790.6802699,104982.556689158
"2007-07-09",1010802.68692906,202160.537385811
"2007-07-23",1265613.53006995,90400.966433568
"2007-08-06",1225881.14319901,817254.09546601
"2007-08-20",533414.633468976,39512.195071776
"2007-09-10",14864071.8681593,89006.4183722112
"2007-09-24",9816884.379288,91746.582984
"2007-10-08",10325454.0380849,104297.515536211
"2007-10-22",8278037.29221397,78094.6914359808
