"Date","S84_PHOSPHATE_Ld_mg","S84_S_FLOW_cfd"
"2000-01-10",152543.985308064,3547.534542048
"2000-01-24",70359206.736901,977211.204679181
"2000-03-06",162012.232672013,3767.7263412096
"2000-04-17",4137844.28984479,71342.1429283584
"2000-07-25",21022151.4495563,539029.524347597
"2000-08-07",3301335.64482988,100040.474085754
"2000-09-05",6095887.6310116,152397.19077529
"2000-09-18",46504410.1199081,750071.130966259
"2000-10-02",4913653.39555749,74449.2938720832
"2001-07-16",120103763.647228,1277699.61326838
"2001-07-30",37054609.9355779,322213.999439808
"2001-08-13",47064137.6733769,662875.178498266
"2001-09-10",343357305.310414,3433573.05310414
"2001-09-24",296857445.821022,2827213.76972402
"2001-10-08",269425829.152693,2960723.39728234
"2001-11-05",242518587.021188,2449682.69718372
"2002-01-22",6674869.73402928,266994.789361171
"2002-03-04",5737.2196559328,171.2602882368
"2002-06-24",195118844.424882,2117021.82016147
"2002-07-08",779995832.581963,6842068.70685932
"2002-08-05",2982938.30324219,43230.9899020608
"2002-08-19",45208361.1900429,779454.503276602
"2002-09-03",138231901.659395,2316735.78200104
"2002-09-30",31551625.4224422,1126843.76508722
"2002-10-14",59892169.371955,1197843.3874391
"2002-11-25",26116508.914959,483639.053980723
"2002-12-09",20129640.6902879,329994.109676851
"2002-12-30",8564788.17911103,201524.427743789
"2003-01-27",566504.567731872,10300.0830496704
"2003-02-10",21994714.1606976,439894.283213952
"2003-02-24",651278.410409088,11841.4256438016
"2003-03-24",88402163.1438009,559507.361669626
"2003-04-21",699720.60622464,13456.16550432
"2003-05-05",26044286.004834,723452.389023168
"2003-06-02",84356359.0260056,685824.057121997
"2003-06-16",68596595.850368,1399930.52755853
"2003-07-08",119600796.646431,1390706.9377492
"2003-07-21",68177937.8428953,1175481.68694647
"2003-08-04",137210758.113158,1759112.28350202
"2003-08-18",217553045.106203,1891765.60961916
"2003-09-02",59817793.4753494,1616697.12095539
"2003-09-15",116408.064490099,1908.3289260672
"2003-10-06",119730465.150382,1315719.39725695
"2003-10-20",3398244.50221644,45922.2230029248
"2003-11-03",301222.381253069,3963.4523849088
"2004-01-05",579838.40445888,5798.3840445888
"2004-01-21",484421.95815552,4893.15109248
"2004-02-02",158810154.597094,1985126.93246367
"2004-02-17",37181685.0694496,599704.597894349
"2004-03-01",45498671.8443598,494550.780916954
"2004-03-15",25260158.5422641,377017.291675584
"2004-06-21",3712066.74753264,72785.62250064
"2004-08-09",14270263.5173314,259459.336678752
"2004-08-23",345954859.033612,1077740.99387418
"2004-09-13",218051241.284684,3303806.68613157
"2004-10-04",583379749.164796,4522323.6369364
"2004-10-18",8696254.91608825,111490.447642157
"2005-01-03",20857105.463207,212827.606767418
"2005-01-18",126313196.84934,1180497.16681626
"2005-02-14",30484.3313061504,342.5205764736
"2005-02-28",21230819.8778951,152739.711351763
"2005-03-14",5473601.14082544,19205.618037984
"2005-04-04",349835.837356858,4428.3017386944
"2005-06-13",871317910.242934,7576677.48037334
"2005-06-27",240503660.798572,2732996.14543832
"2005-07-11",131807349.224754,1781180.39492911
"2005-07-25",19781786.5791235,395635.73158247
"2005-08-08",298596227.061735,2296894.05432104
"2005-08-22",51364581.3740247,658520.274025958
"2005-09-06",199593590.322696,2079099.89919475
"2005-11-01",90818547.9478002,531102.619577779
"2005-11-14",147167464.284913,1653567.01443723
"2005-12-05",49688310.1385184,680661.78271943
"2006-01-09",7295150.03226749,137644.340231462
"2006-02-06",239805506.000697,2997568.82500871
"2006-02-21",16004518.5932836,200056.482416045
"2006-03-06",40588.6883121216,513.7808647104
"2006-03-20",4110.2469176832,48.9315109248
"2006-09-11",29631650.7967748,823101.411021523
"2006-09-25",31042297.3252259,403146.718509427
"2006-10-09",72895.7184002208,1443.4795722816
"2007-05-07",123992.448683443,4428.3017386944
"2007-05-21",6298953.40134948,104982.556689158
"2007-07-09",99260823.8564332,202160.537385811
"2007-07-23",35708381.7412594,90400.966433568
"2007-08-06",53938770.3007567,817254.09546601
"2007-08-20",4583414.62832602,39512.195071776
"2007-09-10",18335322.1846755,89006.4183722112
"2007-09-24",16239145.188168,91746.582984
"2007-10-08",18982147.8275904,104297.515536211
"2007-10-22",12417055.9383209,78094.6914359808
