"Date","S65E_NITRATE_NITRITE_N_Ld_mg","S65E_PHOSPHATE_Ld_mg","S65E_AMMONIA_N_Ld_mg","S65E_S_FLOW_cfs"
"2000-01-04",105199303.709951,151248083.172732,44507397.7234408,2890090.76126239
"2000-01-18",56748686.7813687,69130218.4427583,38176389.2892844,2063588.61023159
"2000-01-24",120336237.255631,211401497.881514,117083906.518992,3252330.73663868
"2000-02-01",72543900.8366714,158689783.080219,56674922.5286495,2266996.90114598
"2000-02-15",25180889.494566,163675781.714679,25180889.494566,2518088.9494566
"2000-03-14",2137328.39719526,3908257.64058563,2198394.92282941,61066.5256341504
"2000-03-28",109980127.625952,104130120.837337,22230025.7967349,1170001.35772289
"2000-04-11",14461708.0538247,150401763.759776,26031074.4968844,2892341.61076493
"2000-08-01",3808094.83772256,63352850.4821117,29079996.9426086,1730952.1989648
"2000-08-15",1442226.92560192,13821341.3703518,2704175.48550361,300463.942833734
"2000-09-12",85405939.9353425,136473409.175032,24653261.0122638,880473.607580851
"2000-09-26",49979428.1627654,209288855.43158,219701236.298823,1041238.08672428
"2000-10-10",51663993.2893736,53531366.5407968,61934546.1722009,622457.750474381
"2000-10-16",35419318.8404712,18568309.573944,5903219.8067452,107331.269213549
"2001-07-03",6211874.88450774,12811991.9492972,6017753.79436687,323535.150234778
"2001-07-16",92610468.8093772,328252661.668792,156408791.766948,2058010.41798616
"2001-07-17",124585498.595852,460731277.826169,150442866.228953,2350669.78482739
"2001-07-31",57360844.4487934,363285348.175691,237410161.746395,1593356.79024426
"2001-08-28",23107906.0342368,226457479.135521,73945299.3095578,2310790.60342368
"2001-09-11",15341770.6367137,341902317.046763,414227807.191271,5479203.79882633
"2001-10-08",105213488.954968,501787408.862155,550347480.687525,8093345.30422831
"2001-10-09",156809834.430488,486110486.734513,564515403.949757,7840491.7215244
"2001-11-06",64056326.5817998,211579987.80049,137818157.191145,3882201.61101817
"2001-11-20",28205187.1574173,70967890.2670499,54590684.8208076,1819689.49402692
"2001-12-04",45855235.7644688,42327909.9364327,51734112.1445289,1175775.27601202
"2001-12-18",152422733.023993,93466770.2505615,56080062.1503369,1437950.3115471
"2002-01-02",73133965.9269137,36321566.9704135,12270799.6521667,981663.972173338
"2002-01-15",69743305.8088906,19585448.8915378,8598489.75726048,955387.75080672
"2002-01-29",26011440.7281258,22227958.4403984,18444476.152671,945870.571931847
"2002-02-12",72733326.948339,38623904.6553248,11537010.4814607,1003218.30273571
"2002-02-26",161242417.676388,68102387.5900271,29043665.2957469,1001505.69985334
"2002-03-12",81774732.5096132,45533657.874671,42745882.9027523,929258.323972877
"2002-03-18",19551930.8065543,24579570.1568111,13965664.8618245,1117253.18894596
"2002-03-26",37028137.9881676,42077429.5320087,34503492.2162471,841548.590640173
"2002-04-09",29581300.2720332,23448591.6790507,19841116.0361198,721495.128586176
"2002-06-24",19221520.7790346,112445896.557352,30754433.2464554,1922152.07790346
"2002-07-02",126428846.47541,3877151291.91259,1938575645.95629,10535737.2062842
"2002-07-16",97658573.7640786,1292098052.87858,150243959.637044,15024395.9637044
"2002-07-30",11655559.2995538,338011219.687059,178718575.926491,7770372.86636917
"2002-08-13",145540418.149397,422067212.633252,822303362.544095,7277020.90746987
"2002-08-27",115902357.324691,424975310.190536,470048449.150138,12878039.7027435
"2002-09-10",214289924.971406,507152822.432326,471437834.937092,14285994.9980937
"2002-09-16",567927593.932589,679043862.310704,1006219541.42404,12346252.0420128
"2002-09-24",165662217.56506,236660310.807228,307658404.049396,9466412.43228912
"2002-10-08",151551409.608954,238808281.808049,289325418.344367,4592466.9578471
"2002-10-22",123182044.999507,145578780.453962,299556336.703346,2799591.93180697
"2002-11-05",57588596.1663928,79738056.2303901,166859265.815446,1476630.67093315
"2002-11-19",169614232.20929,111588310.664007,245494283.460814,2231766.21328013
"2002-12-03",147958613.419301,83553099.3426643,83553099.3426643,1740689.56963884
"2002-12-17",361841990.932187,614859322.937401,282944113.210131,13603082.3658717
"2002-12-30",1382889749.65976,748120684.242165,967267147.303002,15113549.1766094
"2002-12-31",1440655074.21073,997376589.838201,395784361.046905,15831374.4418762
"2003-01-14",3610368473.85675,1892331062.1594,971064624.00285,24899092.92315
"2003-01-28",983719707.276066,323320463.230595,288924669.269893,6879158.79214032
"2003-02-11",192359555.747574,115415733.448544,137399682.676838,1831995.76902451
"2003-02-25",100616300.106317,81857328.9000542,78446606.862552,852680.509375565
"2003-03-11",25021005.7826191,21104674.4427309,10008402.3130477,217573.963327123
"2003-03-24",1062719998.65049,690767999.122817,668888469.738836,6251294.10970875
"2003-03-25",875052779.074558,633852333.560417,471182265.655531,5609312.68637537
"2003-04-08",191558057.598625,312878160.744422,134090640.319038,6385268.58662085
"2003-04-22",119260159.933129,233749913.468932,62015283.1652268,4770406.39732514
"2003-05-06",32201142.2984579,73184414.314677,23419012.5806966,2927376.57258708
"2003-05-20",51408424.0078134,161936535.624612,128521060.019534,2570421.20039067
"2003-06-03",12998680.3429285,41289925.7951848,9940167.321063,1529256.51093277
"2003-06-16",16971405.2491576,133225531.205887,26305678.1361943,1697140.52491576
"2003-07-01",33938113.0732666,233324527.378708,82724150.6160872,2121132.06707916
"2003-07-15",43468601.3191116,226657706.878225,37258801.1306671,3104900.09422226
"2003-08-12",178987894.962621,997218271.934602,767090978.411232,12784849.6401872
"2003-08-26",236757806.842746,2580660094.58593,1018058569.42381,23675780.6842746
"2003-09-09",500122489.737183,1265015709.33523,441284549.768103,29418969.9845402
