"","date","CULV10A_AMMONIA-N_mg/L","days"
"1",1982-05-04,0.04,4
"2",1982-06-01,0.11,32
"3",1982-07-01,0.05,62
"4",1982-07-12,0.05,73
"5",1982-07-27,0.3,88
"6",1983-04-15,NA,350
"7",1986-01-14,0.73,1355
"8",1987-04-23,NA,1819
"9",1987-04-29,NA,1825
"10",1987-05-04,NA,1830
"11",1987-06-24,NA,1881
"12",1987-07-21,NA,1908
"13",1987-08-18,NA,1936
"14",1987-09-01,NA,1950
"15",1987-09-29,NA,1978
"16",1987-10-13,0.25,1992
"17",1987-12-08,0.16,2048
"18",1988-02-16,0.13,2118
"19",1988-03-29,NA,2160
"20",1988-04-26,0.01,2188
"21",1988-05-10,NA,2202
"22",1988-05-24,NA,2216
"23",1988-06-07,NA,2230
"24",1988-08-30,0.24,2314
"25",1988-09-27,NA,2342
"26",1988-10-11,NA,2356
"27",1988-11-22,NA,2398
"28",1988-12-06,NA,2412
"29",1989-02-28,NA,2496
"30",1989-03-15,NA,2511
"31",1989-04-11,0.1,2538
"32",1989-06-21,0.07,2609
"33",1989-07-19,0.12,2637
"34",1990-08-28,0.05,3042
"35",1990-09-12,0.15,3057
"36",1990-09-25,0.22,3070
"37",1990-10-31,0.14,3106
"38",1990-11-06,0.06,3112
"39",1990-11-20,0.07,3126
"40",1990-12-19,0.03,3155
"41",1991-01-17,0.58,3184
"42",1991-01-30,0.05,3197
"43",1991-02-27,0.17,3225
"44",1991-03-25,0.04,3251
"45",1991-04-09,0.87,3266
"46",1991-04-25,0.05,3282
"47",1991-05-07,NA,3294
"48",1991-05-22,0.25,3309
"49",1991-06-04,NA,3322
"50",1991-07-02,0.19,3350
"51",1991-07-16,0.02,3364
"52",1991-07-29,0.02,3377
"53",1991-08-13,0.01,3392
"54",1991-08-28,0.07,3407
"55",1991-09-25,0.03,3435
"56",1991-10-23,0.02,3463
"57",1991-11-06,0.01,3477
"58",1991-11-20,0.05,3491
"59",1991-12-31,NA,3532
"60",1992-01-29,0.02,3561
"61",1992-02-27,NA,3590
"62",1992-03-25,NA,3617
"63",1992-04-21,NA,3644
"64",1992-05-18,0.04,3671
"65",1992-06-01,NA,3685
"66",1992-06-29,0.84,3713
"67",1992-07-27,0.12,3741
"68",1992-08-10,0.89,3755
"69",1992-08-31,0.21,3776
"70",1992-09-09,0.04,3785
"71",1992-09-22,0.33,3798
"72",1992-10-20,0.015,3826
"73",1992-11-16,0.62,3853
"74",1992-12-16,0.01,3883
"75",1993-02-24,0.02,3953
"76",1993-03-25,0.53,3982
"77",1993-04-21,NA,4009
"78",1993-05-19,NA,4037
"79",1993-06-01,0.35,4050
"80",1993-06-16,NA,4065
"81",1993-06-26,0.07,4075
"82",1993-06-30,NA,4079
"83",1993-08-25,0.06,4135
"84",1993-09-07,0.225,4148
"85",1993-09-22,0.35,4163
"86",1993-10-19,0.11,4190
"87",1993-11-18,NA,4220
"88",1993-12-15,0.02,4247
"89",1994-01-20,NA,4283
"90",1994-02-15,NA,4309
"91",1994-03-28,0.02,4350
"92",1994-04-26,0.026,4379
"93",1994-05-18,0.1,4401
"94",1994-07-20,NA,4464
"95",1994-08-03,NA,4478
"96",1994-08-15,0.326,4490
"97",1994-08-29,0.217,4504
"98",1994-09-12,0.573,4518
"99",1994-09-28,4.92,4534
"100",1994-10-10,0.047,4546
"101",1994-11-07,0.07,4574
"102",1994-11-21,0.345,4588
"103",1994-12-05,0.04,4602
"104",1995-01-03,NA,4631
"105",1995-01-31,0.027,4659
"106",1995-02-13,NA,4672
"107",1995-02-27,0.01,4686
"108",1995-03-13,0.012,4700
"109",1995-03-28,NA,4715
"110",1995-04-24,0.014,4742
"111",1995-05-08,0.04,4756
"112",1995-05-22,0.016,4770
"113",1995-06-19,NA,4798
"114",1995-07-17,0.492,4826
"115",1995-08-14,0.421,4854
"116",1995-08-29,1.187,4869
"117",1995-09-11,0.169,4882
"118",1995-09-26,0.118,4897
"119",1995-10-09,0.393,4910
"120",1995-10-24,0.524,4925
"121",1995-11-06,0.098,4938
"122",1995-12-04,0.035,4966
"123",1995-12-19,0.062,4981
"124",1996-01-02,0.024,4995
"125",1996-01-29,0.043,5022
"126",1996-02-26,0.076,5050
"127",1996-03-25,0.039,5078
"128",1996-04-22,0.082,5106
"129",1996-05-06,0.075,5120
"130",1996-05-20,0.044,5134
"131",1996-06-19,NA,5164
"132",1996-07-15,0.078,5190
"133",1996-07-30,0.068,5205
"134",1996-08-14,0.0478,5220
"135",1996-09-09,0.021,5246
"136",1996-10-07,0.094,5274
"137",1996-11-04,0.137,5302
"138",1996-12-02,0.022,5330
"139",1996-12-30,0.022,5358
"140",1997-02-24,0.044,5414
"141",1997-03-10,0.016,5428
"142",1997-04-21,0.045,5470
"143",1997-05-19,0.074,5498
"144",1997-06-16,0.55,5526
"145",1997-07-14,0.091,5554
"146",1997-07-28,0.069,5568
"147",1997-08-11,0.063,5582
"148",1997-08-25,0.123,5596
"149",1997-09-22,0.083,5624
"150",1997-10-20,0.072,5652
"151",1997-11-17,0.054,5680
