"","date","CULV10A_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",2004-10-11,NA,11
"2",2005-07-20,NA,293
"3",2005-09-13,216.5,348
"4",2005-09-27,3,362
"5",2005-10-11,457,376
"6",2005-11-22,7,418
"7",2006-01-17,11,474
"8",2006-02-22,9.5,510
"9",2006-03-07,3,523
"10",2006-04-04,6,551
"11",2006-05-02,7,579
"12",2006-05-16,6,593
"13",2006-05-30,3,607
"14",2006-06-13,4,621
"15",2006-07-05,3,643
"16",2006-07-17,25,655
"17",2006-08-07,5,676
"18",2006-08-21,6,690
"19",2006-09-11,2,711
"20",2006-09-25,2,725
"21",2006-10-09,6,739
"22",2006-10-23,2,753
"23",2006-11-27,NA,788
"24",2006-12-18,2,809
"25",2009-07-08,NA,1742
