"","date","CULV10A_CHLOROPHYLL-A_ug/L","days"
"1",2004-10-11,NA,11
"2",2005-07-20,NA,293
"3",2005-09-13,243.5,348
"4",2005-09-27,4,362
"5",2005-10-11,514,376
"6",2005-11-22,10,418
"7",2006-01-17,13,474
"8",2006-02-22,12.5,510
"9",2006-03-07,5,523
"10",2006-04-04,6,551
"11",2006-05-02,8,579
"12",2006-05-16,9,593
"13",2006-05-30,4,607
"14",2006-06-13,8,621
"15",2006-07-05,4,643
"16",2006-07-17,26,655
"17",2006-08-07,8,676
"18",2006-08-21,7.5,690
"19",2006-09-11,2,711
"20",2006-09-25,1,725
"21",2006-10-09,5,739
"22",2006-10-23,2,753
"23",2006-11-27,NA,788
"24",2006-12-18,1,809
"25",2009-07-08,NA,1742
