"","date","CULV10A_NITRATE+NITRITE-N_mg/L","days"
"1",1982-05-04,0.316,4
"2",1982-06-01,0.585,32
"3",1982-07-01,0.019,62
"4",1982-07-12,0.102,73
"5",1982-07-27,0.473,88
"6",1983-04-15,0.244,350
"7",1986-01-14,0.73,1355
"8",1987-04-23,0.064,1819
"9",1987-04-29,0.067,1825
"10",1987-05-04,0.081,1830
"11",1987-06-24,NA,1881
"12",1987-07-21,0.15,1908
"13",1987-08-18,0.045,1936
"14",1987-09-01,NA,1950
"15",1987-09-29,NA,1978
"16",1987-10-13,7.964,1992
"17",1987-12-08,0.258,2048
"18",1988-02-16,0.274,2118
"19",1988-03-29,0.439,2160
"20",1988-04-26,0.264,2188
"21",1988-05-10,0.327,2202
"22",1988-05-24,0.009,2216
"23",1988-06-07,0.095,2230
"24",1988-08-30,0.314,2314
"25",1988-09-27,0.022,2342
"26",1988-10-11,0.1,2356
"27",1988-11-22,0.118,2398
"28",1988-12-06,0.224,2412
"29",1989-02-28,0.312,2496
"30",1989-03-15,0.286,2511
"31",1989-04-11,0.006,2538
"32",1989-06-21,0.11,2609
"33",1989-07-19,0.111,2637
"34",1990-08-28,0.226,3042
"35",1990-09-12,0.029,3057
"36",1990-09-25,0.033,3070
"37",1990-10-31,0.153,3106
"38",1990-11-06,0.124,3112
"39",1990-11-20,0.157,3126
"40",1990-12-19,0.244,3155
"41",1991-01-17,21.405,3184
"42",1991-01-30,0.158,3197
"43",1991-02-27,0.182,3225
"44",1991-03-25,0.271,3251
"45",1991-04-09,0.327,3266
"46",1991-04-25,0.119,3282
"47",1991-05-07,0.092,3294
"48",1991-05-22,0.728,3309
"49",1991-06-04,0.092,3322
"50",1991-07-02,0.114,3350
"51",1991-07-16,0.049,3364
"52",1991-07-29,0.057,3377
"53",1991-08-13,0.056,3392
"54",1991-08-28,0.048,3407
"55",1991-09-25,0.027,3435
"56",1991-10-23,0.013,3463
"57",1991-11-06,0.227,3477
"58",1991-11-20,0.767,3491
"59",1991-12-31,0.215,3532
"60",1992-01-29,0.439,3561
"61",1992-02-27,0.353,3590
"62",1992-03-25,0.335,3617
"63",1992-04-21,0.281,3644
"64",1992-05-18,0.11,3671
"65",1992-06-01,0.017,3685
"66",1992-06-29,1.333,3713
"67",1992-07-27,0.031,3741
"68",1992-08-10,0.006,3755
"69",1992-08-31,0.137,3776
"70",1992-09-09,0.07,3785
"71",1992-09-22,0.018,3798
"72",1992-10-20,0.048,3826
"73",1992-11-16,0.102,3853
"74",1992-12-16,0.012,3883
"75",1993-02-24,0.496,3953
"76",1993-03-25,0.404,3982
"77",1993-04-21,0.455,4009
"78",1993-05-19,0.095,4037
"79",1993-06-01,0.342,4050
"80",1993-06-16,0.049,4065
"81",1993-06-26,0.073,4075
"82",1993-06-30,0.0145,4079
"83",1993-08-25,0.158,4135
"84",1993-09-07,0.1225,4148
"85",1993-09-22,0.066,4163
"86",1993-10-19,0.075,4190
"87",1993-11-18,0.027,4220
"88",1993-12-15,0.067,4247
"89",1994-01-20,0.379,4283
"90",1994-02-15,0.097,4309
"91",1994-03-28,0.408,4350
"92",1994-04-26,0.018,4379
"93",1994-05-18,0.122,4401
"94",1994-07-20,0.055,4464
"95",1994-08-03,0.048,4478
"96",1994-08-15,0.071,4490
"97",1994-08-29,0.043,4504
"98",1994-09-12,0.596,4518
"99",1994-09-28,0.01,4534
"100",1994-10-10,0.011,4546
"101",1994-11-07,0.068,4574
"102",1994-11-21,0.142,4588
"103",1994-12-05,0.146,4602
"104",1995-01-03,0.147,4631
"105",1995-01-31,0.281,4659
"106",1995-02-13,0.345,4672
"107",1995-02-27,0.41,4686
"108",1995-03-13,0.415,4700
"109",1995-03-28,0.423,4715
"110",1995-04-24,0.183,4742
"111",1995-05-08,0.252,4756
"112",1995-05-22,0.225,4770
"113",1995-06-19,0.056,4798
"114",1995-07-17,0.108,4826
"115",1995-08-14,0.054,4854
"116",1995-08-29,0.016,4869
"117",1995-09-11,0.026,4882
"118",1995-09-26,0.047,4897
"119",1995-10-09,0.049,4910
"120",1995-10-24,0.572,4925
"121",1995-11-06,0.092,4938
"122",1995-12-04,0.137,4966
"123",1995-12-19,0.197,4981
"124",1996-01-02,0.251,4995
"125",1996-01-29,0.324,5022
"126",1996-02-26,0.288,5050
"127",1996-03-25,0.359,5078
"128",1996-04-22,0.398,5106
"129",1996-05-06,0.299,5120
"130",1996-05-20,0.266,5134
"131",1996-06-19,NA,5164
"132",1996-07-15,0.077,5190
"133",1996-07-30,0.099,5205
"134",1996-08-14,0.031,5220
"135",1996-09-09,NA,5246
"136",1996-10-07,0.147,5274
"137",1996-11-04,0.045,5302
"138",1996-12-02,0.426,5330
"139",1996-12-30,0.216,5358
"140",1997-02-24,0.165,5414
"141",1997-03-10,0.292,5428
"142",1997-04-21,0.127,5470
"143",1997-05-19,0.049,5498
"144",1997-06-16,3.69,5526
"145",1997-07-14,0.111,5554
"146",1997-07-28,0.071,5568
"147",1997-08-11,0.059,5582
"148",1997-08-25,0.042,5596
"149",1997-09-22,0.025,5624
"150",1997-10-20,0.066,5652
"151",1997-11-17,0.315,5680
"152",1997-12-22,0.462,5715
"153",1998-01-20,0.196,5744
"154",1998-02-17,0.456,5772
"155",1998-03-16,0.071,5799
"156",1998-04-20,0.363,5834
"157",1998-05-18,0.271,5862
"158",1998-06-15,0.108,5890
"159",1998-07-27,0.023,5932
"160",1998-08-24,0.018,5960
"161",1998-09-21,1.301,5988
"162",1998-10-19,0.01,6016
"163",1998-11-16,0.075,6044
"164",1998-12-28,0.218,6086
"165",1999-01-25,0.377,6114
"166",1999-02-22,0.339,6142
"167",1999-04-19,0.072,6198
"168",1999-05-03,0.171,6212
"169",1999-05-17,0.05,6226
"170",1999-06-07,0.013,6247
"171",1999-06-21,1.907,6261
"172",1999-07-26,0.022,6296
"173",1999-08-23,0.111,6324
"174",1999-09-07,0.096,6339
"175",1999-09-20,0.223,6352
"176",1999-10-04,0.332,6366
"177",1999-10-18,2.127,6380
"178",1999-11-15,0.414,6408
"179",1999-12-13,0.579,6436
"180",1999-12-27,0.611,6450
"181",2000-01-10,0.61,6464
"182",2000-01-24,0.688,6478
"183",2000-02-22,0.687,6507
"184",2000-03-20,0.641,6534
"185",2000-04-17,1.151,6562
"186",2000-05-01,0.533,6576
"187",2000-05-15,0.058,6590
"188",2000-06-12,0.27,6618
"189",2000-06-26,1.529,6632
"190",2000-07-10,0.365,6646
"191",2000-07-24,0.177,6660
"192",2000-08-07,0.336,6674
"193",2000-08-21,0.059,6688
"194",2000-09-05,0.049,6703
"195",2000-09-18,0.124,6716
"196",2000-10-02,0.2125,6730
"197",2000-10-16,0.399,6744
"198",2000-10-30,0.046,6758
"199",2000-11-13,0.096,6772
"200",2000-12-18,0.13,6807
"201",2001-01-08,0.459,6828
