"","date","CULV10A_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,2.56,24
"2",2017-05-08,1.73,38
"3",2017-05-22,2.12,52
"4",2017-06-05,1.83,66
"5",2017-06-19,2.06,80
"6",2017-07-05,1.57,96
"7",2017-07-17,1.7,108
"8",2017-08-01,2.12,123
"9",2017-08-14,1.9,136
"10",2017-08-28,1.81,150
"11",2017-09-13,2.51,166
"12",2017-09-25,1.72,178
"13",2017-10-09,2.15,192
"14",2017-10-23,1.72,206
"15",2018-05-07,1.7,402
"16",2018-06-18,1.58,444
"17",2018-07-02,1.58,458
"18",2018-07-16,3.06,472
"19",2018-07-30,2.48,486
"20",2018-08-27,3.36,514
"21",2018-09-10,4.95,528
"22",2018-09-24,4.72,542
"23",2018-10-08,3.32,556
"24",2018-10-22,1.6,570
"25",2018-11-05,1.69,584
"26",2018-11-19,1.61,598
"27",2018-12-03,1.58,612
"28",2018-12-17,2.82,626
"29",2019-01-02,1.43,642
"30",2019-01-14,2.43,654
"31",2019-01-28,3.86,668
"32",2019-02-11,1.44,682
"33",2019-02-25,1.78,696
"34",2019-03-11,1.49,710
"35",2019-03-25,1.71,724
"36",2019-04-08,1.66,738
"37",2019-04-22,1.95,752
"38",2019-05-06,1.97,766
"39",2019-05-20,2.81,780
"40",2019-06-03,1.48,794
"41",2019-06-17,3.71,808
"42",2019-07-01,2.19,822
"43",2019-07-15,1.65,836
"44",2019-07-29,1.59,850
"45",2019-08-12,2.17,864
"46",2019-08-26,2.06,878
"47",2019-09-09,3.05,892
"48",2019-09-23,2.77,906
"49",2019-10-07,1.4,920
"50",2019-10-21,1.59,934
"51",2019-11-04,1.66,948
"52",2019-11-18,1.47,962
"53",2019-12-02,3.11,976
"54",2019-12-16,2.23,990
"55",2020-01-13,1.52,1018
"56",2020-01-27,2.09,1032
"57",2020-02-10,1.65,1046
"58",2020-02-24,1.63,1060
"59",2020-03-09,1.64,1074
"60",2020-03-23,1.46,1088
"61",2020-04-06,1.83,1102
"62",2020-04-20,2.66,1116
"63",2020-05-04,1.45,1130
"64",2020-05-18,1.76,1144
"65",2020-06-01,1.55,1158
"66",2020-06-15,1.9,1172
"67",2020-06-29,1.49,1186
"68",2020-07-13,2.12,1200
"69",2020-09-08,2.4,1257
"70",2020-09-21,1.82,1270
"71",2020-10-05,2.65,1284
"72",2021-01-06,3.86,1377
"73",2021-03-22,2.8,1452
"74",2021-04-05,1.58,1466
"75",2021-04-19,3.28,1480
"76",2021-05-03,1.69,1494
"77",2021-05-17,2.08,1508
"78",2021-06-01,1.74,1523
"79",2021-06-14,2.55,1536
"80",2021-06-28,1.58,1550
"81",2021-07-12,1.26,1564
"82",2021-07-26,1.65,1578
"83",2021-08-09,1.95,1592
"84",2021-08-23,1.43,1606
"85",2021-09-20,2.35,1634
"86",2021-10-18,1.44,1662
"87",2021-11-01,3.06,1676
"88",2022-01-10,1.36,1746
"89",2022-01-24,0.894,1760
"90",2022-02-07,1.61,1774
"91",2022-02-21,1.52,1788
"92",2022-03-07,1.56,1802
"93",2022-03-21,1.8,1816
"94",2022-04-04,1.57,1830
"95",2022-04-18,1.44,1844
"96",2022-05-02,1.39,1858
"97",2022-05-16,1.66,1872
"98",2022-05-19,1.83,1875
"99",2022-05-23,1.71,1879
"100",2022-05-31,1.6,1887
"101",2022-06-13,1.09,1900
"102",2022-06-15,1.32,1902
"103",2022-06-16,1.4,1903
"104",2022-06-27,1.44,1914
"105",2022-07-11,2.05,1928
"106",2022-07-25,1.4,1942
"107",2022-08-08,1.63,1956
"108",2022-08-22,1.78,1970
"109",2022-09-06,1.41,1985
"110",2022-09-19,1.67,1998
"111",2022-10-03,2.17,2012
"112",2022-10-17,1.76,2026
"113",2022-10-31,2.34,2040
"114",2022-11-14,3.59,2054
"115",2022-11-28,2.55,2068
"116",2022-12-12,1.09,2082
"117",2022-12-27,1.24,2097
"118",2023-01-09,1.46,2110
"119",2023-01-23,1.14,2124
"120",2023-02-06,2.52,2138
"121",2023-02-20,2,2152
"122",2023-03-06,1.61,2166
"123",2023-03-20,4.77,2180
"124",2023-04-03,1.92,2194
"125",2023-04-17,2.71,2208
"126",2023-05-01,2.2,2222
