"","date","FECSR78_AMMONIA-N_mg/L","days"
"1",1973-04-09,0.08,9
"2",1973-04-16,0.05,16
"3",1973-04-23,0.13,23
"4",1973-04-30,0.09,29
"5",1973-05-14,NA,43
"6",1973-05-21,0.07,50
"7",1973-05-29,0.08,58
"8",1973-06-04,0.03,64
"9",1973-06-11,0.03,71
"10",1973-06-18,0.03,78
"11",1973-06-25,0.03,85
"12",1973-07-02,0.03,92
"13",1973-07-09,NA,99
"14",1973-07-16,0.08,106
"15",1973-07-23,0.07,113
"16",1973-07-30,NA,120
"17",1973-08-06,NA,127
"18",1973-08-13,NA,134
"19",1973-08-20,0.03,141
"20",1973-08-27,0.02,148
"21",1973-09-04,0.19,156
"22",1973-09-10,NA,162
"23",1973-09-17,0.02,169
"24",1973-09-24,0.04,176
"25",1973-10-01,0.05,183
"26",1973-10-08,0.03,190
"27",1973-10-15,NA,197
"28",1973-10-23,0.02,205
"29",1973-10-29,NA,212
"30",1973-11-13,0.13,227
"31",1973-11-26,0.02,240
"32",1973-12-11,0.14,255
"33",1973-12-17,0.06,261
"34",1974-01-29,0.03,303
"35",1974-02-27,0.04,332
"36",1974-03-21,0.02,354
"37",1974-05-13,NA,407
"38",1974-05-28,0.03,422
"39",1974-06-10,0.03,435
"40",1974-06-24,0.05,449
"41",1974-07-08,0.47,463
"42",1974-07-22,0.14,477
"43",1974-08-05,0.03,491
"44",1974-08-19,0.04,505
"45",1974-09-03,0.05,520
"46",1974-10-01,0.01,548
"47",1974-10-14,0.06,561
"48",1974-10-28,0.03,576
"49",1974-11-13,0.07,592
"50",1974-11-25,0.08,604
"51",1974-12-09,0.06,618
"52",1974-12-23,0.1,632
"53",1975-01-06,0.06,646
"54",1975-01-21,0.05,661
"55",1975-02-03,0.03,674
"56",1975-02-17,0.05,688
"57",1975-03-03,0.06,701
"58",1975-03-17,0.08,715
"59",1975-03-31,0.05,729
"60",1975-04-14,0.08,743
"61",1975-04-29,0.02,758
"62",1975-05-27,0.07,786
"63",1975-06-09,0.19,799
"64",1975-06-16,0.15,806
"65",1975-06-24,0.4,814
"66",1975-06-30,0.11,820
"67",1975-07-07,0.03,827
"68",1975-07-15,0.06,835
"69",1975-07-22,0.06,842
"70",1975-07-28,NA,848
"71",1975-08-04,0.04,855
"72",1975-08-11,0.04,862
"73",1975-08-18,0.04,869
"74",1975-08-25,0.01,876
"75",1975-09-02,0.07,884
"76",1975-09-09,0.05,891
"77",1975-09-15,0.01,897
"78",1975-09-25,0.02,907
"79",1975-09-29,NA,911
"80",1975-10-06,0.04,918
"81",1975-10-13,0.03,925
"82",1975-10-21,0.03,933
"83",1975-10-27,0.08,940
"84",1975-11-04,0.14,948
"85",1975-11-17,0.13,961
"86",1975-12-01,0.12,975
"87",1975-12-29,0.11,1003
"88",1976-01-12,0.07,1017
"89",1976-01-28,0.11,1033
"90",1976-02-09,0.08,1045
"91",1976-02-20,0.12,1056
"92",1976-03-08,0.09,1073
"93",1976-03-23,0.06,1088
"94",1976-04-05,0.03,1101
"95",1976-04-19,0.01,1115
"96",1976-05-03,0.05,1128
"97",1976-05-17,0.06,1142
"98",1976-06-01,0.12,1157
"99",1976-06-14,0.02,1170
"100",1976-06-28,0.18,1184
"101",1976-07-12,NA,1198
"102",1976-07-26,0.04,1212
"103",1976-08-09,0.05,1226
"104",1976-08-23,0.05,1240
"105",1976-09-07,0.06,1255
"106",1976-09-20,0.06,1268
"107",1976-10-04,0.01,1282
"108",1976-10-18,0.01,1296
"109",1976-11-01,0.02,1311
"110",1976-11-15,NA,1325
"111",1976-11-29,0.07,1339
"112",1976-12-27,0.03,1367
"113",1977-01-10,0.02,1381
"114",1977-01-24,0.02,1395
"115",1977-02-07,0.08,1409
"116",1977-02-23,0.02,1425
"117",1977-03-07,0.05,1437
"118",1977-03-21,0.08,1451
"119",1977-04-04,0.05,1465
"120",1977-04-19,0.02,1480
"121",1977-05-02,NA,1492
"122",1977-05-16,NA,1506
"123",1977-05-31,NA,1521
"124",1977-06-13,0.02,1534
"125",1977-06-27,0.11,1548
"126",1977-07-11,0.11,1562
"127",1977-07-25,0.03,1576
"128",1977-08-08,0.02,1590
"129",1977-08-22,0.02,1604
"130",1977-09-06,0.01,1619
"131",1977-09-19,0.03,1632
"132",1977-10-03,0.02,1646
"133",1977-10-17,0.01,1660
"134",1977-10-31,0.16,1675
"135",1977-11-21,0.04,1696
"136",1977-12-05,0.02,1710
"137",1977-12-19,0.03,1724
"138",1978-01-04,0.03,1740
"139",1978-01-16,0.03,1752
"140",1978-01-30,0.02,1766
"141",1978-02-13,0.0266666666666667,1780
"142",1978-02-27,NA,1794
"143",1978-03-13,0.02,1808
"144",1978-03-27,0.02,1822
"145",1978-04-10,0.04,1836
"146",1978-04-24,0.06,1850
"147",1978-05-08,0.18,1863
"148",1978-05-22,0.04,1877
"149",1978-06-05,0.03,1891
