"","date","FECSR78_TOTAL NITROGEN_mg/L","days"
"1",2017-05-08,2.12,8
"2",2017-06-05,2.62,36
"3",2017-06-19,2.96,50
"4",2017-07-05,1.91,66
"5",2017-07-17,2.28,78
"6",2017-08-01,1.91,93
"7",2017-08-14,2.24,106
"8",2017-08-28,1.64,120
"9",2017-09-13,1.52,136
"10",2017-09-25,1.04,148
"11",2017-10-09,1.38,162
"12",2017-10-23,1.58,176
"13",2017-11-06,1.39,190
"14",2017-11-20,2,204
"15",2017-12-18,1.36,232
"16",2018-01-02,1.65,247
"17",2018-01-16,1.59,261
"18",2018-01-29,1.63,274
"19",2018-02-12,1.49,288
"20",2018-03-12,1.56,316
"21",2018-04-09,1.79,344
"22",2018-04-23,1.82,358
"23",2018-05-07,1.78,372
"24",2018-05-21,1.89,386
"25",2018-06-04,3.32,400
"26",2018-06-18,2.28,414
"27",2018-07-02,1.5,428
"28",2018-07-16,1.59,442
"29",2018-07-30,1.45,456
"30",2018-08-13,1.43,470
"31",2018-08-27,1.36,484
"32",2018-09-10,1.3,498
"33",2018-09-24,1.25,512
"34",2018-10-08,1.4,526
"35",2018-10-22,1.66,540
"36",2018-11-05,1.73,554
"37",2018-11-19,1.68,568
"38",2018-12-03,1.58,582
"39",2018-12-17,1.52,596
"40",2019-01-02,1.54,612
"41",2019-01-14,1.64,624
"42",2019-01-28,1.55,638
"43",2019-02-11,1.45,652
"44",2019-02-25,1.62,666
"45",2019-03-11,1.57,680
"46",2019-03-25,1.5,694
"47",2019-04-08,1.49,708
"48",2019-04-22,1.71,722
"49",2019-05-06,1.62,736
"50",2019-05-20,1.67,750
"51",2019-06-03,1.99,764
"52",2019-06-17,2.7,778
"53",2019-07-01,2.53,792
"54",2019-07-15,2.26,806
"55",2019-07-29,2.26,820
"56",2019-08-12,2.31,834
"57",2019-08-26,2.07,848
"58",2019-09-09,1.71,862
"59",2019-09-23,1.96,876
"60",2019-10-08,2.04,891
"61",2019-10-21,1.9,904
"62",2019-11-04,1.6,918
"63",2019-11-18,1.72,932
"64",2019-12-02,1.42,946
"65",2019-12-16,1.33,960
"66",2019-12-30,1.53,974
"67",2020-01-13,1.31,988
"68",2020-01-27,1.27,1002
"69",2020-02-10,1.33,1016
"70",2020-02-24,1.33,1030
"71",2020-03-09,1.21,1044
"72",2020-03-23,1.32,1058
"73",2020-04-06,1.54,1072
"74",2020-04-20,1.55,1086
"75",2020-05-04,1.37,1100
"76",2020-05-18,1.51,1114
"77",2020-06-01,2.17,1128
"78",2020-06-15,3.2,1142
"79",2020-06-29,2.57,1156
"80",2020-07-13,2.03,1170
"81",2020-07-27,1.98,1184
"82",2020-08-10,1.64,1198
"83",2020-08-24,1.68,1212
"84",2020-09-08,1.53,1227
"85",2020-09-21,1.66,1240
"86",2020-10-05,1.6,1254
"87",2020-10-19,1.61,1268
"88",2020-11-02,1.65,1282
"89",2020-11-16,1.59,1296
"90",2020-11-30,1.54,1310
"91",2020-12-14,1.4,1324
"92",2020-12-28,1.19,1338
"93",2021-01-11,1.32,1352
"94",2021-01-25,1.32,1366
"95",2021-02-08,1.5,1380
"96",2021-02-22,1.51,1394
"97",2021-03-08,1.36,1408
"98",2021-03-22,1.33,1422
"99",2021-04-05,1.5,1436
"100",2021-04-19,1.56,1450
"101",2021-05-03,1.88,1464
"102",2021-05-17,1.92,1478
"103",2021-06-01,1.76,1493
"104",2021-06-14,1.74,1506
"105",2021-06-28,1.69,1520
"106",2021-07-12,2.1,1534
"107",2021-07-26,2.44,1548
"108",2021-08-09,1.91,1562
"109",2021-08-23,1.91,1576
"110",2021-09-07,1.78,1591
"111",2021-09-20,1.67,1604
"112",2021-10-04,1.55,1618
"113",2021-10-18,1.59,1632
"114",2021-11-01,1.65,1646
"115",2021-11-15,1.22,1660
"116",2021-11-29,1.4,1674
"117",2021-12-13,1.4,1688
"118",2021-12-27,1.38,1702
"119",2022-01-10,1.36,1716
"120",2022-01-24,1.23,1730
"121",2022-02-07,1.25,1744
"122",2022-02-21,1.31,1758
"123",2022-03-07,1.24,1772
"124",2022-03-21,1.32,1786
"125",2022-04-04,1.27,1800
"126",2022-04-18,1.2,1814
"127",2022-05-02,1.38,1828
"128",2022-05-16,1.41,1842
"129",2022-05-31,1.68,1857
"130",2022-06-13,2.42,1870
"131",2022-06-27,3.02,1884
"132",2022-07-11,3.14,1898
"133",2022-07-25,2.4,1912
"134",2022-08-08,2.51,1926
"135",2022-08-22,2.28,1940
"136",2022-09-06,2.41,1955
"137",2022-09-19,1.85,1968
"138",2022-10-03,1.84,1982
"139",2022-10-17,1.74,1996
"140",2022-10-31,1.66,2010
"141",2022-11-14,1.67,2024
"142",2022-11-28,1.72,2038
"143",2022-12-12,1.47,2052
"144",2022-12-27,1.24,2067
"145",2023-01-09,1.36,2080
"146",2023-01-23,1.46,2094
"147",2023-02-06,1.54,2108
"148",2023-02-20,1.61,2122
"149",2023-03-06,1.58,2136
"150",2023-03-20,1.63,2150
"151",2023-04-03,1.65,2164
"152",2023-04-17,1.68,2178
"153",2023-05-01,1.67,2192
