"","date","L001_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",1979-12-11,3.3,11
"2",1980-01-09,4.7,40
"3",1980-02-08,5.2,70
"4",1980-03-05,16.6,96
"5",1980-04-09,7.8,131
"6",1980-05-15,10.4,166
"7",1980-06-16,54.5,198
"8",1980-07-21,28.5666666666667,233
"9",1980-10-16,25.9,320
"10",1980-11-06,28.9,342
"11",1980-12-11,8,377
"12",1981-01-15,12.4,412
"13",1981-02-19,17.2,447
"14",1981-03-26,7,482
"15",1981-04-22,18.3333333333333,509
"16",1981-05-28,15.2,544
"17",1981-06-24,18.7,571
"18",1981-07-15,49.1,592
"19",1981-07-30,15.1,607
"20",1981-08-12,16,620
"21",1981-08-24,17.2333333333333,632
"22",1981-09-10,22.7,649
"23",1981-09-22,31.4,661
"24",1981-10-08,20,677
"25",1981-11-24,13.4,725
"26",1982-01-07,17.8,769
"27",1982-02-11,16.1,804
"28",1982-03-04,10.7,825
"29",1982-04-01,9.4,853
"30",1982-05-19,57,900
"31",1982-06-24,9.2,936
"32",1982-07-09,23.6333333333333,951
"33",1982-08-25,9.6,998
"34",1982-09-28,9.7,1032
"35",1983-05-26,17.6,1272
"36",1983-06-28,15.7,1305
"37",1983-07-19,3.9,1326
"38",1984-03-22,12.3,1574
"39",1984-04-18,24.9,1601
"40",1984-05-16,15.3,1628
"41",1984-06-21,34.4,1664
"42",1984-07-26,23.8,1699
"43",1984-08-22,26.9,1726
"44",1984-10-18,30.2,1783
"45",1984-11-29,17.4,1826
"46",1984-12-20,4.4,1847
"47",1985-01-15,9.5,1873
"48",1985-02-27,17.8,1916
"49",1985-04-04,36.2,1952
"50",1985-05-01,23.5,1978
"51",1985-06-06,8,2014
"52",1985-07-10,16.3,2048
"53",1985-08-08,37.4,2077
"54",1985-09-05,12.9,2105
"55",1985-10-17,19.2,2147
"56",1985-11-14,5.3,2176
"57",1985-12-11,32.6,2203
"58",1986-01-30,8.9,2253
"59",1986-02-20,11.8,2274
"60",1986-04-03,10.5,2316
"61",1986-05-01,26.7,2343
"62",1986-06-03,31,2376
"63",1986-07-02,30.3,2405
"64",1986-07-29,46.1,2432
"65",1986-08-07,18.4,2441
"66",1986-08-12,9.5,2446
"67",1986-09-03,28.4,2468
"68",1986-10-03,19.4,2498
"69",1986-10-16,47.3,2511
"70",1986-10-23,19.5,2518
"71",1986-11-06,8,2533
"72",1986-11-20,19.3,2547
"73",1986-12-04,40.2,2561
"74",1986-12-10,41.6,2567
"75",1987-01-08,16,2596
"76",1987-01-14,21.8,2602
"77",1987-02-03,25.5,2622
"78",1987-02-12,18.1,2631
"79",1987-04-02,27.5,2680
"80",1987-04-21,30.7,2698
"81",1987-05-01,35,2708
"82",1987-05-05,24.5,2712
"83",1987-05-20,28,2727
"84",1987-06-02,30,2740
"85",1987-06-04,31.1,2742
"86",1987-06-16,19.7,2754
"87",1987-06-24,42.6,2762
"88",1987-06-30,99.3,2768
"89",1987-07-16,13.6,2784
"90",1987-07-21,20.9,2789
"91",1987-07-28,14.1,2796
"92",1987-08-11,24.6,2810
"93",1987-08-18,33.2,2817
"94",1987-08-25,40.4,2824
"95",1987-09-09,33.4,2839
"96",1987-09-14,32.6,2844
"97",1987-09-22,40.1,2852
"98",1987-10-06,24.1,2866
"99",1987-10-20,17.3,2880
"100",1987-11-18,14,2910
"101",1987-11-24,10.7,2916
"102",1987-12-14,19.4,2936
"103",1987-12-22,15.3,2944
"104",1988-01-13,6.9,2966
"105",1988-01-19,4.9,2972
"106",1988-02-09,10.9,2993
"107",1988-02-17,9.8,3001
"108",1988-03-01,17.1,3014
"109",1988-03-17,17.2,3030
"110",1988-03-22,13.3,3035
"111",1988-04-20,19.7,3063
"112",1988-05-04,28.1,3077
"113",1988-05-05,22.7,3078
"114",1988-05-17,37.3,3090
"115",1988-05-18,33.2,3091
"116",1988-06-01,99.9,3105
"117",1988-06-02,104.5,3106
"118",1988-06-15,21.15,3119
"119",1988-06-29,17.4,3133
"120",1988-07-13,30.3,3147
"121",1988-07-25,22.1,3159
"122",1988-08-10,35.6,3175
"123",1988-08-24,34.4,3189
"124",1988-09-08,58.4,3204
"125",1988-09-21,25.2,3217
"126",1988-10-05,29.7,3231
"127",1988-10-19,20.4,3245
"128",1988-11-02,23.3,3260
"129",1988-11-16,17.7,3274
"130",1989-01-11,25.1,3330
"131",1989-02-08,26.3,3358
"132",1989-03-15,20.2,3393
"133",1989-04-05,111.2,3413
"134",1989-05-17,19.1,3455
"135",1989-06-13,32.8,3482
"136",1989-06-27,31.1,3496
"137",1989-07-11,27.3,3510
"138",1989-07-26,60,3525
"139",1989-08-08,52.2,3538
"140",1989-08-22,56.3,3552
"141",1989-09-06,38.2,3567
"142",1989-09-20,35,3581
"143",1989-10-05,54.8,3596
"144",1989-10-18,47.7,3609
"145",1989-11-01,40.5,3624
"146",1990-01-10,11,3694
"147",1990-02-07,17,3722
"148",1990-04-05,32.9,3778
"149",1990-04-18,16.7,3791
"150",1990-05-02,34.1,3805
"151",1990-05-16,42.8,3819
"152",1990-05-31,19.4,3834
"153",1990-06-12,13.2,3846
"154",1990-06-26,46.2,3860
"155",1990-07-10,33.4,3874
"156",1990-07-24,14.6,3888
"157",1990-08-07,33.8,3902
"158",1990-08-20,33.6,3915
"159",1990-09-18,24.9,3944
"160",1990-10-02,38.1,3958
"161",1990-10-17,33.3,3973
"162",1990-10-31,11.2,3988
"163",1990-11-14,20.6,4002
"164",1990-12-11,7.8,4029
"165",1991-01-07,19.8,4056
"166",1991-02-07,17.1,4087
"167",1991-05-01,36.4,4169
"168",1991-05-13,24.5,4181
"169",1991-05-29,24,4197
"170",1991-06-12,50.2,4211
"171",1991-07-24,19.4,4253
"172",1991-08-05,30.2,4265
"173",1991-08-20,20.7,4280
"174",1991-09-16,16.8,4307
"175",1991-10-14,21.2,4335
"176",1991-10-28,39.2,4350
"177",1991-12-12,39.2,4395
"178",1992-01-22,9.7,4436
"179",1992-02-04,15,4449
"180",1992-03-09,18.4,4483
"181",1992-04-08,10.2,4512
"182",1992-05-05,27.6,4539
"183",1992-05-19,63.3,4553
"184",1992-06-02,53.9,4567
"185",1992-06-16,13.7,4581
"186",1992-07-01,36.6,4596
"187",1992-07-22,38.9,4617
"188",1992-08-03,40.4,4629
"189",1992-08-18,36.4,4644
"190",1992-08-26,11.7,4652
"191",1992-09-08,25.1,4665
"192",1992-09-30,28.4,4687
"193",1992-10-12,54.8,4699
"194",1992-11-23,18.8,4742
"195",1992-12-08,27.8,4757
"196",1993-01-06,22.5,4786
"197",1993-02-22,15.3,4833
"198",1993-03-09,12.6,4848
"199",1993-04-20,36.3,4889
"200",1993-05-11,27.6,4910
"201",1993-06-09,21.1,4939
"202",1993-06-15,18.4,4945
"203",1993-07-07,42.6,4967
"204",1993-07-20,72.9,4980
"205",1993-08-02,46,4993
"206",1993-08-17,18.7,5008
"207",1993-10-06,12.8,5058
"208",1993-10-20,37.4,5072
"209",1993-12-28,40.1,5142
"210",1994-02-03,48,5179
"211",1994-04-13,19.25,5247
"212",1994-05-11,13.1,5275
"213",1994-05-17,37.6,5281
"214",1994-05-25,54.7,5289
"215",1994-06-13,23.9,5308
"216",1994-06-27,9.3,5322
"217",1994-07-07,24,5332
"218",1994-07-20,11.2,5345
"219",1994-08-08,25.5,5364
"220",1994-08-18,24.2,5374
"221",1994-09-14,21.8,5401
"222",1994-09-20,26.175,5407
"223",1994-09-29,6.5,5416
"224",1994-10-12,23.1,5429
"225",1994-10-27,34.2,5444
"226",1994-12-06,23.7,5485
"227",1995-01-18,7.1,5528
"228",1995-02-14,21.7,5555
"229",1995-03-14,10.3,5583
"230",1995-04-04,7.7,5603
"231",1995-04-19,9.7,5618
"232",1995-05-02,20.8,5631
"233",1995-05-16,34.1,5645
"234",1995-06-01,23.4,5661
"235",1995-06-14,58.1,5674
"236",1995-06-28,43.9,5688
"237",1995-07-13,11.6,5703
"238",1995-08-09,21.2,5730
"239",1995-09-21,15.2,5773
"240",1995-10-26,30.5,5808
"241",1995-11-27,10.5,5841
"242",1996-01-17,13.3,5892
"243",1996-02-14,8.6,5920
"244",1996-03-25,16.8,5960
"245",1996-04-15,31.6,5980
"246",1996-04-29,10.4,5994
"247",1996-05-14,14.9,6009
"248",1996-05-28,20.1,6023
"249",1996-06-25,16.5,6051
"250",1996-07-11,54.5,6067
"251",1996-08-08,32.7,6095
"252",1996-08-19,32.3,6106
"253",1996-09-05,23.8,6123
"254",1996-10-16,19.4,6164
"255",1996-11-12,14.3,6192
"256",1996-12-10,13.3,6220
"257",1997-01-06,25.3,6247
"258",1997-02-03,14,6275
"259",1997-03-03,14.5,6303
"260",1997-04-08,23.3,6338
"261",1997-04-24,36.9,6354
"262",1997-05-08,21.8,6368
"263",1997-05-20,40.9,6380
"264",1997-06-02,41.9,6393
"265",1997-06-17,30.9,6408
"266",1997-07-15,29,6436
"267",1997-08-13,28.3,6465
"268",1997-08-25,33.8,6477
"269",1997-09-09,30.3,6492
"270",1997-09-23,15.5,6506
"271",1997-10-20,37.9,6533
"272",1997-11-17,73.4,6562
"273",1998-01-12,20.2,6618
"274",1998-02-10,21,6647
"275",1998-03-16,14.1,6681
"276",1998-03-31,7,6696
"277",1998-04-14,12.6,6709
"278",1998-04-28,16.4,6723
"279",1998-05-07,13.9,6732
"280",1998-05-11,20.2,6736
"281",1998-05-27,20,6752
"282",1998-06-09,12.6,6765
"283",1998-06-23,42.4,6779
"284",1998-07-07,39.8,6793
"285",1998-07-21,40,6807
"286",1998-08-03,37.6,6820
"287",1998-08-18,24.5,6835
"288",1998-09-01,36.7,6849
"289",1998-09-29,22.3,6877
"290",1998-10-27,17.9,6906
"291",1998-11-24,24.3,6934
"292",1998-12-21,25.2,6961
"293",1999-01-20,36.8,6991
"294",1999-02-17,15.3,7019
"295",1999-03-16,30.6,7046
"296",1999-04-13,19.5,7073
"297",1999-04-27,30.7,7087
