"","date","L004_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-20,16.5,20
"2",2010-12-15,9.5,76
"3",2011-01-04,5.6,96
"4",2011-02-14,9.5,137
"5",2011-03-08,5.7,159
"6",2011-04-18,11.2,200
"7",2011-05-23,19.2,235
"8",2011-06-07,10.9,250
"9",2011-07-12,14.8,285
"10",2011-08-02,10.9,306
"11",2011-09-19,13.6,354
"12",2011-10-10,7.74,375
"13",2011-11-14,6.42,410
"14",2011-12-06,3.96,432
"15",2012-01-24,4.87,481
"16",2012-02-06,4.08,494
"17",2012-03-20,4.97,537
"18",2012-04-03,4.96,551
"19",2012-05-21,11.1,599
"20",2012-06-11,11.7,620
"21",2012-07-17,9.38,656
"22",2012-08-14,5.89,684
"23",2012-09-19,10.7,720
"24",2012-10-09,4.61,740
"25",2012-11-27,8.88,789
"26",2012-12-11,9.97,803
"27",2013-01-08,4.11,831
"28",2013-02-11,3.81,865
"29",2013-03-27,14.1,909
"30",2013-04-08,5.62,921
"31",2013-05-14,10.7,957
"32",2013-06-03,13.5,977
"33",2013-07-17,13.4,1021
"34",2013-08-06,14.7,1041
"35",2013-09-17,8.09,1083
"36",2013-10-01,8.44,1097
"37",2013-11-12,5.86,1139
"38",2013-12-04,5.54,1161
"39",2014-01-14,5.54,1202
"40",2014-02-05,21.8,1224
"41",2014-03-11,3.58,1258
"42",2014-04-15,6.99,1293
"43",2014-05-14,19.5,1322
"44",2014-06-04,15.5,1343
"45",2014-07-15,21.5,1384
"46",2014-08-05,14.5,1405
"47",2014-09-02,13.6,1433
"48",2014-10-07,9.4,1468
"49",2014-11-04,12.7,1496
"50",2014-12-02,5.52,1524
"51",2015-01-06,5.28,1559
"52",2015-02-03,6.1,1587
"53",2015-03-03,7.1,1615
"54",2015-04-07,5.09,1650
"55",2015-05-12,9.74,1685
"56",2015-06-03,11.8,1707
"57",2015-07-08,75.3,1742
"58",2015-08-04,24.7,1769
"59",2015-09-01,16.3,1797
"60",2015-10-06,9.78,1832
"61",2015-11-04,17.2,1861
"62",2015-12-01,5.97,1888
"63",2016-01-11,7.3,1929
"64",2016-02-02,12.4,1951
"65",2016-03-01,5.61,1979
"66",2016-04-05,5.54,2014
"67",2016-05-03,6.88,2042
"68",2016-06-14,11.7,2084
"69",2016-07-11,14.7,2111
"70",2016-08-02,11.9,2133
"71",2016-09-06,6.3,2168
"72",2016-10-18,5.58,2210
"73",2016-11-01,4.7,2224
"74",2016-12-07,6.81,2260
"75",2017-01-09,7.42,2293
"76",2017-02-07,13.8,2322
"77",2017-03-22,8.87,2365
"78",2017-04-17,5.58,2391
"79",2017-05-23,15.9,2427
"80",2017-06-20,11.5,2455
"81",2017-07-10,5.26,2475
"82",2017-08-14,43.1,2510
"83",2017-09-18,8.9,2545
"84",2017-10-10,3.78,2567
"85",2017-11-07,3.34,2595
"86",2017-12-05,3.46,2623
"87",2018-01-17,4.26,2666
"88",2018-02-06,3.27,2686
"89",2018-03-06,4.03,2714
"90",2018-04-03,5.15,2742
"91",2018-05-01,5.71,2770
"92",2018-06-05,10.8,2805
"93",2018-07-17,8.34,2847
"94",2018-08-14,37.3,2875
"95",2018-09-04,4.78,2896
"96",2018-10-16,35.5,2938
"97",2018-11-06,21.5,2959
"98",2018-12-04,10.1,2987
"99",2019-01-08,10.7,3022
"100",2019-02-12,6.11,3057
"101",2019-03-12,3.94,3085
"102",2019-04-02,7.98,3106
"103",2019-05-08,7.01,3142
"104",2019-06-05,6.29,3170
"105",2019-07-09,11.3,3204
"106",2019-08-06,10.5,3232
"107",2019-09-09,30,3266
"108",2019-10-01,10.8,3288
"109",2019-11-05,10.6,3323
"110",2019-12-03,6.25,3351
"111",2020-01-14,3.96,3393
"112",2020-02-04,25.7,3414
"113",2020-02-12,5.43,3422
"114",2020-03-10,7.49,3449
"115",2020-04-07,13.4,3477
"116",2020-05-05,19.7,3505
"117",2020-05-20,9.6,3520
"118",2020-06-02,17.8,3533
"119",2020-06-23,85.7,3554
"120",2020-07-07,64,3568
"121",2020-07-21,15.4,3582
"122",2020-08-04,21.5,3596
"123",2020-08-25,19.8,3617
"124",2020-09-08,38.5,3631
"125",2020-09-23,40.6,3646
"126",2020-10-06,8.74,3659
"127",2020-10-21,4.13,3674
"128",2020-11-17,6.03,3701
"129",2020-12-15,16.9,3729
"130",2021-01-05,6.22,3750
"131",2021-02-09,17.4,3785
"132",2021-03-10,6.68,3814
"133",2021-04-06,12.2,3841
"134",2021-05-04,22.8,3869
"135",2021-05-18,16.6,3883
"136",2021-06-08,8.34,3904
"137",2021-06-22,17.5,3918
"138",2021-07-08,16.6,3934
"139",2021-07-20,21.2,3946
"140",2021-08-03,15.9,3960
"141",2021-08-24,12.6,3981
"142",2021-09-08,18.1,3996
"143",2021-09-21,10.1,4009
"144",2021-10-05,14.5,4023
"145",2021-10-19,14.6,4037
"146",2021-11-02,15,4051
"147",2021-12-07,29.4,4086
"148",2022-01-04,8.36,4114
"149",2022-02-08,10.3,4149
"150",2022-03-08,7.05,4177
"151",2022-04-05,6.7,4205
"152",2022-05-03,4.82,4233
"153",2022-05-18,22.8,4248
"154",2022-06-07,12.5,4268
"155",2022-06-21,8.65,4282
"156",2022-07-06,22.4,4297
"157",2022-07-19,16.3,4310
"158",2022-08-02,14.8,4324
"159",2022-08-16,15.5,4338
"160",2022-09-06,12.9,4359
"161",2022-09-20,18.2,4373
"162",2022-10-04,9.45,4387
"163",2022-10-18,7.07,4401
"164",2022-11-15,7.36,4429
"165",2022-12-06,7.39,4450
"166",2023-01-10,5.04,4485
"167",2023-02-07,5.87,4513
"168",2023-03-07,4.49,4541
"169",2023-04-04,14.2,4569
"170",2023-05-02,2.1,4597
