"","date","L004_NITRATE+NITRITE-N_mg/L","days"
"1",1972-11-06,NA,6
"2",1972-12-11,0.0495,41
"3",1973-01-15,0.181,76
"4",1973-02-05,0.2075,97
"5",1973-03-05,0.157,125
"6",1973-04-11,NA,162
"7",1973-05-08,0.041,188
"8",1973-05-09,NA,189
"9",1973-05-23,0.007,203
"10",1973-06-04,0.04,215
"11",1973-07-09,NA,250
"12",1973-08-09,NA,281
"13",1973-09-12,0.01,315
"14",1973-09-14,NA,317
"15",1973-09-28,NA,331
"16",1973-10-10,NA,343
"17",1973-10-12,NA,345
"18",1973-10-26,NA,359
"19",1973-11-09,NA,374
"20",1973-11-15,0.0925,380
"21",1973-11-21,NA,386
"22",1973-12-07,0.063,402
"23",1973-12-20,0.19,415
"24",1974-01-03,0.017,429
"25",1974-01-16,0.0875,441
"26",1974-01-17,0.078,442
"27",1974-02-01,0.041,457
"28",1974-02-06,0.047,462
"29",1974-02-15,NA,471
"30",1974-02-21,0.1695,477
"31",1974-03-01,0.023,485
"32",1974-03-06,0.0845,490
"33",1974-03-15,NA,499
"34",1974-03-20,0.0575,504
"35",1974-03-29,0.114,513
"36",1974-04-03,0.179,518
"37",1974-04-12,NA,527
"38",1974-04-19,0.1285,534
"39",1974-04-25,0.032,540
"40",1974-05-08,0.1105,553
"41",1974-05-10,0.043,555
"42",1974-05-23,0.025,568
"43",1974-06-04,0.011,580
"44",1974-06-07,0.053,583
"45",1974-06-18,NA,594
"46",1974-06-20,0.355,596
"47",1974-07-05,0.03,611
"48",1974-07-09,0.012,615
"49",1974-07-19,0.021,625
"50",1974-07-23,NA,629
"51",1974-08-02,0.26,639
"52",1974-08-07,0.085,644
"53",1974-08-16,NA,653
"54",1974-08-21,NA,658
"55",1974-08-30,NA,667
"56",1974-09-11,0.0113333333333333,679
"57",1974-09-25,0.002,693
"58",1974-10-08,0.118,706
"59",1974-10-15,0.235,713
"60",1974-10-22,0.021,720
"61",1974-11-06,0.11375,736
"62",1974-11-20,0.048,750
"63",1974-12-06,0.044,766
"64",1974-12-11,0.3225,771
"65",1974-12-19,0.081,779
"66",1974-12-30,0.246,790
"67",1975-01-14,NA,805
"68",1975-01-17,0.059,808
"69",1975-01-24,0.1995,815
"70",1975-02-04,0.117,826
"71",1975-02-22,0.061,844
"72",1975-02-25,0.105,846
"73",1975-03-12,0.081,861
"74",1975-03-30,0.102,879
"75",1975-04-17,0.038,897
"76",1975-05-05,0.05,915
"77",1975-05-23,0.075,933
"78",1975-06-06,NA,947
"79",1975-06-10,NA,951
"80",1975-06-28,NA,969
"81",1975-07-16,0.012,987
"82",1975-08-03,0.03,1005
"83",1975-08-21,0.025,1023
"84",1975-08-28,0.555,1030
"85",1975-08-29,0.31,1031
"86",1975-09-08,0.012,1041
"87",1975-09-26,0.134,1059
"88",1975-10-03,0.05,1066
"89",1975-10-05,0.051,1068
"90",1975-10-23,0.196,1086
"91",1975-11-10,0.129,1105
"92",1975-11-18,0.229,1113
"93",1975-12-16,0.312,1141
"94",1975-12-17,0.363,1142
"95",1976-03-01,0.457,1217
"96",1976-03-15,NA,1231
"97",1976-04-20,0.31,1267
"98",1976-05-08,0.122,1284
"99",1976-05-12,0.096,1288
"100",1976-05-26,0.297,1302
"101",1976-06-13,0.19,1320
"102",1976-07-01,NA,1338
"103",1976-08-06,0.008,1374
"104",1976-08-24,NA,1392
"105",1976-09-01,NA,1400
"106",1976-09-11,NA,1410
"107",1976-09-29,NA,1428
"108",1976-10-17,NA,1446
"109",1976-11-04,0.213,1465
"110",1976-11-22,0.287,1483
"111",1976-12-09,0.331,1500
"112",1977-02-23,0.5295,1576
"113",1977-03-15,0.4425,1596
"114",1977-06-15,0.085,1687
"115",1977-08-17,0.0345,1750
"116",1977-09-13,0.0155,1777
"117",1977-10-11,NA,1805
"118",1977-11-21,0.098,1847
"119",1978-01-12,0.14,1899
"120",1978-02-08,0.283,1926
"121",1978-03-16,0.387,1962
"122",1978-04-12,0.3415,1989
"123",1978-05-23,0.025,2029
"124",1978-06-12,NA,2049
"125",1978-07-12,NA,2079
"126",1978-08-08,NA,2106
"127",1978-09-06,NA,2135
"128",1978-10-11,NA,2170
"129",1978-11-07,0.147,2198
"130",1979-01-10,0.288,2262
"131",1979-01-31,0.394,2283
"132",1979-03-07,0.265,2318
"133",1979-04-10,0.332,2352
"134",1979-05-09,0.229,2380
"135",1979-06-06,NA,2408
"136",1979-07-04,NA,2436
"137",1979-08-08,0.004,2471
"138",1979-09-11,0.058,2505
"139",1979-10-10,0.437,2534
"140",1979-11-09,0.544,2565
"141",1979-12-11,0.497,2597
"142",1980-01-09,0.354,2626
"143",1980-02-08,0.392666666666667,2656
"144",1980-03-05,0.4,2682
"145",1980-04-09,0.443,2717
"146",1980-05-15,0.299,2752
"147",1980-06-16,0.298,2784
"148",1980-07-21,0.197,2819
"149",1980-08-20,0.1,2849
"150",1980-09-16,0.0296666666666667,2876
"151",1980-10-16,0.092,2906
"152",1980-11-06,0.187333333333333,2928
"153",1980-12-11,0.222,2963
"154",1981-01-15,0.264,2998
"155",1981-02-19,0.419,3033
"156",1981-03-26,0.452,3068
"157",1981-04-22,0.338,3095
"158",1981-05-28,0.201,3130
"159",1981-06-24,0.007,3157
"160",1981-07-15,NA,3178
"161",1981-07-30,NA,3193
"162",1981-08-12,0.032,3206
"163",1981-08-24,0.635,3218
"164",1981-09-10,0.097,3235
"165",1981-09-22,0.088,3247
"166",1981-10-08,0.064,3263
"167",1981-11-24,0.137,3311
"168",1982-01-07,0.047,3355
"169",1982-02-11,0.393,3390
"170",1982-03-04,0.218,3411
"171",1982-04-01,0.237,3439
"172",1982-05-19,0.084,3486
"173",1982-06-24,0.12,3522
"174",1982-07-09,NA,3537
"175",1982-08-25,0.023,3584
"176",1982-09-28,0.091,3618
"177",1982-11-23,0.245,3675
"178",1982-12-20,0.211,3702
"179",1983-01-25,0.235,3738
"180",1983-02-24,NA,3768
"181",1983-03-23,0.16,3795
"182",1983-04-20,0.195,3823
"183",1983-05-26,0.198,3858
"184",1983-06-28,0.102,3891
"185",1983-07-19,0.006,3912
"186",1983-08-30,NA,3954
"187",1983-09-30,0.029,3985
"188",1983-10-27,0.089,4012
"189",1983-12-21,0.134,4068
"190",1984-01-18,0.227,4096
"191",1984-02-15,0.219,4124
"192",1984-03-22,0.360666666666667,4160
"193",1984-04-18,0.328,4187
"194",1984-05-16,0.2685,4214
"195",1984-06-21,0.089,4250
"196",1984-07-26,NA,4285
"197",1984-08-22,0.031,4312
"198",1984-10-18,0.071,4369
"199",1984-11-29,0.245,4412
"200",1984-12-20,0.312,4433
"201",1985-01-15,0.219,4459
"202",1985-02-27,0.216,4502
"203",1985-04-04,0.26,4538
"204",1985-05-01,0.226,4564
"205",1985-06-06,0.006,4600
"206",1985-07-10,0.006,4634
"207",1985-08-08,NA,4663
"208",1985-09-05,0.035,4691
"209",1985-10-17,0.082,4733
"210",1985-11-14,0.167,4762
"211",1985-12-11,0.01,4789
"212",1986-01-30,0.142,4839
"213",1986-02-20,0.054,4860
"214",1986-04-03,0.244,4902
"215",1986-05-01,0.141,4929
"216",1986-06-03,NA,4962
"217",1986-07-02,NA,4991
