"","date","L004_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1972-11-06,0,6
"2",1972-12-11,0.0045,41
"3",1973-01-15,0.0055,76
"4",1973-02-05,0.01,97
"5",1973-03-05,0.002,125
"6",1973-04-11,0.008,162
"7",1973-05-08,0.002,188
"8",1973-05-09,0.002,189
"9",1973-05-23,0.008,203
"10",1973-06-04,0.0025,215
"11",1973-07-09,NA,250
"12",1973-08-09,0.0015,281
"13",1973-09-12,0,315
"14",1973-09-14,0.002,317
"15",1973-09-28,NA,331
"16",1973-10-10,NA,343
"17",1973-10-12,NA,345
"18",1973-10-26,NA,359
"19",1973-11-09,NA,374
"20",1973-11-15,0.011,380
"21",1973-11-21,0.005,386
"22",1973-12-07,NA,402
"23",1973-12-20,0.009,415
"24",1974-01-03,0.006,429
"25",1974-01-16,0,441
"26",1974-01-17,NA,442
"27",1974-02-01,NA,457
"28",1974-02-06,0.0025,462
"29",1974-02-15,NA,471
"30",1974-02-21,0.0025,477
"31",1974-03-01,0.002,485
"32",1974-03-06,NA,490
"33",1974-03-15,0.009,499
"34",1974-03-20,0.0015,504
"35",1974-03-29,NA,513
"36",1974-04-03,0.0095,518
"37",1974-04-19,0.0015,534
"38",1974-04-25,0.004,540
"39",1974-05-08,0.002,553
"40",1974-05-10,NA,555
"41",1974-05-23,NA,568
"42",1974-06-04,0.0015,580
"43",1974-06-07,NA,583
"44",1974-06-18,NA,594
"45",1974-06-20,NA,596
"46",1974-07-05,NA,611
"47",1974-07-09,NA,615
"48",1974-07-19,NA,625
"49",1974-07-23,0,629
"50",1974-08-02,NA,639
"51",1974-08-07,0.004,644
"52",1974-08-16,NA,653
"53",1974-08-21,NA,658
"54",1974-08-28,NA,665
"55",1974-08-30,NA,667
"56",1974-09-11,NA,679
"57",1974-09-25,0.0113333333333333,693
"58",1974-10-08,0.003,706
"59",1974-10-15,0.0185,713
"60",1974-10-22,NA,720
"61",1974-11-06,0.00575,736
"62",1974-12-06,0.005,766
"63",1974-12-11,0.0295,771
"64",1974-12-30,0.005,790
"65",1975-01-14,NA,805
"66",1975-01-17,0.031,808
"67",1975-01-24,0.015,815
"68",1975-02-04,0.007,826
"69",1975-02-22,0.008,844
"70",1975-02-25,0.014,846
"71",1975-03-12,0.01,861
"72",1975-03-30,0.017,879
"73",1975-04-17,0.01,897
"74",1975-05-05,0.01,915
"75",1975-05-23,0.004,933
"76",1975-06-06,0.02,947
"77",1975-06-10,0.006,951
"78",1975-06-28,0.005,969
"79",1975-07-16,0.006,987
"80",1975-08-03,NA,1005
"81",1975-08-21,0.006,1023
"82",1975-08-28,0.046,1030
"83",1975-08-29,0.029,1031
"84",1975-09-08,NA,1041
"85",1975-09-26,0.017,1059
"86",1975-10-03,0.006,1066
"87",1975-10-05,NA,1068
"88",1975-10-23,0.021,1086
"89",1975-11-10,0.02,1105
"90",1975-11-18,0.013,1113
"91",1975-12-16,0.048,1141
"92",1975-12-17,0.044,1142
"93",1976-01-21,0.017,1177
"94",1976-02-26,0.03,1213
"95",1976-03-01,0.026,1217
"96",1976-04-20,0.026,1267
"97",1976-05-12,0.015,1288
"98",1976-05-26,0.027,1302
"99",1976-06-13,0.025,1320
"100",1976-07-01,0.006,1338
"101",1976-08-06,0.005,1374
"102",1976-08-24,0.006,1392
"103",1976-09-01,0.018,1400
"104",1976-09-11,0.019,1410
"105",1976-09-29,0.005,1428
"106",1976-10-17,0.011,1446
"107",1976-11-04,0.019,1465
"108",1976-11-22,0.03,1483
"109",1976-12-09,0.017,1500
"110",1977-02-23,0.0325,1576
"111",1977-03-15,0.031,1596
"112",1977-06-15,0.016,1687
"113",1977-08-17,NA,1750
"114",1977-09-13,0.004,1777
"115",1977-10-11,0.0145,1805
"116",1977-11-21,0.0395,1847
"117",1978-01-12,0.023,1899
"118",1978-02-08,0.028,1926
"119",1978-03-16,0.039,1962
"120",1978-04-12,0.0365,1989
"121",1978-05-23,0.022,2029
"122",1978-06-12,0.002,2049
"123",1978-07-12,0.008,2079
"124",1978-08-08,0.011,2106
"125",1978-09-06,0.013,2135
"126",1978-10-11,0.025,2170
"127",1978-11-07,0.054,2198
"128",1979-01-10,0.052,2262
"129",1979-01-31,0.048,2283
"130",1979-03-07,0.03,2318
"131",1979-04-10,0.041,2352
"132",1979-05-09,0.04,2380
"133",1979-06-06,NA,2408
"134",1979-07-04,0.014,2436
"135",1979-08-08,0.018,2471
"136",1979-09-11,0.023,2505
