"","date","L004_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-11-06,0.0475,6
"2",1972-12-11,0.052,41
"3",1973-01-15,0.122,76
"4",1973-02-05,0.111,97
"5",1973-03-05,0.0485,125
"6",1973-04-11,0.097,162
"7",1973-05-08,0.0985,188
"8",1973-05-09,0.01,189
"9",1973-05-23,0.02,203
"10",1973-06-04,0.115,215
"11",1973-07-09,0.0195,250
"12",1973-08-09,0.0565,281
"13",1973-09-12,0.053,315
"14",1973-09-14,0.021,317
"15",1973-09-28,0.011,331
"16",1973-10-10,0.0405,343
"17",1973-10-12,0.027,345
"18",1973-10-26,0.022,359
"19",1973-11-09,0.039,374
"20",1973-11-15,0.035,380
"21",1973-11-21,0.037,386
"22",1973-12-07,0.02,402
"23",1973-12-20,0.0425,415
"24",1974-01-03,0.011,429
"25",1974-01-16,0.0435,441
"26",1974-01-17,0.016,442
"27",1974-02-01,0.023,457
"28",1974-02-06,0.0895,462
"29",1974-02-15,0.012,471
"30",1974-02-21,0.108,477
"31",1974-03-01,0.026,485
"32",1974-03-06,0.071,490
"33",1974-03-15,0.035,499
"34",1974-03-20,0.0805,504
"35",1974-03-29,0.014,513
"36",1974-04-03,0.07,518
"37",1974-04-19,0.088,534
"38",1974-04-25,0.045,540
"39",1974-05-08,0.03,553
"40",1974-05-10,0.02,555
"41",1974-05-23,0.025,568
"42",1974-06-04,0.0665,580
"43",1974-06-07,0.019,583
"44",1974-06-18,0.025,594
"45",1974-06-20,0.025,596
"46",1974-07-05,0.016,611
"47",1974-07-09,0.0255,615
"48",1974-07-19,0.017,625
"49",1974-07-23,0.0355,629
"50",1974-08-02,0.018,639
"51",1974-08-07,0.0655,644
"52",1974-08-16,0.017,653
"53",1974-08-21,0.0165,658
"54",1974-08-28,0.005,665
"55",1974-08-30,0.003,667
"56",1974-09-11,0.038,679
"57",1974-09-25,0.045,693
"58",1974-10-08,0.022,706
"59",1974-10-15,0.052,713
"60",1974-10-22,0.02,720
"61",1974-11-06,0.02625,736
"62",1974-11-24,0.037,754
"63",1974-12-06,0.016,766
"64",1974-12-30,0.071,790
"65",1975-01-14,0.009,805
"66",1975-01-17,0.073,808
"67",1975-01-24,0.062,815
"68",1975-02-04,0.042,826
"69",1975-02-22,0.048,844
"70",1975-02-25,0.059,846
"71",1975-03-12,0.045,861
"72",1975-03-30,0.087,879
"73",1975-04-17,0.095,897
"74",1975-05-05,0.05,915
"75",1975-05-23,0.082,933
"76",1975-06-06,0.029,947
"77",1975-06-10,0.033,951
"78",1975-06-28,0.045,969
"79",1975-07-16,0.066,987
"80",1975-08-03,0.034,1005
"81",1975-08-21,0.036,1023
"82",1975-08-28,0.156,1030
"83",1975-08-29,0.091,1031
"84",1975-09-08,0.033,1041
"85",1975-10-03,0.078,1066
"86",1975-10-05,0.066,1068
"87",1975-10-23,0.079,1086
"88",1975-11-10,0.042,1105
"89",1975-11-18,0.039,1113
"90",1975-12-16,0.069,1141
"91",1975-12-17,0.067,1142
"92",1976-01-21,0.057,1177
"93",1976-02-26,0.139,1213
"94",1976-03-01,0.099,1217
"95",1976-04-20,0.075,1267
"96",1976-05-08,0.04,1284
"97",1976-05-12,0.038,1288
"98",1976-05-26,0.116,1302
"99",1976-06-13,0.047,1320
"100",1976-07-01,0.03,1338
"101",1976-08-06,0.026,1374
"102",1976-08-24,0.046,1392
"103",1976-09-01,0.037,1400
"104",1976-09-11,0.051,1410
"105",1976-09-29,0.035,1428
"106",1976-10-17,0.052,1446
"107",1977-02-23,0.1015,1576
"108",1977-03-15,0.082,1596
"109",1977-06-15,0.069,1687
"110",1977-08-17,0.0645,1750
"111",1977-09-13,0.0715,1777
"112",1977-10-11,0.053,1805
"113",1977-11-21,0.0725,1847
"114",1978-01-12,0.1305,1899
"115",1978-02-08,0.138,1926
"116",1978-03-16,0.078,1962
"117",1978-04-12,0.127,1989
"118",1978-05-23,0.116,2029
"119",1978-06-12,0.063,2049
"120",1978-07-12,0.041,2079
"121",1978-08-08,0.037,2106
"122",1978-09-06,0.044,2135
"123",1978-10-11,0.044,2170
"124",1978-11-07,0.078,2198
"125",1979-01-10,0.15,2262
"126",1979-01-31,0.174,2283
"127",1979-03-07,0.167,2318
"128",1979-04-10,0.127,2352
"129",1979-05-09,0.113,2380
"130",1979-06-06,0.057,2408
"131",1979-07-04,0.056,2436
"132",1979-08-08,0.043,2471
"133",1979-09-11,0.065,2505
"134",1979-10-10,0.058,2534
"135",1979-11-09,0.069,2565
"136",1979-12-11,0.11,2597
"137",1980-01-09,0.11,2626
"138",1980-02-08,0.216333333333333,2656
"139",1980-03-05,0.138,2682
"140",1980-04-09,0.155,2717
"141",1980-05-15,0.161,2752
"142",1980-06-16,0.089,2784
"143",1980-07-21,0.108,2819
"144",1980-08-20,0.086,2849
"145",1980-09-16,0.074,2876
"146",1980-10-16,0.054,2906
"147",1980-11-06,0.0866666666666667,2928
"148",1980-12-11,0.099,2963
"149",1981-01-15,0.1,2998
"150",1981-02-19,0.158,3033
"151",1981-03-26,0.109,3068
"152",1981-04-22,0.107,3095
"153",1981-05-28,0.123,3130
"154",1981-06-24,0.04,3157
"155",1981-07-15,0.0706666666666667,3178
"156",1981-07-30,0.072,3193
"157",1981-08-12,0.016,3206
"158",1981-08-24,0.029,3218
"159",1981-09-10,0.034,3235
"160",1981-09-22,0.077,3247
"161",1981-10-08,0.098,3263
"162",1981-11-24,0.108,3311
"163",1982-01-07,0.095,3355
"164",1982-02-11,0.136,3390
"165",1982-03-04,0.112,3411
"166",1982-04-01,0.119,3439
"167",1982-05-19,0.12,3486
"168",1982-06-24,0.089,3522
"169",1982-07-09,0.036,3537
"170",1982-08-25,0.056,3584
"171",1982-09-28,0.072,3618
"172",1982-11-23,0.068,3675
"173",1982-12-20,0.146,3702
"174",1983-01-25,0.12,3738
"175",1983-02-24,0.09,3768
"176",1983-03-23,0.135,3795
"177",1983-04-20,0.163,3823
"178",1983-05-26,0.149,3858
"179",1983-06-28,0.115,3891
"180",1983-07-19,0.09,3912
"181",1983-08-30,0.076,3954
"182",1983-09-30,0.073,3985
"183",1983-10-27,0.057,4012
"184",1983-12-21,0.093,4068
"185",1984-01-18,0.1,4096
"186",1984-02-15,0.11,4124
"187",1984-03-22,0.162666666666667,4160
"188",1984-04-18,0.17,4187
"189",1984-05-16,0.135,4214
"190",1984-06-21,0.119,4250
"191",1984-07-26,0.077,4285
"192",1984-08-22,0.081,4312
"193",1984-10-18,0.134,4369
"194",1984-11-29,0.123,4412
"195",1984-12-20,0.082,4433
"196",1985-01-15,0.13,4459
"197",1985-02-27,0.109,4502
"198",1985-04-04,0.081,4538
"199",1985-05-01,0.116,4564
"200",1985-06-06,0.095,4600
"201",1985-07-10,0.108,4634
"202",1985-08-08,0.089,4663
"203",1985-09-05,0.108,4691
"204",1985-10-17,0.108,4733
"205",1985-11-14,0.081,4762
"206",1985-12-11,0.044,4789
"207",1986-01-30,0.079,4839
"208",1986-02-20,0.092,4860
"209",1986-04-03,0.067,4902
"210",1986-05-01,0.071,4929
"211",1986-06-03,0.065,4962
"212",1986-07-02,0.081,4991
"213",1986-08-07,0.045,5027
"214",1986-09-25,0.052,5076
"215",1986-10-23,0.111,5104
"216",1986-12-10,0.082,5153
"217",1987-01-14,0.141,5188
"218",1987-02-12,0.137,5217
"219",1987-04-03,0.17,5267
"220",1987-05-01,0.181,5294
"221",1987-06-04,0.09,5328
"222",1987-06-24,0.112,5348
"223",1987-07-21,0.066,5375
"224",1987-08-18,0.089,5403
"225",1987-09-14,0.083,5430
"226",1987-10-19,0.198,5465
"227",1987-11-18,0.17,5496
"228",1987-12-14,0.12,5522
"229",1988-01-19,0.188,5558
"230",1988-02-17,0.21,5587
"231",1988-03-22,0.184,5621
"232",1988-04-20,0.168,5649
"233",1988-05-04,0.136,5663
