"","date","L006_MICROCYSTIN HILR_ug/L","days"
"1",2021-05-05,NA,5
"2",2021-05-19,NA,19
"3",2021-06-09,NA,40
"4",2021-06-23,NA,54
"5",2021-07-07,NA,68
"6",2021-07-21,NA,82
"7",2021-08-04,NA,96
"8",2021-08-25,NA,117
"9",2021-09-09,NA,132
"10",2021-09-22,NA,145
"11",2021-10-06,NA,159
"12",2021-10-20,NA,173
"13",2022-05-04,NA,369
"14",2022-05-17,NA,382
"15",2022-06-08,NA,404
"16",2022-06-22,NA,418
"17",2022-07-07,NA,433
"18",2022-07-20,NA,446
"19",2022-08-17,NA,474
"20",2022-09-07,NA,495
"21",2022-09-21,NA,509
"22",2022-10-05,NA,523
"23",2022-10-19,NA,537
"24",2023-05-03,NA,733
