"","date","L007_TOTAL NITROGEN_mg/L","days"
"1",2014-06-03,1.29,3
"2",2014-07-16,1.1,46
"3",2014-08-06,1.13,67
"4",2014-09-03,0.9,95
"5",2014-10-08,1.05,130
"6",2014-11-05,0.836,158
"7",2014-12-03,1.42,186
"8",2015-01-07,1.71,221
"9",2015-02-04,1.32,249
"10",2015-03-04,1.18,277
"11",2015-04-08,1.12,312
"12",2015-05-13,1.19,347
"13",2015-06-02,1.06,367
"14",2015-07-08,1.13,403
"15",2015-08-04,0.898,430
"16",2015-09-02,1.04,459
"17",2015-10-07,1.28,494
"18",2015-11-03,1.22,521
"19",2015-12-02,1.05,550
"20",2016-01-12,1.34,591
"21",2016-02-03,1.07,613
"22",2016-03-02,1.1,641
"23",2016-04-06,1.55,676
"24",2016-05-09,1.37,709
"25",2016-06-15,1.19,746
"26",2016-07-12,1.32,773
"27",2016-08-03,0.979,795
"28",2016-09-07,1.05,830
"29",2016-10-19,1.28,872
"30",2016-11-02,1.41,886
"31",2016-12-06,1.32,920
"32",2017-01-10,1.76,955
"33",2017-02-08,1.37,984
"34",2017-03-21,1.4,1025
"35",2017-04-18,1.46,1053
"36",2017-05-23,1.12,1088
"37",2017-06-20,1.15,1116
"38",2017-07-11,1.17,1137
"39",2017-08-16,0.941,1173
"40",2017-09-19,2.11,1207
"41",2017-10-09,1.64,1227
"42",2017-11-08,1.94,1257
"43",2017-12-06,1.69,1285
"44",2018-01-18,2.7,1328
"45",2018-02-07,1.87,1348
"46",2018-03-07,1.68,1376
"47",2018-04-04,1.45,1404
"48",2018-05-02,1.79,1432
"49",2018-06-06,1.33,1467
"50",2018-07-18,1.01,1509
"51",2018-08-15,1.32,1537
"52",2018-09-05,0.855,1558
"53",2018-10-17,1.14,1600
"54",2018-11-07,1.1,1621
"55",2018-12-11,1.45,1655
"56",2019-01-09,1.36,1684
"57",2019-02-14,1.56,1720
"58",2019-03-13,1.4,1747
"59",2019-04-03,1.34,1768
"60",2019-05-07,1.27,1802
"61",2019-06-04,0.898,1830
"62",2019-07-10,0.85,1866
"63",2019-08-07,0.835,1894
"64",2019-09-10,0.875,1928
"65",2019-10-02,1.6,1950
"66",2019-11-06,1.38,1985
"67",2019-12-04,1.21,2013
"68",2020-01-15,1.33,2055
"69",2020-02-05,1.12,2076
"70",2020-03-11,1.37,2111
"71",2020-04-08,1.54,2139
"72",2020-05-06,1.38,2167
"73",2020-05-21,1.56,2182
"74",2020-06-03,1.07,2195
"75",2020-06-24,0.977,2216
"76",2020-07-08,0.864,2230
"77",2020-07-22,1.25,2244
"78",2020-08-05,1.13,2258
"79",2020-08-26,1.28,2279
"80",2020-09-09,1.01,2293
"81",2020-09-24,1.2,2308
"82",2020-10-07,1.21,2321
"83",2020-10-22,1.14,2336
"84",2020-11-18,1.6,2363
"85",2020-12-16,1.12,2391
"86",2021-01-06,1.6,2412
"87",2021-02-10,1.27,2447
"88",2021-03-11,1.53,2476
"89",2021-04-07,1.28,2503
"90",2021-05-05,1.18,2531
"91",2021-05-19,1.67,2545
"92",2021-06-09,1.11,2566
"93",2021-06-23,1.16,2580
"94",2021-07-07,0.965,2594
"95",2021-07-21,0.893,2608
"96",2021-08-04,1.04,2622
"97",2021-08-25,0.944,2643
"98",2021-09-09,0.743,2658
"99",2021-09-22,0.783,2671
"100",2021-10-06,0.926,2685
"101",2021-10-20,1.01,2699
"102",2021-11-03,0.887,2713
"103",2021-12-08,1.18,2748
"104",2022-01-05,1.2,2776
"105",2022-02-09,0.792,2811
"106",2022-03-09,1.25,2839
"107",2022-04-06,1.42,2867
"108",2022-05-04,1.33,2895
"109",2022-05-17,1.48,2908
"110",2022-06-08,1.18,2930
"111",2022-06-22,1.26,2944
"112",2022-07-07,0.893,2959
"113",2022-07-20,1.1,2972
"114",2022-08-03,1.1,2986
"115",2022-08-17,1.02,3000
"116",2022-09-07,0.939,3021
"117",2022-09-21,1.04,3035
"118",2022-10-05,1.63,3049
"119",2022-10-19,1.99,3063
"120",2022-11-16,1.46,3091
"121",2022-12-07,1.6,3112
"122",2023-01-11,1.12,3147
"123",2023-02-08,1.92,3175
"124",2023-03-08,1.6,3203
"125",2023-04-05,1.07,3231
"126",2023-05-03,1.68,3259
