"","date","L008_CHLOROPHYLL-A_ug/L","days"
"1",1974-09-13,26.8,13
"2",1974-10-01,27.8,31
"3",1974-10-19,24.9,49
"4",1974-11-06,41.7,67
"5",1974-11-24,38.9,85
"6",1974-12-12,29.4,103
"7",1974-12-30,17.6,121
"8",1975-01-17,20.4,139
"9",1975-02-04,26.5,157
"10",1975-02-22,21.8,175
"11",1975-03-12,14.9,193
"12",1975-03-30,47.1,211
"13",1975-04-17,30.5,229
"14",1975-05-05,27.4,247
"15",1975-05-23,38,265
"16",1975-06-05,13.75,278
"17",1975-06-10,21.4,283
"18",1975-06-28,16.4,301
"19",1975-07-16,32.9,319
"20",1975-08-03,20.4,337
"21",1975-08-21,17,355
"22",1975-09-08,45.1,373
"23",1975-09-26,24.2,391
"24",1975-10-05,26.1,400
"25",1975-10-23,68.3,418
"26",1975-11-10,96.9,436
"27",1975-12-16,40.9,472
"28",1976-01-21,14.3,508
"29",1976-02-26,26.6,544
"30",1976-03-15,19.4,562
"31",1976-04-20,51.1,598
"32",1976-05-08,36.1,616
"33",1976-05-26,36,634
"34",1976-06-13,30.4,652
"35",1976-07-01,21.7,670
"36",1976-08-06,6.2,706
"37",1976-08-24,19.4,724
"38",1976-09-11,13.1,742
"39",1976-09-29,12.1,760
"40",1976-10-17,26.4,778
"41",1976-11-04,26.7,796
"42",1976-11-22,35,814
"43",1976-12-09,8.8,831
"44",1977-07-14,20.15,1048
"45",1979-12-11,2.3,1928
"46",1980-01-09,4.2,1957
"47",1980-02-08,7.5,1987
"48",1980-03-05,20.1,2013
"49",1980-04-09,9,2048
"50",1980-05-15,11.5,2084
"51",1980-06-16,52.3333333333333,2116
"52",1980-07-21,27.7,2151
"53",1980-10-16,31.1,2238
"54",1980-11-06,24.8,2259
"55",1980-12-11,16.1,2294
"56",1981-01-15,15.3,2329
"57",1981-02-19,17.7,2364
"58",1981-03-26,10.1,2399
"59",1981-04-22,5.8,2426
"60",1981-05-28,9.3,2462
"61",1981-06-24,7.2,2489
"62",1981-07-15,13.7,2510
"63",1981-07-30,34.1,2525
"64",1981-08-12,26.6,2538
"65",1981-08-24,26.2,2550
"66",1981-09-10,29.1,2567
"67",1981-09-22,35.1,2579
"68",1981-10-08,26.5,2595
"69",1981-11-24,19.9,2642
