"","date","S308C_AMMONIA-N_mg/L","days"
"1",1973-01-15,0.16,15
"2",1973-01-16,0.12,16
"3",1973-02-05,0.09,36
"4",1973-03-05,0.12,64
"5",1973-04-10,0.07,100
"6",1973-05-08,0.06,127
"7",1973-06-05,0.075,155
"8",1973-07-10,0.105,190
"9",1973-08-10,NA,221
"10",1973-09-11,0.075,253
"11",1973-10-11,0.13,283
"12",1973-11-15,0.006,319
"13",1974-01-16,0.135,380
"14",1974-01-30,0.06,394
"15",1974-02-06,0.06,401
"16",1974-02-27,NA,422
"17",1974-03-06,0.02,429
"18",1974-03-22,0.07,445
"19",1981-07-16,NA,3118
"20",1981-07-28,0.09,3130
"21",1981-08-12,0.23,3145
"22",1981-08-25,0.19,3158
"23",1981-09-10,0.25,3174
"24",1981-09-23,0.25,3187
"25",1981-10-06,NA,3200
"26",1981-10-20,NA,3214
"27",1981-11-04,0.33,3230
"28",1981-12-02,0.11,3258
"29",1981-12-29,0.08,3285
"30",1982-02-24,0.06,3342
"31",1982-03-09,0.26,3355
"32",1982-04-05,0.16,3382
"33",1982-04-19,NA,3396
"34",1982-05-04,0.04,3410
"35",1982-05-18,0.02,3424
"36",1982-06-01,0.13,3438
"37",1982-07-01,0.06,3468
"38",1982-07-12,0.05,3479
"39",1982-07-27,NA,3494
"40",1982-08-25,0.08,3523
"41",1982-09-21,NA,3550
"42",1982-10-20,0.07,3579
"43",1982-11-22,0.04,3613
"44",1982-12-22,NA,3643
"45",1983-01-04,0.01,3656
"46",1983-01-18,0.02,3670
"47",1983-02-17,NA,3700
"48",1983-03-02,NA,3713
"49",1983-03-15,NA,3726
"50",1983-03-29,NA,3740
"51",1983-04-15,NA,3757
"52",1983-04-26,NA,3767
"53",1983-05-12,0.03,3783
"54",1983-05-24,NA,3795
"55",1983-06-07,0.02,3809
"56",1983-07-19,NA,3851
"57",1983-08-30,0.02,3893
"58",1983-09-12,0.01,3906
"59",1984-01-04,0.02,4021
"60",1984-01-17,0.03,4034
"61",1984-01-31,0.01,4048
"62",1984-02-14,0.03,4062
"63",1984-02-29,NA,4077
"64",1984-03-13,NA,4090
"65",1984-03-27,NA,4104
"66",1984-04-09,0.07,4117
"67",1984-04-25,NA,4133
"68",1984-06-19,0.01,4187
"69",1984-07-31,0.12,4229
"70",1984-08-27,0.01,4256
"71",1984-09-25,0.01,4285
"72",1984-10-23,0.04,4313
"73",1984-11-19,NA,4341
"74",1984-12-04,0.02,4356
"75",1984-12-18,0.02,4370
"76",1985-01-15,0.02,4398
"77",1985-01-29,NA,4412
"78",1985-02-26,NA,4440
"79",1985-03-26,0.02,4468
"80",1985-04-23,NA,4496
"81",1985-05-06,0.22,4508
"82",1985-06-19,0.08,4552
"83",1985-07-30,0.1,4593
"84",1985-08-27,0.07,4621
"85",1985-09-24,0.25,4649
"86",1985-10-08,0.17,4663
"87",1985-11-05,0.07,4692
"88",1985-12-03,NA,4720
"89",1986-01-14,NA,4762
