"","date","S308C_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-13,15.9,13
"2",2010-11-03,9.2,34
"3",2010-11-17,16.7333333333333,48
"4",2010-12-01,9.5,62
"5",2010-12-13,28.2,74
"6",2011-01-05,2.6,97
"7",2011-01-20,7.4,112
"8",2011-02-03,7.9,126
"9",2011-02-17,5.2,140
"10",2011-03-02,10.6,153
"11",2011-03-16,7.4,167
"12",2011-04-06,8.7,188
"13",2011-04-20,5.5,202
"14",2011-05-04,6.9,216
"15",2011-05-18,25,230
"16",2011-06-08,7.5,251
"17",2011-06-22,8.99,265
"18",2011-07-06,9.29,279
"19",2011-07-20,7.25,293
"20",2011-08-10,28.7,314
"21",2011-08-24,10.4,328
"22",2011-09-07,26.3,342
"23",2011-09-21,10.7,356
"24",2011-10-05,9.82,370
"25",2011-10-19,5.05,384
"26",2011-11-02,8.1,398
"27",2011-11-16,3.40333333333333,412
"28",2011-12-07,3.39,433
"29",2011-12-21,4.46,447
"30",2012-01-04,12.9,461
"31",2012-01-18,2.71,475
"32",2012-02-08,5.03,496
"33",2012-02-22,11.6333333333333,510
"34",2012-03-07,5.02,524
"35",2012-03-21,5.12,538
"36",2012-04-04,16.1,552
"37",2012-04-18,2.98,566
"38",2012-05-02,10.7,580
"39",2012-05-16,13.6666666666667,594
"40",2012-06-06,25.6,615
"41",2012-06-20,9.04,629
"42",2012-07-11,14.9,650
"43",2012-07-25,7.82,664
"44",2012-08-08,7.61666666666667,678
"45",2012-08-22,8.69,692
"46",2012-09-05,18.6,706
"47",2012-09-20,22,721
"48",2012-10-03,8.16,734
"49",2012-10-17,2.62,748
"50",2012-11-14,3.35333333333333,776
"51",2012-11-28,4.93,790
"52",2012-12-05,2.88,797
"53",2012-12-19,14.5,811
"54",2013-01-09,2.38,832
"55",2013-01-23,7.58,846
"56",2013-02-06,4.11,860
"57",2013-02-21,3.42333333333333,875
"58",2013-03-06,7.82,888
"59",2013-03-20,26.9,902
"60",2013-04-03,17.4,916
"61",2013-04-17,4.24,930
"62",2013-05-08,56.3,951
"63",2013-05-22,13.2,965
"64",2013-06-05,43.2,979
"65",2013-06-19,31.9,993
"66",2013-07-10,12.4,1014
"67",2013-07-24,24.6,1028
"68",2013-08-07,11,1042
"69",2013-08-21,22.1,1056
"70",2013-09-04,13.7,1070
"71",2013-09-18,7.56,1084
"72",2013-10-07,27.1,1103
"73",2013-10-21,15.7,1117
"74",2013-11-04,17.7666666666667,1131
"75",2013-11-18,6.08,1145
"76",2013-12-02,11.9,1159
"77",2013-12-16,11.3,1173
"78",2014-01-06,6.9,1194
"79",2014-01-21,9.47,1209
"80",2014-02-03,9.47,1222
"81",2014-02-17,13.3,1236
"82",2014-03-03,8.31,1250
"83",2014-03-17,9.75,1264
"84",2014-04-07,41.8,1285
"85",2014-04-21,11.2,1299
"86",2014-05-05,10.8333333333333,1313
"87",2014-05-19,8.98,1327
"88",2014-06-09,27.5,1348
"89",2014-06-23,62.7,1362
"90",2014-07-07,11.4,1376
"91",2014-07-21,25.2,1390
"92",2014-08-04,32.9,1404
"93",2014-08-18,54.7333333333333,1418
"94",2014-09-08,20.2,1439
"95",2014-09-22,25.3,1453
"96",2014-10-06,20,1467
"97",2014-10-20,20.8,1481
"98",2014-11-03,28.1,1495
"99",2014-11-17,13.3,1509
"100",2014-12-01,4.94,1523
"101",2014-12-15,5.11,1537
"102",2015-01-05,2.44,1558
"103",2015-01-20,4.34,1573
"104",2015-02-02,4.68,1586
"105",2015-02-16,7.06,1600
"106",2015-03-02,5.13,1614
"107",2015-03-16,6.46,1628
"108",2015-04-06,14.1,1649
"109",2015-04-20,12.6,1663
"110",2015-05-04,6.03333333333333,1677
"111",2015-05-18,1.42,1691
"112",2015-06-01,11.7,1705
"113",2015-06-15,43.8,1719
"114",2015-07-06,24.3,1740
"115",2015-07-20,84.3,1754
"116",2015-08-03,22.1666666666667,1768
"117",2015-08-17,20.1,1782
"118",2015-08-31,46.6,1796
"119",2015-09-14,23.6,1810
"120",2015-09-28,27.2,1824
"121",2015-10-12,41.3,1838
"122",2015-10-26,7.52666666666667,1852
"123",2015-11-09,14.1,1866
"124",2015-11-23,13.6,1880
"125",2015-12-07,7.34,1894
"126",2015-12-21,12,1908
"127",2016-01-04,10.9,1922
"128",2016-01-20,9.61333333333333,1938
"129",2016-02-01,2.34,1950
"130",2016-02-15,7.19,1964
"131",2016-02-29,6.46,1978
"132",2016-03-14,6.22,1992
"133",2016-03-28,5.37,2006
"134",2016-04-11,5.42666666666667,2020
"135",2016-04-25,6.04,2034
"136",2016-05-09,15.4,2048
"137",2016-05-23,151,2062
"138",2016-06-06,74.7,2076
"139",2016-06-20,27.2,2090
"140",2016-07-06,23.2333333333333,2106
"141",2016-07-18,25.8,2118
"142",2016-08-01,34.2,2132
"143",2016-08-15,50.5,2146
"144",2016-08-29,39.3,2160
"145",2016-09-12,31.9,2174
"146",2016-09-26,23.7666666666667,2188
"147",2016-10-10,27.2,2202
"148",2016-10-24,12,2216
"149",2016-11-07,6.85,2230
"150",2016-11-21,8.88,2244
"151",2016-12-05,6.18,2258
"152",2016-12-19,7.36333333333333,2272
"153",2017-01-04,30.9,2288
"154",2017-01-17,3.31,2301
"155",2017-01-30,11.5,2314
"156",2017-02-13,19.5,2328
"157",2017-02-27,15.2,2342
"158",2017-03-14,35.9,2357
"159",2017-03-27,5.19,2370
"160",2017-04-10,8.53,2384
"161",2017-04-24,9.2,2398
"162",2017-05-08,26.4,2412
"163",2017-05-22,27.4,2426
"164",2017-06-05,11.8,2440
"165",2017-06-19,4.38,2454
"166",2017-07-05,5.15,2470
"167",2017-07-17,4.95,2482
"168",2017-07-31,38.3,2496
"169",2017-08-01,0.988,2497
"170",2017-08-14,4.77,2510
"171",2017-08-28,1.88,2524
"172",2017-09-13,13,2540
"173",2017-09-25,3.15,2552
"174",2017-10-09,2.72,2566
"175",2017-10-23,48.2,2580
"176",2017-11-06,3.77,2594
"177",2017-11-20,5.26,2608
"178",2017-12-04,3.51,2622
"179",2017-12-18,2.53,2636
"180",2018-01-02,7.78,2651
"181",2018-01-16,8.34,2665
"182",2018-01-29,4.88,2678
"183",2018-02-12,3.17,2692
"184",2018-02-26,3.8,2706
"185",2018-03-12,18.1,2720
"186",2018-03-26,36.6,2734
"187",2018-04-09,5.66,2748
"188",2018-04-23,6.78,2762
"189",2018-05-07,11,2776
"190",2018-05-21,14.1,2790
"191",2018-06-04,81.4333333333333,2804
"192",2018-06-18,5.89,2818
"193",2018-07-02,11,2832
"194",2018-07-16,9.94,2846
"195",2018-07-30,7.06,2860
"196",2018-08-13,45.8,2874
"197",2018-08-27,20.1,2888
"198",2018-09-10,27.8666666666667,2902
"199",2018-09-24,34,2916
"200",2018-10-08,36.4,2930
"201",2018-10-22,51.3,2944
"202",2018-11-19,10.2866666666667,2972
"203",2018-12-17,18.4,3000
"204",2019-01-14,35.1,3028
"205",2019-01-28,14.5,3042
"206",2019-02-11,5.73,3056
"207",2019-02-25,12.3,3070
"208",2019-03-11,5.46,3084
"209",2019-03-25,10.9,3098
"210",2019-04-08,10.22,3112
"211",2019-04-22,10.6,3126
"212",2019-05-06,16,3140
"213",2019-06-03,38.4,3168
"214",2019-07-01,43.1666666666667,3196
"215",2019-07-29,38.8,3224
"216",2019-08-12,16.4,3238
"217",2019-08-26,26.2,3252
"218",2019-09-09,50.8,3266
"219",2019-09-23,7.02,3280
"220",2019-10-07,6.39,3294
"221",2019-10-21,10.6133333333333,3308
"222",2019-11-04,8.78,3322
"223",2019-11-18,9.98,3336
"224",2019-12-02,15.3,3350
"225",2019-12-16,1.79,3364
"226",2020-01-13,3.98333333333333,3392
"227",2020-01-27,3.94,3406
"228",2020-02-10,3.85,3420
"229",2020-02-24,5.79,3434
"230",2020-03-09,7.83,3448
"231",2020-03-23,9.15,3462
"232",2020-04-06,53.4,3476
"233",2020-04-20,31.5,3490
"234",2020-05-04,16,3504
"235",2020-05-18,32.3,3518
"236",2020-06-01,9.67,3532
"237",2020-06-15,4.2,3546
"238",2020-06-29,16,3560
"239",2020-07-13,4.82666666666667,3574
"240",2020-07-27,6.92,3588
"241",2020-08-10,4.09,3602
"242",2020-08-24,21.7,3616
"243",2020-09-08,14,3631
"244",2020-09-21,38.8,3644
"245",2020-10-05,4.18,3658
"246",2020-10-19,4.83,3672
"247",2020-11-02,8.68,3686
"248",2020-11-16,3.44666666666667,3700
"249",2020-11-30,10.3,3714
"250",2020-12-14,4.53,3728
"251",2020-12-28,5,3742
"252",2021-01-11,6.34666666666667,3756
"253",2021-01-25,25.8,3770
"254",2021-02-08,27.3,3784
"255",2021-02-22,5.68,3798
"256",2021-03-08,16,3812
"257",2021-03-22,17,3826
"258",2021-04-05,6.36,3840
"259",2021-04-19,223,3854
"260",2021-05-03,116,3868
"261",2021-05-17,27.5,3882
"262",2021-06-01,20.6,3897
"263",2021-06-14,74.1,3910
"264",2021-06-28,7.67,3924
"265",2021-07-01,51.6,3927
"266",2021-07-02,9.41,3928
"267",2021-07-12,5.45,3938
"268",2021-07-26,13.1,3952
"269",2021-08-09,8.26,3966
"270",2021-08-23,23.3,3980
"271",2021-09-07,22.8,3995
"272",2021-09-20,11.8,4008
"273",2021-10-04,4.29,4022
"274",2021-10-18,19.9333333333333,4036
"275",2021-11-01,10.3,4050
"276",2021-11-15,11.2,4064
"277",2021-11-29,10.9,4078
"278",2021-12-13,4.69,4092
"279",2021-12-27,10.8,4106
"280",2022-01-10,5.28,4120
"281",2022-01-24,7.53,4134
"282",2022-02-07,6.24,4148
"283",2022-02-21,14,4162
"284",2022-03-07,4.94666666666667,4176
"285",2022-03-21,9.93,4190
"286",2022-04-04,8.38,4204
"287",2022-04-18,17.6,4218
"288",2022-05-02,5.92666666666667,4232
"289",2022-05-16,22.6,4246
"290",2022-05-31,17.2,4261
"291",2022-06-13,14.4,4274
"292",2022-06-27,7.52,4288
"293",2022-07-11,20.1,4302
"294",2022-07-25,21.7,4316
"295",2022-08-08,26,4330
"296",2022-08-22,31.5,4344
"297",2022-09-06,21.3,4359
"298",2022-09-19,35.4,4372
"299",2022-10-03,16.5333333333333,4386
"300",2022-10-17,3.66,4400
"301",2022-10-31,2.29,4414
"302",2022-11-14,7.71,4428
"303",2022-11-28,26.6,4442
"304",2022-12-12,4.95,4456
"305",2022-12-27,3.61,4471
"306",2023-01-09,4.25,4484
"307",2023-01-22,2.78,4497
"308",2023-01-23,4.46,4498
"309",2023-02-06,13.3,4512
"310",2023-02-20,5.47,4526
"311",2023-03-02,0.368,4536
"312",2023-03-06,17.8,4540
"313",2023-03-20,7.22,4554
"314",2023-04-03,24.8,4568
"315",2023-04-17,13.6,4582
"316",2023-05-01,13.7666666666667,4596
