"","date","S308C_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",1988-06-20,17.3,20
"2",2001-08-28,2.4,4837
"3",2005-09-13,454,6314
"4",2005-09-27,3,6328
"5",2005-10-11,7,6342
"6",2005-11-22,9,6384
"7",2006-01-17,12,6440
"8",2006-02-22,6,6476
"9",2006-03-07,3,6489
"10",2006-04-04,9,6517
"11",2006-05-02,4,6545
"12",2006-05-16,7,6559
"13",2006-05-30,6,6573
"14",2006-06-13,3,6587
"15",2006-07-05,3,6609
"16",2006-07-17,8,6621
"17",2006-08-07,3,6642
"18",2006-08-21,4,6656
"19",2006-09-11,4,6677
"20",2006-09-25,4,6691
"21",2006-10-09,9,6705
"22",2006-10-23,12,6719
"23",2006-11-27,NA,6754
"24",2006-12-18,4,6775
"25",2007-10-08,1,7069
"26",2007-10-22,1,7083
"27",2007-11-26,7.25,7118
"28",2007-12-05,9,7127
"29",2007-12-19,1,7141
"30",2008-01-02,13,7155
"31",2008-01-16,10,7169
"32",2008-02-06,8,7190
"33",2008-02-20,12,7204
"34",2008-03-05,9,7218
"35",2008-03-19,9.5,7232
"36",2008-04-02,13,7246
"37",2008-04-16,34,7260
"38",2008-05-14,15,7288
"39",2008-05-28,3.2,7302
"40",2008-06-11,3.5,7316
"41",2008-06-25,2,7330
"42",2008-07-16,15,7351
"43",2008-07-30,11,7365
"44",2008-08-13,25,7379
"45",2008-08-28,16.4,7394
"46",2008-09-10,5,7407
"47",2008-09-24,11,7421
"48",2008-10-08,4,7435
"49",2008-10-22,2,7449
"50",2008-11-05,3.5,7463
"51",2008-11-19,11,7477
"52",2008-12-03,15,7491
"53",2008-12-17,0,7505
"54",2009-01-07,8,7526
"55",2009-01-21,2.5,7540
"56",2009-02-04,10.5,7554
"57",2009-02-18,6.4,7568
"58",2009-03-11,5,7589
"59",2009-03-25,6,7603
"60",2009-04-08,9,7617
"61",2009-05-06,17,7645
"62",2009-05-20,5.6,7659
"63",2009-06-03,24,7673
"64",2009-06-17,11,7687
"65",2009-07-08,15,7708
"66",2009-07-22,6,7722
"67",2009-08-12,49,7743
"68",2009-08-26,9.2,7757
"69",2010-05-12,0.5,8016
"70",2010-05-26,4.6,8030
"71",2010-06-16,12,8051
"72",2010-06-30,7,8065
"73",2010-07-14,4,8079
"74",2010-07-28,10,8093
"75",2010-08-04,11,8100
"76",2010-08-18,25,8114
"77",2010-09-15,14,8142
"78",2010-09-29,13,8156
"79",2010-10-13,14,8170
"80",2010-10-27,12,8184
"81",2010-11-03,10,8191
"82",2010-11-17,19,8205
"83",2010-12-01,11,8219
"84",2010-12-13,37,8231
"85",2011-01-05,3,8254
"86",2011-01-20,6,8269
"87",2011-02-03,8,8283
"88",2011-02-17,4.33333333333333,8297
"89",2011-03-02,11,8310
"90",2011-03-16,7,8324
"91",2011-04-06,16,8345
"92",2011-04-20,7,8359
