"","date","S308C_CHLOROPHYLL-A_ug/L","days"
"1",1988-06-20,17.4,20
"2",2001-08-28,3.1,4837
"3",2005-09-13,505,6314
"4",2005-09-27,5,6328
"5",2005-10-11,7.5,6342
"6",2005-11-22,12,6384
"7",2006-01-17,16,6440
"8",2006-02-22,8,6476
"9",2006-03-07,5,6489
"10",2006-04-04,11,6517
"11",2006-05-02,6,6545
"12",2006-05-16,10,6559
"13",2006-05-30,10,6573
"14",2006-06-13,4,6587
"15",2006-07-05,4,6609
"16",2006-07-17,7,6621
"17",2006-08-07,3,6642
"18",2006-08-21,4,6656
"19",2006-09-11,6,6677
"20",2006-09-25,5,6691
"21",2006-10-09,10,6705
"22",2006-10-23,15,6719
"23",2006-11-27,NA,6754
"24",2006-12-18,6,6775
"25",2007-10-08,2,7069
"26",2007-10-22,2,7083
"27",2007-11-26,10.5,7118
"28",2007-12-05,11.5,7127
"29",2007-12-19,1,7141
"30",2008-01-02,17,7155
"31",2008-01-16,14,7169
"32",2008-02-06,12,7190
"33",2008-02-20,13.5,7204
"34",2008-03-05,14.5,7218
"35",2008-03-19,12.5,7232
"36",2008-04-02,15,7246
"37",2008-04-16,51,7260
"38",2008-05-14,18,7288
"39",2008-05-28,3.4,7302
"40",2008-06-11,5,7316
"41",2008-06-25,3.5,7330
"42",2008-07-16,17,7351
"43",2008-07-30,16,7365
"44",2008-08-13,36,7379
"45",2008-08-28,18.2,7394
"46",2008-09-10,4.5,7407
"47",2008-09-24,14,7421
"48",2008-10-08,5,7435
"49",2008-10-22,2,7449
"50",2008-11-05,6.5,7463
"51",2008-11-19,15.8,7477
"52",2008-12-03,27,7491
"53",2008-12-17,0.5,7505
"54",2009-01-07,10,7526
"55",2009-01-21,4.5,7540
"56",2009-02-04,19.5,7554
"57",2009-02-18,8.2,7568
"58",2009-03-11,6,7589
"59",2009-03-25,6,7603
"60",2009-04-08,13,7617
"61",2009-05-06,26,7645
"62",2009-05-20,7.6,7659
"63",2009-06-03,28,7673
"64",2009-06-17,18,7687
"65",2009-07-08,23,7708
"66",2009-07-22,9,7722
"67",2009-08-12,55,7743
"68",2009-08-26,10.8,7757
"69",2010-05-12,1,8016
"70",2010-05-26,5.4,8030
"71",2010-06-16,15,8051
"72",2010-06-30,7,8065
"73",2010-07-14,6,8079
"74",2010-07-28,13.5,8093
"75",2010-08-04,15,8100
"76",2010-08-18,28.6666666666667,8114
"77",2010-09-15,18,8142
"78",2010-09-29,18,8156
"79",2010-10-13,19,8170
"80",2010-10-27,17,8184
"81",2010-11-03,14,8191
"82",2010-11-17,22.6666666666667,8205
"83",2010-12-01,20,8219
"84",2010-12-13,65,8231
"85",2011-01-05,5,8254
"86",2011-01-20,10,8269
"87",2011-02-03,9,8283
"88",2011-02-17,7.33333333333333,8297
"89",2011-03-02,18,8310
"90",2011-03-16,9,8324
"91",2011-04-06,23,8345
"92",2011-04-20,10,8359
