"","date","S308C_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1973-01-15,0.114,15
"2",1973-01-16,0.08,16
"3",1973-02-05,0.0655,36
"4",1973-03-05,0.03,64
"5",1973-04-10,0.056,100
"6",1973-05-08,0.0295,127
"7",1973-06-05,0.06,155
"8",1973-07-10,0.141,190
"9",1973-08-10,0.219,221
"10",1973-09-11,0.2025,253
"11",1973-10-11,0.204,283
"12",1973-11-15,0.026,319
"13",1974-01-16,0.0455,380
"14",1974-01-30,0.08,394
"15",1974-02-06,0.0845,401
"16",1974-02-27,0.12,422
"17",1974-03-06,0.067,429
"18",1974-03-22,0.08,445
"19",1981-07-16,0.117,3118
"20",1981-07-28,0.13,3130
"21",1981-08-12,0.108,3145
"22",1981-08-25,0.111,3158
"23",1981-09-10,0.358,3174
"24",1981-09-23,0.292,3187
"25",1981-10-06,0.166,3200
"26",1981-10-20,0.174,3214
"27",1981-11-04,0.216,3230
"28",1981-12-02,0.141,3258
"29",1981-12-29,0.066,3285
"30",1982-02-24,0.078,3342
"31",1982-03-09,0.292,3355
"32",1982-04-05,0.318,3382
"33",1982-04-19,0.165,3396
"34",1982-05-04,0.152,3410
"35",1982-05-18,0.112,3424
"36",1982-06-01,0.202,3438
"37",1982-07-01,0.156,3468
"38",1982-07-12,0.276,3479
"39",1982-07-27,0.353,3494
"40",1982-08-25,0.113,3523
"41",1982-09-21,0.139,3550
"42",1982-10-20,0.073,3579
"43",1982-11-22,0.084,3613
"44",1982-12-22,0.137,3643
"45",1983-01-04,0.124,3656
"46",1983-01-18,0.177,3670
"47",1983-02-17,0.179,3700
"48",1983-03-02,0.209,3713
"49",1983-03-15,0.189,3726
"50",1983-03-29,0.206,3740
"51",1983-04-15,0.181,3757
"52",1983-04-26,0.161,3767
"53",1983-05-12,0.116,3783
"54",1983-05-24,0.11,3795
"55",1983-06-07,0.147,3809
"56",1983-07-19,0.077,3851
"57",1983-08-30,0.079,3893
"58",1983-09-12,0.05,3906
"59",1984-01-04,0.175,4021
"60",1984-01-17,0.116,4034
"61",1984-01-31,0.133,4048
"62",1984-02-14,0.098,4062
"63",1984-02-29,0.42,4077
"64",1984-03-13,0.105,4090
"65",1984-03-27,0.153,4104
"66",1984-04-09,0.165,4117
"67",1984-04-25,0.155,4133
"68",1984-06-04,0.116,4172
"69",1984-06-19,0.107,4187
"70",1984-07-31,0.125,4229
"71",1984-08-13,0.109,4242
"72",1984-08-27,0.094,4256
"73",1984-09-10,0.212,4270
"74",1984-09-25,0.143,4285
"75",1984-10-23,0.143,4313
"76",1984-11-19,0.218,4341
"77",1984-12-04,0.067,4356
"78",1984-12-18,0.095,4370
"79",1985-01-15,0.152,4398
"80",1985-01-29,0.187,4412
"81",1985-02-26,0.095,4440
"82",1985-03-26,0.105,4468
"83",1985-04-23,0.113,4496
"84",1985-05-06,0.091,4508
"85",1985-06-19,0.1,4552
"86",1985-07-30,0.089,4593
"87",1985-08-27,0.116,4621
"88",1985-09-24,0.326,4649
"89",1985-10-08,0.247,4663
"90",1985-11-05,0.194,4692
"91",1985-12-03,0.08,4720
"92",1986-01-14,0.174,4762
"93",1986-02-12,0.055,4791
"94",1986-02-25,0.15,4804
"95",1986-03-25,0.135,4832
"96",1986-04-08,0.094,4846
"97",1986-04-22,0.145,4860
"98",1986-05-06,0.052,4873
"99",1986-06-17,0.2,4915
"100",1986-07-01,0.433,4929
"101",1986-08-14,0.195,4973
"102",1986-08-26,0.103,4985
"103",1986-09-23,0.08,5013
"104",1986-10-07,0.134,5027
"105",1986-11-18,0.146,5070
"106",1986-12-03,0.195,5085
"107",1986-12-18,0.116,5100
"108",1987-01-22,0.342,5135
"109",1987-02-03,0.156,5147
"110",1987-02-18,0.13,5162
"111",1987-03-03,0.168,5175
"112",1987-03-31,0.444,5203
"113",1987-04-14,0.073,5216
"114",1987-05-11,0.09,5243
"115",1987-06-10,0.118,5273
"116",1987-07-08,0.078,5301
"117",1987-08-04,0.075,5328
"118",1987-08-18,0.08,5342
"119",1987-09-01,0.072,5356
"120",1987-10-13,0.213,5398
"121",1987-11-24,0.13,5441
"122",1987-12-22,0.145,5469
"123",1988-01-05,0.274,5483
"124",1988-02-02,0.157,5511
"125",1988-03-01,0.227,5539
"126",1988-03-15,0.073,5553
"127",1988-03-29,0.142,5567
"128",1988-04-12,0.052,5580
"129",1988-04-26,0.205,5594
"130",1988-05-10,0.162,5608
"131",1988-06-07,0.221,5636
"132",1988-06-20,0.124,5649
"133",1988-06-21,0.136,5650
"134",1988-07-06,0.19,5665
"135",1988-07-07,0.009,5666
"136",1988-07-18,0.149,5677
"137",1988-08-02,0.1225,5692
"138",1988-08-15,0.314,5705
"139",1988-08-28,0.6,5718
"140",1988-09-12,0.337,5733
"141",1988-09-26,0.177,5747
"142",1988-09-27,0.116,5748
"143",1988-10-11,0.1005,5762
"144",1988-10-24,0.122,5775
"145",1988-11-08,0.132,5791
"146",1988-11-21,0.085,5804
"147",1988-12-06,0.152,5819
"148",1988-12-19,0.17,5832
"149",1989-01-04,0.296,5848
"150",1989-01-17,0.1,5861
"151",1989-02-08,0.109,5883
"152",1989-02-28,0.15,5903
"153",1989-03-06,0.13,5909
"154",1989-03-15,0.115,5918
"155",1989-04-25,0.087,5958
"156",1989-04-26,0.13,5959
"157",1989-05-23,0.109,5986
"158",1989-06-20,0.097,6014
"159",1989-06-21,0.108,6015
"160",1989-07-19,0.067,6043
"161",1989-07-20,0.1,6044
"162",1989-08-02,0.073,6057
"163",1989-08-15,0.101,6070
"164",1989-09-27,0.165,6113
"165",1989-09-28,0.212,6114
"166",1989-10-23,0.273,6139
"167",1989-11-08,0.11,6156
"168",1989-11-20,0.175,6168
"169",1989-12-05,0.228,6183
"170",1990-01-30,0.138,6239
"171",1990-01-31,0.147,6240
"172",1990-02-28,0.166,6268
"173",1990-03-19,0.17,6287
"174",1990-03-27,0.144,6295
"175",1990-04-10,0.135,6308
"176",1990-04-24,0.171,6322
"177",1990-05-08,0.162,6336
"178",1990-06-20,0.131,6379
"179",1990-06-27,0.132,6386
"180",1990-07-19,0.143,6408
"181",1990-08-29,0.126,6449
"182",1990-09-26,0.182,6477
"183",1990-10-31,0.198,6513
"184",1990-12-19,0.173,6562
"185",1991-01-30,0.161,6604
"186",1991-02-27,0.109,6632
"187",1991-03-25,0.127,6658
"188",1991-04-09,0.167,6672
"189",1991-04-23,0.129,6686
"190",1991-05-22,0.146,6715
"191",1991-06-17,0.145,6741
"192",1991-07-16,0.206,6770
"193",1991-07-29,0.108,6783
"194",1991-08-28,0.145,6813
"195",1991-09-25,0.063,6841
"196",1991-10-23,0.101,6869
"197",1991-11-06,0.105,6884
"198",1991-11-20,0.101,6898
"199",1991-12-31,0.115,6939
"200",1992-01-14,0.21,6953
"201",1992-02-27,0.224,6997
"202",1992-03-25,0.129,7024
"203",1992-04-06,0.09,7035
"204",1992-05-18,0.077,7077
"205",1992-07-27,0.106,7147
"206",1992-08-31,0.061,7182
"207",1992-09-09,0.053,7191
"208",1992-09-22,0.087,7204
"209",1992-10-20,0.095,7232
"210",1992-11-30,0.079,7274
"211",1992-12-14,0.161,7288
"212",1993-01-28,0.177,7333
"213",1993-02-24,0.19,7360
"214",1993-03-25,0.118,7389
"215",1993-04-05,0.2005,7399
"216",1993-04-21,0.177,7415
"217",1993-05-19,0.192,7443
"218",1993-06-16,0.103,7471
"219",1993-06-26,0.096,7481
"220",1993-08-25,0.083,7541
"221",1993-09-07,0.194,7554
"222",1993-09-22,0.11475,7569
"223",1993-10-20,0.209,7597
"224",1993-11-18,0.081,7627
"225",1993-12-15,0.229,7654
"226",1993-12-27,0.215,7666
"227",1994-01-03,0.0885,7673
"228",1994-01-20,0.137,7690
"229",1994-01-31,0.0515,7701
"230",1994-02-16,0.145,7717
"231",1994-03-02,0.112,7731
"232",1994-03-28,0.159,7757
"233",1994-04-25,0.092,7784
"234",1994-05-02,0.186,7791
"235",1994-05-18,0.218,7807
"236",1994-06-03,0.092,7823
"237",1994-07-20,0.085,7870
"238",1994-08-15,0.077,7896
"239",1994-08-23,0.05,7904
"240",1994-09-12,0.057,7924
"241",1994-10-10,0.05475,7952
"242",1994-10-25,1.088,7967
"243",1994-11-07,0.143,7981
"244",1994-12-05,0.139,8009
"245",1995-01-03,0.126,8038
"246",1995-01-31,0.2,8066
"247",1995-02-13,0.1455,8079
"248",1995-02-27,0.148,8093
"249",1995-03-13,0.129,8107
"250",1995-03-28,0.174,8122
"251",1995-04-10,0.145,8134
"252",1995-04-24,0.203,8148
"253",1995-05-22,0.171,8176
"254",1995-06-19,0.096,8204
"255",1995-07-17,0.166,8232
"256",1995-08-14,0.078,8260
"257",1995-08-29,0.147,8275
"258",1995-09-11,0.088,8288
"259",1995-09-26,0.125,8303
"260",1995-10-09,0.109,8316
"261",1995-10-24,0.1,8331
"262",1995-11-06,0.102,8345
"263",1995-11-20,0.152,8359
"264",1995-12-04,0.087,8373
"265",1996-01-02,0.203,8402
"266",1996-01-16,0.124,8416
"267",1996-01-29,0.17,8429
"268",1996-02-26,0.154,8457
"269",1996-03-25,0.156,8485
"270",1996-04-22,0.114,8512
"271",1996-05-20,0.133,8540
"272",1996-06-19,0.0656666666666667,8570
"273",1996-07-15,0.089,8596
"274",1996-07-30,0.132,8611
"275",1996-08-14,0.085,8626
"276",1996-09-09,0.08,8652
"277",1996-10-07,0.093,8680
"278",1996-11-04,0.134,8709
"279",1996-11-18,0.156,8723
"280",1996-12-02,0.195,8737
"281",1996-12-30,0.11,8765
"282",1997-01-27,0.163,8793
"283",1997-02-24,0.127,8821
"284",1997-03-24,0.133,8849
"285",1997-04-21,0.108,8876
"286",1997-05-19,0.085,8904
"287",1997-06-16,0.108,8932
"288",1997-07-14,0.13,8960
"289",1997-08-25,0.124,9002
"290",1997-09-22,0.098,9030
"291",1997-10-20,0.248,9058
"292",1997-11-17,0.232,9087
"293",1997-12-22,0.107,9122
"294",1998-01-20,0.179,9151
"295",1998-02-02,0.142,9164
"296",1998-02-17,0.16,9179
"297",1998-03-02,0.432,9192
"298",1998-03-16,0.184,9206
"299",1998-04-06,0.178,9226
"300",1998-04-20,0.274,9240
"301",1998-05-04,0.136,9254
"302",1998-05-18,0.111,9268
"303",1998-06-15,0.154,9296
"304",1998-07-27,0.109,9338
"305",1998-08-24,0.135,9366
"306",1998-09-21,0.107,9394
"307",1998-10-19,0.113,9422
"308",1998-11-02,0.127,9437
"309",1998-11-16,0.286,9451
"310",1998-12-28,0.142,9493
"311",1999-01-25,0.168,9521
"312",1999-02-22,0.266,9549
"313",1999-03-22,0.233,9577
"314",1999-04-05,0.118,9590
"315",1999-04-19,0.187,9604
