"","date","S308C_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.72,24
"2",2017-05-08,2.48,38
"3",2017-05-22,1.27,52
"4",2017-06-05,1.46,66
"5",2017-06-19,1.76,80
"6",2017-07-05,1.46,96
"7",2017-07-17,1.78,108
"8",2017-07-31,2.42,122
"9",2017-08-01,1.85,123
"10",2017-08-14,1.5,136
"11",2017-08-28,1.54,150
"12",2017-09-13,2.36,166
"13",2017-09-25,1.7,178
"14",2017-10-09,1.73,192
"15",2017-10-23,2.07,206
"16",2017-11-06,1.96,220
"17",2017-11-20,2.36,234
"18",2017-12-04,1.47,248
"19",2018-01-02,3.95,277
"20",2018-01-16,3.84,291
"21",2018-01-29,2.02,304
"22",2018-02-12,1.7,318
"23",2018-02-26,1.52,332
"24",2018-03-12,2.26,346
"25",2018-03-26,2.22,360
"26",2018-04-23,1.87,388
"27",2018-05-07,1.82,402
"28",2018-05-21,1.83,416
"29",2018-06-18,1.2,444
"30",2018-07-02,1.22,458
"31",2018-07-16,1.32,472
"32",2018-07-30,1.6,486
"33",2018-08-13,1.79,500
"34",2018-08-27,1.3,514
"35",2018-09-10,1.30666666666667,528
"36",2018-09-24,1.51,542
"37",2018-10-08,1.4,556
"38",2018-10-22,1.67,570
"39",2018-11-19,1.67,598
"40",2018-12-17,2.38,626
"41",2019-01-14,2.76,654
"42",2019-01-28,4.23,668
"43",2019-02-11,1.58,682
"44",2019-02-25,2.40333333333333,696
"45",2019-03-11,1.35,710
"46",2019-03-25,1.53,724
"47",2019-04-08,1.47,738
"48",2019-04-22,2.02,752
"49",2019-05-06,2.18,766
"50",2019-06-03,1.67,794
"51",2019-07-01,1.97333333333333,822
"52",2019-07-29,1.38,850
"53",2019-08-12,1.83,864
"54",2019-08-26,1.69,878
"55",2019-09-09,2.1,892
"56",2019-09-23,1.68,906
"57",2019-10-07,1.49,920
"58",2019-10-21,1.62666666666667,934
"59",2019-11-04,1.5,948
"60",2019-11-18,2.12,962
"61",2019-12-02,3.03,976
"62",2019-12-16,1.35,990
"63",2019-12-30,1.31,1004
"64",2020-01-13,1.49666666666667,1018
"65",2020-01-27,1.54,1032
"66",2020-02-10,1.62,1046
"67",2020-02-24,1.52,1060
"68",2020-03-09,1.76,1074
"69",2020-03-23,1.36,1088
"70",2020-04-06,1.87333333333333,1102
"71",2020-04-20,2.56,1116
"72",2020-05-04,1.47,1130
"73",2020-05-18,1.61,1144
"74",2020-06-01,1.24,1158
"75",2020-06-15,1.33,1172
"76",2020-06-29,1.46,1186
"77",2020-07-13,1.36666666666667,1200
"78",2020-07-27,1.21,1214
"79",2020-08-10,1.07,1228
"80",2020-08-24,1.36,1242
"81",2020-09-08,1.52,1257
"82",2020-09-21,1.68,1270
"83",2020-10-05,1.4,1284
"84",2020-10-19,1.38,1298
"85",2020-11-02,2.15,1312
"86",2020-11-16,1.23666666666667,1326
"87",2020-11-30,2.28,1340
"88",2020-12-14,1.45,1354
"89",2020-12-28,1.77,1368
"90",2021-01-11,1.84333333333333,1382
"91",2021-01-25,1.46,1396
"92",2021-02-08,1.81,1410
"93",2021-02-22,1.75,1424
"94",2021-03-08,3.48,1438
"95",2021-03-22,3.55,1452
"96",2021-04-05,1.69,1466
"97",2021-04-19,3.48,1480
"98",2021-05-03,2.06,1494
"99",2021-05-17,2.55,1508
"100",2021-06-01,1.33,1523
"101",2021-06-14,3.21,1536
"102",2021-06-28,1.37,1550
"103",2021-07-01,1.78,1553
"104",2021-07-02,1.7,1554
"105",2021-07-12,1.53666666666667,1564
"106",2021-07-26,1.68,1578
"107",2021-08-09,1.24,1592
"108",2021-08-23,1.45,1606
"109",2021-09-07,1.29,1621
"110",2021-09-20,1.17,1634
"111",2021-10-04,1.22,1648
"112",2021-10-18,1.46666666666667,1662
"113",2021-11-01,1.94,1676
"114",2021-11-15,2.28,1690
"115",2021-11-29,2.12,1704
"116",2021-12-13,1.09,1718
"117",2021-12-27,1.2,1732
"118",2022-01-10,1.18,1746
"119",2022-01-24,0.969,1760
"120",2022-02-07,1.62,1774
"121",2022-02-21,1.49,1788
"122",2022-03-07,1.33666666666667,1802
"123",2022-03-21,1.73,1816
"124",2022-04-04,1.48,1830
"125",2022-04-18,1.32,1844
"126",2022-05-02,1.21,1858
"127",2022-05-16,1.74,1872
"128",2022-05-31,1.42,1887
"129",2022-06-13,1.47,1900
"130",2022-06-27,1.57,1914
"131",2022-07-11,1.3,1928
"132",2022-07-25,1.43,1942
"133",2022-08-08,1.47,1956
"134",2022-08-22,1.64,1970
"135",2022-09-06,1.49,1985
"136",2022-09-19,1.39,1998
"137",2022-10-03,2.09666666666667,2012
"138",2022-10-17,1.71,2026
"139",2022-10-31,1.3,2040
"140",2022-11-14,1.98,2054
"141",2022-11-28,1.71,2068
"142",2022-12-12,1.12,2082
"143",2022-12-27,1.19,2097
"144",2023-01-09,1.20666666666667,2110
"145",2023-01-22,1.11,2123
"146",2023-01-23,1.13,2124
"147",2023-02-06,2.35,2138
"148",2023-02-20,2.12,2152
"149",2023-03-02,2.47,2162
"150",2023-03-06,1.82,2166
"151",2023-03-20,4.14,2180
"152",2023-04-03,1.95,2194
"153",2023-04-17,2.4,2208
"154",2023-05-01,3.71,2222
