"","date","S65E_TOTAL NITROGEN_mg/L","days"
"1",2015-08-12,1.29,12
"2",2017-03-20,1.02,598
"3",2017-04-24,0.957,633
"4",2017-05-08,1.14,647
"5",2017-06-05,0.952,675
"6",2017-06-19,1.66,689
"7",2017-07-05,1.71,705
"8",2017-07-17,1.75,717
"9",2017-08-01,1.8,732
"10",2017-08-14,1.78,745
"11",2017-08-28,1.41,759
"12",2017-09-13,1.16,775
"13",2017-09-25,1.04,787
"14",2017-10-09,1.24,801
"15",2017-10-23,1.24,815
"16",2017-11-06,1.23,829
"17",2017-11-20,1.33,843
"18",2017-12-04,1.37,857
"19",2017-12-18,1.54,871
"20",2018-01-16,1.24,900
"21",2018-02-12,1.15,927
"22",2018-03-12,1.25,955
"23",2018-03-26,1.11,969
"24",2018-04-09,1.44,983
"25",2018-04-23,1.29,997
"26",2018-05-07,1.09,1011
"27",2018-05-21,1.22,1025
"28",2018-06-04,1.96,1039
"29",2018-06-18,1.65,1053
"30",2018-07-02,1.6,1067
"31",2018-07-16,1.55,1081
"32",2018-07-30,1.68,1095
"33",2018-08-06,1.52,1102
"34",2018-08-20,1.36,1116
"35",2018-09-04,1.32,1131
"36",2018-09-17,1.27,1144
"37",2018-10-01,1.49,1158
"38",2018-10-04,1.42,1161
"39",2018-10-15,1.22,1172
"40",2018-10-29,1.21,1186
"41",2018-11-13,1.44,1201
"42",2018-11-26,1.37333333333333,1214
"43",2018-12-11,1.3,1229
"44",2018-12-26,1.33,1244
"45",2019-01-07,1.23,1256
"46",2019-01-22,1.26,1271
"47",2019-02-04,1.38,1284
"48",2019-02-18,1.44,1298
"49",2019-03-04,1.52333333333333,1312
"50",2019-03-06,1.49,1314
"51",2019-03-18,1.44,1326
"52",2019-04-08,1.24,1347
"53",2019-04-22,1.31,1361
"54",2019-05-06,1.13,1375
"55",2019-05-20,1.35,1389
"56",2019-06-03,1.21,1403
"57",2019-06-20,1.26,1420
"58",2019-07-01,2.76,1431
"59",2019-07-15,1.88,1445
"60",2019-07-29,1.5,1459
"61",2019-08-12,1.68,1473
"62",2019-08-26,1.33,1487
"63",2019-09-09,1.12,1501
"64",2019-09-23,1.32,1515
"65",2019-10-08,1.54,1530
"66",2019-10-21,1.34,1543
"67",2019-11-04,1.35,1557
"68",2019-11-18,1.4,1571
"69",2019-12-02,1.26,1585
"70",2019-12-16,1.12,1599
"71",2019-12-30,1.17,1613
"72",2020-01-13,1.42,1627
"73",2020-01-27,1.22,1641
"74",2020-02-10,1.27,1655
"75",2020-02-24,1.24,1669
"76",2020-03-09,1.24,1683
"77",2020-03-23,1.17,1697
"78",2020-04-06,1.21,1711
"79",2020-04-20,1.11,1725
"80",2020-05-04,1.21,1739
"81",2020-05-18,1.18,1753
"82",2020-06-01,1.47,1767
"83",2020-06-15,2.29,1781
"84",2020-06-29,1.64,1795
"85",2020-07-13,1.5,1809
"86",2020-07-27,1.31,1823
"87",2020-08-10,1.18,1837
"88",2020-08-24,1.14,1851
"89",2020-09-08,1.13,1866
"90",2020-09-21,1.12,1879
"91",2020-10-05,1.1,1893
"92",2020-10-19,1.12,1907
"93",2020-11-02,1.53,1921
"94",2020-11-16,1.43,1935
"95",2020-11-30,1.14,1949
"96",2020-12-14,1.04,1963
"97",2020-12-28,1.05,1977
"98",2021-01-11,1.07,1991
"99",2021-01-25,1.07,2005
"100",2021-02-08,1,2019
"101",2021-02-22,1.17,2033
"102",2021-03-08,1.16,2047
"103",2021-03-22,1.12,2061
"104",2021-04-05,1.26,2075
"105",2021-04-19,1.16,2089
"106",2021-05-03,1.17,2103
"107",2021-05-17,1.27,2117
"108",2021-06-01,1.14,2132
"109",2021-06-14,1.11,2145
"110",2021-06-28,1.01,2159
"111",2021-07-12,1.3,2173
"112",2021-07-26,1.25,2187
"113",2021-08-09,1.56,2201
"114",2021-08-23,1.62,2215
"115",2021-09-07,1.32,2230
"116",2021-09-20,1.28,2243
"117",2021-10-04,1.23,2257
"118",2021-10-18,1.23,2271
"119",2021-11-01,1.25,2285
"120",2021-11-15,1.32,2299
"121",2021-11-29,1.53,2313
"122",2021-12-13,1.2,2327
"123",2021-12-27,1.2,2341
"124",2022-01-10,1.23,2355
"125",2022-01-24,0.996,2369
"126",2022-02-07,1.25,2383
"127",2022-02-21,1.2,2397
"128",2022-03-07,1.21,2411
"129",2022-03-21,1.13,2425
"130",2022-04-04,1.28,2439
"131",2022-04-18,1.24,2453
"132",2022-05-02,1.49,2467
"133",2022-05-16,1.33,2481
"134",2022-05-31,1.34,2496
"135",2022-06-13,1.1,2509
"136",2022-06-27,1.14,2523
"137",2022-07-11,1.68,2537
"138",2022-07-25,1.44,2551
"139",2022-08-08,1.88,2565
"140",2022-08-22,1.92,2579
"141",2022-09-06,1.66,2594
"142",2022-09-19,1.84,2607
"143",2022-10-03,1.54,2621
"144",2022-10-17,1.14,2635
"145",2022-10-31,1.15,2649
"146",2022-11-14,1.19,2663
"147",2022-11-28,1.25,2677
"148",2022-12-12,1.04,2691
"149",2022-12-27,1.04,2706
"150",2023-01-09,0.977,2719
"151",2023-01-23,1.04,2733
"152",2023-02-06,1.05,2747
"153",2023-02-20,1.04,2761
"154",2023-03-06,1.06,2775
"155",2023-03-20,1.14,2789
"156",2023-04-03,0.964,2803
"157",2023-04-17,1.12,2817
"158",2023-05-01,1.13,2831
