"","date","S71_AMMONIA-N_mg/L","days"
"1",1973-04-16,0.07,16
"2",1973-04-23,0.13,23
"3",1973-04-30,0.11,29
"4",1973-05-07,0.5,36
"5",1973-05-14,0.04,43
"6",1973-05-21,0.08,50
"7",1973-05-29,0.09,58
"8",1973-06-04,0.07,64
"9",1973-06-11,0.03,71
"10",1973-06-18,0.07,78
"11",1973-06-25,0.05,85
"12",1973-07-02,0.22,92
"13",1973-07-09,0.21,99
"14",1973-07-16,0.17,106
"15",1973-07-23,0.22,113
"16",1973-07-30,0.11,120
"17",1973-08-06,0.3,127
"18",1973-08-13,0.27,134
"19",1973-08-20,0.17,141
"20",1973-08-27,0.2,148
"21",1973-09-04,0.47,156
"22",1973-09-10,0.17,162
"23",1973-09-17,0.54,169
"24",1973-09-24,0.45,176
"25",1973-10-01,0.79,183
"26",1973-10-08,0.3,190
"27",1973-10-15,0.07,197
"28",1973-10-23,0.17,205
"29",1973-10-29,0.12,212
"30",1973-11-13,0.09,227
"31",1973-11-26,0.05,240
"32",1973-12-11,0.12,255
"33",1973-12-17,0.1,261
"34",1974-01-29,0.02,303
"35",1974-02-27,0.04,332
"36",1974-03-21,NA,354
"37",1974-05-13,NA,407
"38",1974-05-28,0.13,422
"39",1974-06-10,0.02,435
"40",1974-07-08,0.46,463
"41",1974-07-22,0.05,477
"42",1974-08-05,0.22,491
"43",1974-08-19,0.5,505
"44",1974-09-03,0.19,520
"45",1974-09-16,0.08,533
"46",1974-09-30,0.12,547
"47",1974-10-14,0.25,561
"48",1974-10-28,0.08,576
"49",1974-11-12,0.11,591
"50",1974-11-25,0.06,604
"51",1974-12-09,0.06,618
"52",1974-12-23,0.09,632
"53",1975-01-06,0.06,646
"54",1975-01-21,0.09,661
"55",1975-02-03,0.02,674
"56",1975-02-17,NA,688
"57",1975-03-03,0.05,701
"58",1975-03-17,0.06,715
"59",1975-03-31,NA,729
"60",1975-04-14,0.03,743
"61",1975-04-29,NA,758
"62",1975-05-27,NA,786
"63",1975-06-09,0.12,799
"64",1975-06-16,0.2,806
"65",1975-06-24,0.07,814
"66",1975-06-30,0.01,820
"67",1975-07-07,0.15,827
"68",1975-07-15,0.17,835
"69",1975-07-22,0.28,842
"70",1975-07-28,0.13,848
"71",1975-08-04,0.73,855
"72",1975-08-11,0.41,862
"73",1975-08-18,0.13,869
"74",1975-08-25,0.02,876
"75",1975-09-02,0.07,884
"76",1975-09-09,0.06,891
"77",1975-09-15,0.11,897
"78",1975-09-25,0.02,907
"79",1975-09-29,NA,911
"80",1975-10-06,0.04,918
"81",1975-10-13,0.02,925
"82",1975-10-21,0.02,933
"83",1975-10-27,0.04,940
"84",1975-11-04,0.04,948
"85",1975-11-17,0.02,961
"86",1975-12-01,0.03,975
"87",1975-12-15,0.01,989
"88",1975-12-29,0.04,1003
"89",1976-01-12,0.03,1017
"90",1976-01-28,0.02,1033
"91",1976-02-09,NA,1045
"92",1976-02-20,0.14,1056
"93",1976-03-08,0.02,1073
"94",1976-03-23,0.01,1088
"95",1976-04-05,0.1,1101
"96",1976-04-19,0.02,1115
"97",1976-05-03,0.06,1128
"98",1976-05-17,0.03,1142
"99",1976-06-01,0.08,1157
"100",1976-06-14,0.27,1170
"101",1976-06-28,0.12,1184
"102",1976-07-12,0.59,1198
"103",1976-07-26,NA,1212
"104",1976-08-09,0.55,1226
"105",1976-08-23,0.07,1240
"106",1976-09-07,0.19,1255
"107",1976-09-20,0.07,1268
"108",1976-10-04,0.13,1282
"109",1976-10-18,0.12,1296
"110",1976-11-01,0.11,1311
"111",1976-11-15,0.04,1325
"112",1976-11-29,0.04,1339
"113",1976-12-27,0.03,1367
"114",1977-01-10,0.03,1381
"115",1977-01-24,0.03,1395
"116",1977-02-07,0.05,1409
"117",1977-02-23,0.07,1425
"118",1977-03-07,0.04,1437
"119",1977-03-21,0.02,1451
"120",1977-04-04,NA,1465
"121",1977-04-19,NA,1480
"122",1977-05-02,NA,1492
"123",1977-05-16,NA,1506
"124",1977-05-31,0.02,1521
"125",1977-06-13,0.07,1534
"126",1977-06-27,0.61,1548
"127",1977-07-11,0.05,1562
"128",1977-07-25,0.06,1576
"129",1977-08-08,NA,1590
"130",1977-08-22,0.02,1604
"131",1977-09-06,0.23,1619
"132",1977-09-19,0.216666666666667,1632
"133",1977-10-03,0.22,1646
"134",1977-10-17,0.1,1660
"135",1977-10-31,0.06,1675
"136",1977-11-21,NA,1696
"137",1977-12-05,0.12,1710
"138",1977-12-19,0.14,1724
"139",1978-01-04,0.16,1740
"140",1978-01-16,0.07,1752
"141",1978-01-30,0.04,1766
"142",1978-02-13,0.11,1780
"143",1978-02-27,0.07,1794
"144",1978-03-13,0.25,1808
"145",1978-03-27,0.02,1822
"146",1978-04-10,0.07,1836
"147",1978-04-24,0.07,1850
"148",1978-05-08,0.03,1863
"149",1978-05-22,0.03,1877
"150",1978-06-05,0.03,1891
"151",1978-06-19,0.11,1905
"152",1978-07-05,0.08,1921
"153",1978-07-17,0.3,1933
"154",1978-07-31,0.24,1947
"155",1978-08-14,0.13,1961
"156",1978-08-28,0.34,1975
"157",1978-09-11,1.02,1989
"158",1978-09-25,0.38,2003
"159",1978-10-09,0.29,2017
"160",1978-10-23,0.16,2031
"161",1978-11-20,0.09,2060
"162",1978-12-04,0.05,2074
"163",1978-12-19,0.07,2089
"164",1979-01-08,0.15,2109
"165",1979-01-22,0.13,2123
"166",1979-02-05,0.06,2137
"167",1979-02-20,0.07,2152
"168",1979-03-05,0.085,2165
"169",1979-03-19,0.0733333333333333,2179
"170",1979-04-02,0.04,2193
"171",1979-04-16,0.07,2207
"172",1979-04-30,0.01,2220
"173",1979-05-14,0.02,2234
"174",1979-05-29,0.04,2249
"175",1979-06-11,0.12,2262
"176",1979-06-25,0.29,2276
"177",1979-07-09,0.09,2290
"178",1979-07-23,0.15,2304
"179",1979-08-06,0.02,2318
"180",1979-08-20,0.49,2332
"181",1979-09-05,0.31,2348
"182",1979-09-18,0.35,2361
"183",1979-10-01,0.25,2374
"184",1979-10-15,0.16,2388
"185",1979-10-29,0.15,2403
"186",1979-11-14,0.08,2419
"187",1979-11-27,0.05,2432
"188",1979-12-12,0.1,2447
"189",1979-12-27,0.05,2462
"190",1980-01-08,0.05,2474
"191",1980-01-23,NA,2489
"192",1980-02-05,0.14,2502
"193",1980-02-20,0.06,2517
"194",1980-03-04,0.0433333333333333,2530
"195",1980-03-19,0.06,2545
"196",1980-04-02,0.1,2559
"197",1980-04-17,0.05,2574
"198",1980-04-30,0.03,2586
"199",1980-05-13,0.07,2599
"200",1980-05-28,0.03,2614
"201",1980-06-09,NA,2626
"202",1980-06-25,0.01,2642
"203",1980-07-08,0.01,2655
"204",1980-07-24,0.08,2671
"205",1980-08-04,0.04,2682
"206",1980-08-20,0.13,2698
"207",1980-09-03,0.38,2712
"208",1980-09-17,0.203333333333333,2726
"209",1980-10-01,0.08,2740
"210",1980-10-14,NA,2753
"211",1980-10-29,0.04,2769
"212",1980-11-12,0.14,2783
"213",1980-12-02,0.07,2803
"214",1980-12-31,NA,2832
"215",1981-01-14,NA,2846
"216",1981-01-27,NA,2859
"217",1981-02-11,0.13,2874
"218",1981-02-24,0.06,2887
"219",1981-03-10,0.05,2901
"220",1981-03-24,NA,2915
"221",1981-04-08,0.01,2930
"222",1981-04-21,NA,2943
"223",1981-05-06,0.12,2957
"224",1981-05-19,0.11,2970
"225",1981-06-02,0.02,2984
"226",1981-06-17,0.02,2999
"227",1981-06-30,0.01,3012
"228",1981-07-16,NA,3028
"229",1981-07-28,0.73,3040
"230",1981-08-12,0.04,3055
"231",1981-08-25,0.03,3068
"232",1981-09-10,0.28,3084
"233",1981-09-23,0.47,3097
"234",1981-10-06,0.37,3110
"235",1981-10-20,0.34,3124
"236",1981-11-04,0.02,3140
"237",1981-12-02,0.05,3168
"238",1981-12-29,0.02,3195
"239",1982-02-24,0.02,3252
"240",1982-03-09,0.01,3265
"241",1982-04-05,1.3,3292
"242",1982-05-04,0.156666666666667,3320
"243",1982-06-01,0.2,3348
"244",1982-06-14,NA,3361
"245",1982-06-30,0.67,3377
"246",1982-07-12,1.55,3389
"247",1982-07-27,1.28,3404
"248",1982-08-09,0.24,3417
"249",1982-08-25,1.43,3433
"250",1982-09-09,0.2,3448
"251",1982-09-21,0.12,3460
"252",1982-10-05,0.82,3474
"253",1982-10-20,1.4,3489
"254",1982-11-22,0.04,3523
"255",1982-12-22,0.02,3553
"256",1983-01-18,0.02,3580
"257",1983-02-01,0.13,3594
"258",1983-02-17,0.35,3610
"259",1983-03-02,0.4,3623
"260",1983-03-15,0.23,3636
"261",1983-03-29,0.31,3650
"262",1983-04-15,0.04,3667
"263",1983-04-26,0.06,3677
"264",1983-08-02,0.06,3775
"265",1983-10-25,0.06,3859
"266",1983-11-21,0.03,3887
"267",1984-02-28,0.09,3986
"268",1984-03-27,0.16,4014
"269",1984-04-09,0.13,4027
"270",1984-06-04,0.07,4082
"271",1984-08-27,0.09,4166
"272",1984-09-10,0.11,4180
"273",1984-09-25,0.04,4195
"274",1984-10-23,0.09,4223
"275",1984-11-19,0.04,4251
"276",1984-12-18,0.02,4280
"277",1985-01-15,0.02,4308
