"","date","S72_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.54,24
"2",2017-05-04,1.44,34
"3",2017-05-08,1.45,38
"4",2017-06-01,1.57,62
"5",2017-06-08,1.67,69
"6",2017-06-14,1.91,75
"7",2017-06-19,2.34,80
"8",2017-06-22,2.465,83
"9",2017-06-28,2.05,89
"10",2017-07-05,1.62,96
"11",2017-07-06,2.17,97
"12",2017-07-20,2.025,111
"13",2017-08-02,1.9,124
"14",2017-08-10,2.1,132
"15",2017-08-14,2.46,136
"16",2017-08-17,2.445,139
"17",2017-08-24,2.62,146
"18",2017-08-28,2.46,150
"19",2017-08-31,3.2,153
"20",2017-09-13,3.17,166
"21",2017-09-21,2.275,174
"22",2017-09-25,1.27,178
"23",2017-09-28,1.855,181
"24",2017-10-05,2.31,188
"25",2017-10-09,2.78,192
"26",2017-10-12,2.99,195
"27",2017-10-19,2.82,202
"28",2017-10-23,2.61,206
"29",2017-10-26,2.67,209
"30",2017-11-02,2.47,216
"31",2017-11-06,2.46,220
"32",2017-11-08,2.18,222
"33",2017-11-16,2.325,230
"34",2017-11-20,2.15,234
"35",2017-11-22,2.22,236
"36",2017-11-30,2.1,244
"37",2017-12-04,2.49,248
"38",2017-12-13,2.36,257
"39",2017-12-18,2.03,262
"40",2017-12-28,2.17,272
"41",2018-01-02,2.12,277
"42",2018-01-11,2.03,286
"43",2018-01-16,1.75,291
"44",2018-01-18,1.6,293
"45",2018-01-25,1.53,300
"46",2018-01-29,1.38,304
"47",2018-02-01,1.525,307
"48",2018-02-08,1.66,314
"49",2018-02-12,1.38,318
"50",2018-03-01,1.42,335
"51",2018-03-08,1.43,342
"52",2018-03-12,1.34,346
"53",2018-03-15,1.5,349
"54",2018-03-22,1.38,356
"55",2018-03-26,1.26,360
"56",2018-03-28,1.36,362
"57",2018-04-09,1.15,374
"58",2018-04-12,1.54,377
"59",2018-04-23,1.41,388
"60",2018-04-26,1.3,391
"61",2018-05-03,1.27,398
"62",2018-05-07,1.2,402
"63",2018-05-10,1.19,405
"64",2018-05-17,1.12,412
"65",2018-05-21,1.13,416
"66",2018-05-23,1.19,418
"67",2018-05-31,1.715,426
"68",2018-06-04,2.26,430
"69",2018-06-07,2.035,433
"70",2018-06-14,1.945,440
"71",2018-06-18,2.31,444
"72",2018-06-21,2.235,447
"73",2018-06-27,2.03,453
"74",2018-07-02,2.12,458
"75",2018-07-12,2.14,468
"76",2018-07-19,2.005,475
"77",2018-08-16,2.17,503
"78",2018-08-22,2.12,509
"79",2018-08-30,1.68,517
"80",2018-09-20,1.23,538
"81",2018-09-24,1.32,542
"82",2018-10-22,1.23,570
"83",2018-10-24,1.34,572
"84",2018-11-19,1.17,598
"85",2018-11-21,1.18,600
"86",2018-12-17,1.2,626
"87",2018-12-20,1.17,629
"88",2018-12-27,1.4,636
"89",2019-01-02,1.27,642
"90",2019-01-10,1.16,650
"91",2019-01-14,1.1,654
"92",2019-01-17,1.28,657
"93",2019-01-24,1.4,664
"94",2019-01-28,1.18,668
"95",2019-01-31,1.25,671
"96",2019-02-07,1.18,678
"97",2019-02-11,1.71,682
"98",2019-02-14,1.87,685
"99",2019-02-25,1.87,696
"100",2019-03-11,1.68,710
"101",2019-04-08,1.39,738
"102",2019-05-06,1.22,766
"103",2019-06-03,1.33,794
"104",2019-07-01,2.94,822
"105",2019-07-03,3.21,824
"106",2019-07-11,1.68,832
"107",2019-07-18,1.82,839
"108",2019-07-25,2.36,846
"109",2019-07-29,1.92,850
"110",2019-08-12,2.27,864
"111",2019-08-15,2.52,867
"112",2019-08-26,2.35,878
"113",2019-08-29,2.44,881
"114",2019-09-05,2.6,888
"115",2019-09-09,2.6,892
"116",2019-09-12,2.57,895
"117",2019-09-19,2.82,902
"118",2019-09-23,2.68,906
"119",2019-10-10,2.54,923
"120",2020-02-06,1.42,1042
"121",2020-02-10,1.34,1046
"122",2020-02-13,1.34,1049
"123",2020-03-09,1.54,1074
"124",2020-04-02,1.37,1098
"125",2020-04-06,1.37,1102
"126",2020-05-04,1.47,1130
"127",2020-05-06,1.66,1132
"128",2020-05-14,1.73,1140
"129",2020-06-01,1.83,1158
"130",2020-06-04,1.71,1161
"131",2020-06-11,2.18,1168
"132",2020-06-15,2.82,1172
"133",2020-06-18,2.91,1175
"134",2020-06-25,2.04,1182
"135",2020-06-29,2.16,1186
"136",2020-07-01,2.15,1188
"137",2020-07-09,2.59,1196
"138",2020-07-13,2.14,1200
"139",2020-07-16,2,1203
"140",2020-07-23,2.21,1210
"141",2020-07-27,2.94,1214
"142",2020-07-30,2.52,1217
"143",2020-08-05,3.24,1223
"144",2020-08-10,2.51,1228
"145",2020-08-12,2.41,1230
"146",2020-08-20,2.96,1238
"147",2020-08-24,2.69,1242
"148",2020-08-26,3.12,1244
"149",2020-09-02,2.43,1251
"150",2020-09-08,2.53,1257
"151",2020-09-10,2.35,1259
"152",2020-09-17,2.42,1266
"153",2020-09-21,2.44,1270
"154",2020-09-24,2.31,1273
"155",2020-10-01,2.27,1280
"156",2020-10-05,2.13,1284
"157",2020-10-08,2.36,1287
"158",2020-10-15,2.19,1294
"159",2020-10-19,2,1298
"160",2020-10-21,2.5,1300
"161",2020-10-28,2.08,1307
"162",2020-11-02,2.03,1312
"163",2020-11-05,2.08,1315
"164",2020-11-12,2.09,1322
"165",2020-11-16,2.29,1326
"166",2020-11-18,2.32,1328
"167",2020-11-24,2.18,1334
"168",2020-11-30,2.06,1340
"169",2020-12-03,2.11,1343
"170",2020-12-09,2.07,1349
"171",2020-12-14,1.84,1354
"172",2020-12-16,1.96,1356
"173",2020-12-23,1.84,1363
"174",2020-12-28,1.86,1368
"175",2020-12-29,2.03,1369
"176",2021-01-07,2.08,1378
"177",2021-01-11,1.86,1382
"178",2021-01-14,1.87,1385
"179",2021-01-21,1.7,1392
"180",2021-01-25,1.71,1396
"181",2021-01-27,1.49,1398
"182",2021-02-03,1.54,1405
"183",2021-02-08,1.53,1410
"184",2021-02-11,1.45,1413
"185",2021-02-22,1.37,1424
"186",2021-03-03,1.45,1433
"187",2021-03-18,1.32,1448
"188",2021-04-05,1.2,1466
"189",2021-04-08,1.11,1469
"190",2021-04-15,1.17,1476
"191",2021-04-19,1.14,1480
"192",2021-04-28,1.22,1489
"193",2021-05-03,1.71,1494
"194",2021-05-13,1.4,1504
"195",2021-05-20,1.43,1511
"196",2021-06-01,1.45,1523
"197",2021-06-23,1.41,1545
"198",2021-06-28,1.31,1550
"199",2021-06-30,1.4,1552
"200",2021-07-08,4.19,1560
"201",2021-07-12,5.64,1564
"202",2021-07-15,2.78,1567
"203",2021-07-22,2.08,1574
"204",2021-07-26,2.03,1578
"205",2021-07-28,2,1580
"206",2021-08-05,2.19,1588
"207",2021-08-09,2.18,1592
"208",2021-08-12,2.07,1595
"209",2021-08-19,2.08,1602
"210",2021-08-23,1.87,1606
"211",2021-08-26,1.94,1609
"212",2021-09-02,1.78,1616
"213",2021-09-07,1.71,1621
"214",2021-09-09,1.72,1623
"215",2021-09-14,1.75,1628
"216",2021-09-20,1.65,1634
"217",2021-09-23,2.08,1637
"218",2021-09-29,1.9,1643
"219",2021-10-04,1.66,1648
"220",2021-10-07,1.53,1651
"221",2021-10-13,1.66,1657
"222",2021-10-18,1.59,1662
"223",2021-10-21,1.59,1665
"224",2021-10-28,1.49,1672
"225",2021-11-01,1.56,1676
"226",2021-11-03,1.51,1678
"227",2021-11-10,1.54,1685
"228",2021-11-15,1.39,1690
"229",2021-11-18,1.52,1693
"230",2021-11-23,1.56,1698
"231",2021-12-15,1.72,1720
"232",2021-12-22,1.57,1727
"233",2021-12-27,1.95,1732
"234",2021-12-29,1.8,1734
"235",2022-01-06,1.81,1742
"236",2022-01-10,1.79,1746
"237",2022-01-13,1.93,1749
"238",2022-01-19,1.72,1755
"239",2022-01-24,1.44,1760
"240",2022-01-26,1.44,1762
"241",2022-02-03,1.55,1770
"242",2022-02-07,1.52,1774
"243",2022-02-09,1.47,1776
"244",2022-02-16,1.6,1783
"245",2022-02-21,1.54,1788
"246",2022-02-24,1.35,1791
"247",2022-03-07,1.22,1802
"248",2022-03-17,1.175,1812
"249",2022-03-30,1.235,1825
"250",2022-04-04,1.1,1830
"251",2022-05-02,1.1,1858
"252",2022-05-31,1.72,1887
"253",2022-06-02,1.885,1889
"254",2022-06-09,1.365,1896
"255",2022-06-13,1.8,1900
"256",2022-06-15,1.84,1902
"257",2022-06-23,1.74,1910
"258",2022-06-27,1.8,1914
"259",2022-06-30,1.79,1917
"260",2022-07-07,1.765,1924
"261",2022-07-11,1.67,1928
"262",2022-07-14,1.76,1931
"263",2022-07-20,1.85,1937
"264",2022-07-25,1.78,1942
"265",2022-07-28,1.89,1945
"266",2022-08-17,1.645,1965
"267",2022-08-22,2.19,1970
"268",2022-08-24,1.39,1972
"269",2022-09-06,1.51,1985
"270",2022-09-08,1.37,1987
"271",2022-09-14,1.745,1993
"272",2022-09-19,2.93,1998
"273",2022-09-22,2.76,2001
"274",2022-09-27,2.46,2006
"275",2022-10-03,2.86,2012
"276",2022-10-05,2.675,2014
"277",2022-10-13,1.98,2022
"278",2022-10-17,1.95,2026
"279",2022-10-20,2.21,2029
"280",2022-10-26,2.38,2035
"281",2022-10-31,2.33,2040
"282",2022-11-02,2.225,2042
"283",2022-11-14,2.02,2054
"284",2022-11-17,2.28,2057
"285",2022-11-22,2.115,2062
"286",2022-11-28,2.24,2068
"287",2022-11-30,2.165,2070
"288",2022-12-07,1.83,2077
"289",2022-12-12,2,2082
"290",2022-12-14,1.555,2084
"291",2022-12-21,1.415,2091
"292",2022-12-27,1.59,2097
"293",2022-12-29,1.37,2099
"294",2023-01-04,1.265,2105
"295",2023-01-09,1.48,2110
"296",2023-01-11,1.26,2112
"297",2023-01-18,1.205,2119
"298",2023-01-23,1.62,2124
"299",2023-01-25,1.33,2126
"300",2023-02-01,1.52,2133
"301",2023-02-06,1.46,2138
"302",2023-02-16,1.51,2148
"303",2023-02-20,1.62,2152
"304",2023-02-22,1.345,2154
"305",2023-03-06,1.23,2166
"306",2023-03-20,1.32,2180
"307",2023-04-03,1.27,2194
"308",2023-04-17,1.11,2208
"309",2023-04-19,1.32,2210
"310",2023-04-27,1.195,2218
"311",2023-05-01,1.16,2222
"312",2023-05-04,1.29,2225
"313",2023-05-11,1.365,2232
