"","date","S77_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-13,31.1,13
"2",2010-11-03,12.4,34
"3",2010-11-17,11.3,48
"4",2010-12-01,12.3,62
"5",2010-12-13,10.3,74
"6",2011-01-05,14.7,97
"7",2011-01-20,31.6,112
"8",2011-02-03,18.3,126
"9",2011-03-02,6.9,153
"10",2011-03-16,19.1,167
"11",2011-04-06,14.1,188
"12",2011-04-20,10.9,202
"13",2011-05-04,13.8,216
"14",2011-05-18,16.8,230
"15",2011-06-08,15.3,251
"16",2011-06-22,23.3,265
"17",2011-07-06,11,279
"18",2011-07-20,7.23,293
"19",2011-08-10,12.2,314
"20",2011-08-24,7.72,328
"21",2011-09-07,12.2,342
"22",2011-09-21,6.49,356
"23",2011-10-05,5.24,370
"24",2011-10-19,9.21,384
"25",2011-11-02,5.2,398
"26",2011-11-16,23,412
"27",2011-12-07,8.78,433
"28",2011-12-21,1.65,447
"29",2012-01-04,15.2,461
"30",2012-01-18,14.9,475
"31",2012-02-08,20.2,496
"32",2012-02-22,25.8,510
"33",2012-03-07,40.5,524
"34",2012-03-21,12.4,538
"35",2012-04-04,12.1,552
"36",2012-04-18,10.6,566
"37",2012-05-02,30.1,580
"38",2012-05-16,15.7,594
"39",2012-06-06,15.2,615
"40",2012-06-20,17.6,629
"41",2012-07-11,35.1,650
"42",2012-07-25,45.4,664
"43",2012-08-08,16.7,678
"44",2012-08-22,6.84,692
"45",2012-09-05,24.3,706
"46",2012-09-19,8.24,720
"47",2012-10-03,28.1,734
"48",2012-10-17,25.6,748
"49",2012-11-01,4.18,763
"50",2012-11-14,5.86,776
"51",2012-11-28,8.6,790
"52",2012-12-12,2.89,804
"53",2012-12-27,3.5,819
"54",2013-01-09,10.9,832
"55",2013-01-23,6.09,846
"56",2013-01-30,14.4,853
"57",2013-02-06,10.3,860
"58",2013-02-21,10.6,875
"59",2013-03-06,7.7,888
"60",2013-03-13,8.87,895
"61",2013-03-20,8.78,902
"62",2013-04-03,13.7,916
"63",2013-04-17,12.8,930
"64",2013-05-01,14.1,944
"65",2013-05-15,21,958
"66",2013-05-29,22,972
"67",2013-06-12,38.1,986
"68",2013-06-26,13,1000
"69",2013-07-10,11.8,1014
"70",2013-07-24,10.1,1028
"71",2013-08-07,15.8,1042
"72",2013-08-21,9.95,1056
"73",2013-09-04,8.97,1070
"74",2013-09-18,6.11,1084
"75",2013-10-02,26.2,1098
"76",2013-10-16,14.6,1112
"77",2013-10-30,15.9,1126
"78",2013-11-14,18.5,1141
"79",2013-11-26,15.3,1153
"80",2013-12-11,13.4,1168
"81",2013-12-23,9.93,1180
"82",2014-01-08,29.3,1196
"83",2014-01-22,14.7,1210
"84",2014-02-05,23.6,1224
"85",2014-02-19,15.5,1238
"86",2014-03-05,14.5,1252
"87",2014-03-19,15.4,1266
"88",2014-04-02,33,1280
"89",2014-04-16,41.7,1294
"90",2014-04-30,9.16,1308
"91",2014-05-14,12.7,1322
"92",2014-05-28,13.6,1336
"93",2014-06-11,12,1350
"94",2014-06-25,20.8,1364
"95",2014-07-09,24.5,1378
"96",2014-07-23,27.2,1392
"97",2014-08-06,5.15,1406
"98",2014-08-20,23.3,1420
"99",2014-09-03,10.2,1434
"100",2014-09-17,1.35,1448
"101",2014-10-01,5.18,1462
"102",2014-10-15,1.22,1476
"103",2014-10-29,7.54,1490
"104",2014-11-12,7.94,1504
"105",2014-11-26,3.41,1518
"106",2014-12-10,6.96,1532
"107",2014-12-23,5.55,1545
"108",2015-01-07,5.35,1560
"109",2015-01-21,4.87,1574
"110",2015-02-04,12.6,1588
"111",2015-02-18,14.1,1602
"112",2015-03-04,12.2,1616
"113",2015-03-18,6.82,1630
"114",2015-04-01,6.39,1644
"115",2015-04-15,8.7,1658
"116",2015-04-29,10.9,1672
"117",2015-05-13,58.1,1686
"118",2015-05-27,7.54,1700
"119",2015-05-28,12.74,1701
"120",2015-06-10,10.1,1714
"121",2015-06-24,21.7,1728
"122",2015-07-08,5.89,1742
"123",2015-08-05,14.6,1770
"124",2015-08-19,2.87,1784
"125",2015-09-02,13.2,1798
"126",2015-09-16,3.1,1812
"127",2015-09-30,2.57,1826
"128",2015-10-14,1.81,1840
"129",2015-10-28,1.88,1854
"130",2015-11-10,4.46,1867
"131",2015-11-24,7.22,1881
"132",2015-12-09,7.78,1896
"133",2015-12-21,19.4,1908
"134",2016-01-04,8.8,1922
"135",2016-01-19,6.73,1937
"136",2016-02-01,7.47,1950
"137",2016-02-15,12.7,1964
"138",2016-02-29,10.9,1978
"139",2016-03-14,7.35,1992
"140",2016-03-28,6.02,2006
