"","date","S77_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",2005-09-13,46,13
"2",2005-09-27,12,27
"3",2005-10-11,29,41
"4",2005-11-22,4,83
"5",2006-01-17,2,139
"6",2006-02-22,8,175
"7",2006-03-07,7,188
"8",2006-04-04,19,216
"9",2006-05-02,8,244
"10",2006-05-16,8.5,258
"11",2006-05-30,6,272
"12",2006-06-13,15.5,286
"13",2006-06-27,6,300
"14",2006-07-05,33,308
"15",2006-07-17,16,320
"16",2006-08-07,129.5,341
"17",2006-08-21,20,355
"18",2006-09-11,82.5,376
"19",2006-09-25,20,390
"20",2006-10-09,9,404
"21",2006-10-23,10,418
"22",2006-11-27,10,453
"23",2006-12-18,7.5,474
"24",2006-12-20,9,476
"25",2006-12-28,2.5,484
"26",2007-01-03,3,490
"27",2007-01-10,4,497
"28",2007-01-24,7,511
"29",2007-02-07,2,525
"30",2007-02-21,5,539
"31",2007-06-18,12,656
"32",2007-07-09,11,677
"33",2007-07-23,8,691
"34",2007-08-06,10,705
"35",2007-09-10,6,740
"36",2007-09-24,4,754
"37",2007-10-08,2,768
"38",2007-10-22,15,782
"39",2007-11-13,4,804
"40",2007-11-26,2,817
"41",2007-12-05,6,826
"42",2007-12-19,2,840
"43",2008-01-02,5,854
"44",2008-01-16,2.5,868
"45",2008-02-06,12.5,889
"46",2008-02-20,1,903
"47",2008-03-05,10,917
"48",2008-03-19,9,931
"49",2008-04-02,16.5,945
"50",2008-04-16,4,959
"51",2008-05-14,15.5,987
"52",2008-05-28,9,1001
"53",2008-06-11,21,1015
"54",2008-06-25,13,1029
"55",2008-07-16,4.5,1050
"56",2008-07-30,8,1064
"57",2008-08-13,15.5,1078
"58",2008-08-28,8,1093
"59",2008-09-10,17,1106
"60",2008-09-24,7.5,1120
"61",2008-10-08,8.5,1134
"62",2008-10-22,68,1148
"63",2008-11-05,4,1162
"64",2008-11-19,2,1176
"65",2008-12-03,2,1190
"66",2008-12-17,4,1204
"67",2009-01-07,4,1225
"68",2009-01-21,22,1239
"69",2009-02-04,6,1253
"70",2009-02-18,10,1267
"71",2009-03-11,10,1288
"72",2009-03-25,8,1302
"73",2009-04-08,11,1316
"74",2009-05-06,7,1344
"75",2009-05-20,7,1358
"76",2009-06-03,40.5,1372
"77",2009-06-17,27.5,1386
"78",2009-07-08,6,1407
"79",2009-07-22,51,1421
"80",2009-08-12,57,1442
"81",2009-08-26,30,1456
"82",2010-05-12,17,1715
"83",2010-05-26,10.5,1729
"84",2010-06-16,19.5,1750
"85",2010-06-30,11.5,1764
"86",2010-07-14,32,1778
"87",2010-07-28,21,1792
"88",2010-08-04,13,1799
"89",2010-08-18,20,1813
"90",2010-09-15,10,1841
"91",2010-09-29,4,1855
"92",2010-10-13,26,1869
"93",2010-10-27,9,1883
"94",2010-11-03,12,1890
"95",2010-11-17,13,1904
"96",2010-12-01,14,1918
"97",2010-12-13,12,1930
"98",2011-01-05,17,1953
"99",2011-01-20,33,1968
"100",2011-02-03,21,1982
"101",2011-03-02,8,2009
"102",2011-03-16,18,2023
"103",2011-04-06,17,2044
"104",2011-04-20,12,2058
