"","date","S77_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,0.101,9
"2",1973-04-23,0.004,23
"3",1973-04-30,NA,29
"4",1973-05-07,0.026,36
"5",1973-05-21,0.004,50
"6",1973-05-29,NA,58
"7",1973-06-04,0.303,64
"8",1973-06-11,NA,71
"9",1973-06-18,NA,78
"10",1973-06-25,NA,85
"11",1973-07-02,0.042,92
"12",1973-07-09,0.02,99
"13",1973-07-16,0.033,106
"14",1973-07-23,0.041,113
"15",1973-07-30,0.124,120
"16",1973-08-06,0.098,127
"17",1973-08-13,0.175,134
"18",1973-08-20,0.094,141
"19",1973-08-27,0.214,148
"20",1973-09-04,0.199,156
"21",1973-09-10,0.232,162
"22",1973-09-17,0.287,169
"23",1973-09-24,0.205,176
"24",1973-10-01,0.192,183
"25",1973-10-08,0.34,190
"26",1973-10-15,0.184,197
"27",1973-10-23,0.164,205
"28",1973-10-29,0.144,212
"29",1973-11-13,0.07,227
"30",1973-11-26,0.03,240
"31",1973-12-11,0.17,255
"32",1973-12-17,0.086,261
"33",1974-01-29,0.091,303
"34",1974-02-27,0.08,332
"35",1974-03-21,0.06,354
"36",1974-05-13,0.01,407
"37",1974-05-28,NA,422
"38",1974-06-10,NA,435
"39",1974-06-24,NA,449
"40",1974-07-08,0.036,463
"41",1974-07-22,0.021,477
"42",1974-08-05,0.083,491
"43",1974-08-19,0.097,505
"44",1974-09-03,0.046,520
"45",1974-10-01,0.011,548
"46",1974-10-14,0.226,561
"47",1974-10-28,0.033,576
"48",1974-11-13,0.045,592
"49",1974-11-25,0.111,604
"50",1974-12-09,0.164,618
"51",1974-12-23,0.145,632
"52",1975-01-06,0.048,646
"53",1975-01-21,0.126,661
"54",1975-02-03,0.039,674
"55",1975-02-17,0.082,688
"56",1975-03-03,0.15,701
"57",1975-03-17,0.02,715
"58",1975-03-31,0.06,729
"59",1975-04-14,NA,743
"60",1975-04-29,0.06,758
"61",1975-05-27,0.097,786
"62",1975-06-09,0.066,799
"63",1975-06-16,0.01,806
"64",1975-06-24,0.015,814
"65",1975-06-30,0.074,820
"66",1975-07-07,NA,827
"67",1975-07-15,0.115,835
"68",1975-07-22,0.102,842
"69",1975-07-28,0.148,848
"70",1975-08-04,0.033,855
"71",1975-08-11,0.075,862
"72",1975-08-18,0.356,869
"73",1975-08-25,0.169,876
"74",1975-09-02,0.254,884
"75",1975-09-09,0.148,891
"76",1975-09-15,0.222,897
"77",1975-09-25,0.511,907
"78",1975-10-06,0.333,918
"79",1975-10-13,0.308,925
"80",1975-10-21,0.243,933
"81",1975-10-27,0.256,940
"82",1975-11-04,0.279,948
"83",1975-11-17,0.244,961
"84",1975-12-01,0.058,975
"85",1975-12-15,0.081,989
"86",1975-12-29,0.334,1003
"87",1976-01-12,0.047,1017
"88",1976-01-28,0.078,1033
"89",1976-02-09,0.059,1045
"90",1976-02-20,0.082,1056
"91",1976-03-08,0.096,1073
"92",1976-03-23,0.041,1088
"93",1976-04-19,0.109,1115
"94",1976-05-03,0.049,1128
"95",1976-05-17,0.086,1142
"96",1976-06-01,0.037,1157
"97",1976-06-14,0.14,1170
"98",1976-06-28,0.087,1184
"99",1976-07-12,0.057,1198
"100",1976-07-26,0.076,1212
"101",1976-08-09,0.037,1226
"102",1976-08-23,0.142,1240
"103",1976-09-07,0.324,1255
"104",1976-09-20,0.072,1268
"105",1976-10-04,0.031,1282
"106",1976-10-18,0.066,1296
"107",1976-11-01,0.052,1311
"108",1976-11-15,0.211,1325
"109",1976-11-29,0.211,1339
"110",1976-12-27,0.212,1367
"111",1977-01-10,0.23,1381
"112",1977-01-24,0.542,1395
"113",1977-02-07,0.399,1409
"114",1977-02-23,0.248,1425
"115",1977-03-07,0.226,1437
"116",1977-03-21,0.177,1451
"117",1977-04-04,0.009,1465
"118",1977-04-19,NA,1480
"119",1977-05-02,NA,1492
"120",1977-05-16,0.012,1506
"121",1977-05-31,0.006,1521
"122",1977-06-13,0.021,1534
"123",1977-06-27,NA,1548
"124",1977-07-11,0.01,1562
"125",1977-07-25,NA,1576
"126",1977-08-08,0.0253333333333333,1590
"127",1977-08-22,0.014,1604
"128",1977-09-06,0.113,1619
"129",1977-09-19,0.073,1632
"130",1977-10-03,0.033,1646
"131",1977-10-17,0.164,1660
"132",1977-10-31,0.064,1675
"133",1977-11-21,1.282,1696
"134",1977-12-05,0.698,1710
"135",1977-12-19,0.72,1724
"136",1978-01-04,0.716,1740
"137",1978-01-16,0.181,1752
"138",1978-01-30,0.387666666666667,1766
"139",1978-02-13,0.103,1780
"140",1978-02-27,0.183,1794
"141",1978-03-13,0.23,1808
"142",1978-03-27,0.158,1822
"143",1978-04-10,0.016,1836
"144",1978-04-24,0.007,1850
"145",1978-05-08,0.114,1863
"146",1978-05-22,0.082,1877
"147",1978-06-05,NA,1891
"148",1978-06-19,0.026,1905
"149",1978-07-05,0.0126666666666667,1921
"150",1978-07-17,0.029,1933
"151",1978-07-31,0.107,1947
"152",1978-08-14,0.133,1961
"153",1978-08-28,0.014,1975
"154",1978-09-11,0.005,1989
"155",1978-09-25,0.013,2003
"156",1978-10-10,NA,2018
"157",1978-10-23,0.03,2031
"158",1978-11-20,0.083,2060
"159",1978-12-04,0.039,2074
"160",1978-12-19,0.06,2089
"161",1979-01-08,0.233,2109
"162",1979-01-22,0.071,2123
"163",1979-02-05,0.0506666666666667,2137
"164",1979-02-20,0.033,2152
"165",1979-03-05,0.059,2165
"166",1979-03-19,0.062,2179
"167",1979-04-02,0.071,2193
"168",1979-04-16,0.012,2207
"169",1979-04-30,0.013,2220
"170",1979-05-14,0.43,2234
"171",1979-05-29,NA,2249
"172",1979-06-11,0.01,2262
"173",1979-06-25,0.034,2276
"174",1979-07-09,NA,2290
"175",1979-07-23,0.064,2304
"176",1979-08-06,0.011,2318
"177",1979-08-20,NA,2332
"178",1979-09-05,NA,2348
"179",1979-09-18,0.692,2361
"180",1979-10-01,NA,2374
"181",1979-10-15,0.152,2388
"182",1979-10-29,0.033,2403
"183",1979-11-14,0.072,2419
"184",1979-11-27,0.117,2432
"185",1979-12-12,0.231,2447
"186",1979-12-27,0.195,2462
"187",1980-01-08,0.214,2474
"188",1980-03-19,0.122,2545
"189",1980-04-02,0.117,2559
"190",1980-04-17,0.141,2574
"191",1980-04-30,0.045,2586
"192",1980-05-13,0.016,2599
"193",1980-05-28,0.081,2614
"194",1980-06-09,0.023,2626
"195",1980-06-25,0.042,2642
"196",1980-07-08,0.017,2655
"197",1980-07-24,0.129,2671
"198",1980-08-04,0.0643333333333333,2682
"199",1980-08-20,0.077,2698
"200",1980-09-03,0.085,2712
"201",1980-09-17,0.248,2726
"202",1980-10-01,0.12,2740
"203",1980-10-14,0.022,2753
"204",1980-10-29,0.029,2769
"205",1980-11-12,0.081,2783
"206",1980-12-02,0.133,2803
"207",1980-12-18,0.019,2819
"208",1980-12-31,0.149,2832
"209",1981-01-13,0.08,2845
"210",1981-01-27,0.123,2859
"211",1981-02-10,0.189,2873
"212",1981-02-24,0.235,2887
"213",1981-03-10,0.044,2901
"214",1981-03-24,0.046,2915
"215",1981-04-08,0.004,2930
"216",1981-04-21,0.007,2943
"217",1981-05-05,0.014,2956
"218",1981-05-19,NA,2970
"219",1981-06-02,NA,2984
"220",1981-06-16,0.009,2998
"221",1981-06-30,0.029,3012
"222",1981-07-15,0.027,3027
"223",1981-07-28,0.093,3040
"224",1981-08-11,0.031,3054
"225",1981-08-25,0.163,3068
"226",1981-09-09,0.102,3083
"227",1981-09-23,0.394,3097
"228",1981-10-05,0.144,3109
"229",1981-10-20,0.01,3124
"230",1981-11-03,0.177,3139
"231",1981-12-01,1.472,3167
"232",1981-12-29,0.135,3195
"233",1982-01-11,0.108,3208
"234",1982-02-09,0.023,3237
"235",1982-02-24,0.126,3252
"236",1982-04-05,0.017,3292
"237",1982-04-19,NA,3306
"238",1982-05-03,0.011,3319
"239",1982-05-18,NA,3334
"240",1982-06-01,0.384,3348
