"","date","S77_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1973-04-09,0.041,9
"2",1973-04-16,0.029,16
"3",1973-04-23,0.03,23
"4",1973-04-30,0.034,29
"5",1973-05-07,0.035,36
"6",1973-05-14,0.04,43
"7",1973-05-21,0.03,50
"8",1973-05-29,0.06,58
"9",1973-06-04,0.05,64
"10",1973-06-11,0.03,71
"11",1973-06-18,0.02,78
"12",1973-06-25,0.05,85
"13",1973-07-02,0.047,92
"14",1973-07-09,0.055,99
"15",1973-07-16,0.08,106
"16",1973-07-23,0.06,113
"17",1973-07-30,0.15,120
"18",1973-08-06,0.165,127
"19",1973-08-13,0.104,134
"20",1973-08-20,0.134,141
"21",1973-08-27,0.163,148
"22",1973-09-04,0.105,156
"23",1973-09-10,0.114,162
"24",1973-09-17,0.12,169
"25",1973-09-24,0.144,176
"26",1973-10-01,0.175,183
"27",1973-10-08,0.175,190
"28",1973-10-15,0.084,197
"29",1973-10-23,0.115,205
"30",1973-10-29,0.104,212
"31",1973-11-13,0.06,227
"32",1973-11-26,0.101,240
"33",1973-12-11,0.15,255
"34",1973-12-17,0.02,261
"35",1974-01-29,0.08,303
"36",1974-02-27,0.04,332
"37",1974-03-21,0.05,354
"38",1974-05-28,0.03,422
"39",1974-06-10,0.039,435
"40",1974-06-24,0.13,449
"41",1974-07-08,0.437,463
"42",1974-07-22,0.194,477
"43",1974-08-05,0.127,491
"44",1974-08-19,0.092,505
"45",1974-09-03,0.059,520
"46",1974-10-01,0.169,548
"47",1974-10-14,0.05,561
"48",1974-10-28,0.083,576
"49",1974-11-13,0.021,592
"50",1974-11-25,0.039,604
"51",1974-12-09,0.042,618
"52",1975-01-06,0.048,646
"53",1975-01-21,0.038,661
"54",1975-02-03,0.049,674
"55",1975-02-17,0.076,688
"56",1975-03-03,0.038,701
"57",1975-03-17,0.055,715
"58",1975-03-31,0.04,729
"59",1975-04-14,0.029,743
"60",1975-04-29,0.029,758
"61",1975-05-27,0.027,786
"62",1975-06-09,0.03,799
"63",1975-06-16,0.053,806
"64",1975-06-24,0.175,814
"65",1975-06-30,0.113,820
"66",1975-07-07,0.131,827
"67",1975-07-15,0.155,835
"68",1975-07-22,0.193,842
"69",1975-07-28,0.17,848
"70",1975-08-04,0.195,855
"71",1975-08-11,0.194,862
"72",1975-08-18,0.18,869
"73",1975-08-25,0.163,876
"74",1975-09-02,0.148,884
"75",1975-09-09,0.162,891
"76",1975-09-15,0.14,897
"77",1975-09-25,0.129,907
"78",1975-09-29,0.117,911
"79",1975-10-06,0.144,918
"80",1975-10-13,0.129,925
"81",1975-10-21,0.103,933
"82",1975-10-27,0.097,940
"83",1975-11-04,0.083,948
"84",1975-11-17,0.049,961
"85",1975-12-01,0.037,975
"86",1975-12-15,0.032,989
"87",1975-12-29,0.029,1003
"88",1976-01-12,0.024,1017
"89",1976-01-28,0.023,1033
"90",1976-02-09,0.03,1045
"91",1976-02-20,0.029,1056
"92",1976-03-08,0.034,1073
"93",1976-03-23,0.041,1088
"94",1976-04-05,0.038,1101
"95",1976-04-19,0.026,1115
"96",1976-05-03,0.02,1128
"97",1976-05-17,0.029,1142
"98",1976-06-01,0.035,1157
"99",1976-06-14,0.062,1170
"100",1976-06-28,0.057,1184
"101",1976-07-12,0.081,1198
"102",1976-07-26,0.118,1212
"103",1976-08-09,0.154,1226
"104",1976-08-23,0.154,1240
"105",1976-09-07,0.151,1255
"106",1976-09-20,0.212,1268
"107",1976-10-04,0.117,1282
"108",1976-10-18,0.052,1296
"109",1976-11-01,0.038,1311
"110",1976-11-15,0.045,1325
"111",1976-11-29,0.013,1339
"112",1976-12-27,0.072,1367
"113",1977-01-10,0.046,1381
"114",1977-01-24,0.084,1395
"115",1977-02-07,0.05,1409
"116",1977-03-07,0.06,1437
"117",1977-03-21,0.085,1451
"118",1977-04-04,0.062,1465
"119",1977-04-19,0.051,1480
"120",1977-05-02,0.036,1492
"121",1977-05-16,0.037,1506
"122",1977-05-31,0.008,1521
"123",1977-06-13,0.037,1534
"124",1977-06-27,0.038,1548
"125",1977-07-11,0.085,1562
"126",1977-07-25,0.027,1576
"127",1977-08-08,0.0343333333333333,1590
"128",1977-08-22,0.075,1604
"129",1977-09-06,0.056,1619
"130",1977-09-19,0.188,1632
"131",1977-10-03,0.189,1646
"132",1977-10-17,0.063,1660
"133",1977-11-21,0.071,1696
"134",1977-12-05,0.101,1710
"135",1977-12-19,0.138,1724
"136",1978-01-04,0.065,1740
"137",1978-01-16,0.047,1752
"138",1978-01-30,0.055,1766
"139",1978-02-13,0.044,1780
"140",1978-02-27,0.047,1794
"141",1978-03-13,0.052,1808
"142",1978-03-27,0.087,1822
"143",1978-04-10,0.093,1836
"144",1978-04-24,0.074,1850
"145",1978-05-08,0.074,1863
"146",1978-05-22,0.107,1877
"147",1978-06-05,0.085,1891
"148",1978-06-19,0.089,1905
"149",1978-07-05,0.054,1921
"150",1978-07-17,0.07,1933
"151",1978-07-31,0.094,1947
"152",1978-08-14,0.152,1961
"153",1978-08-28,0.062,1975
"154",1978-09-11,0.096,1989
"155",1978-09-25,0.101,2003
"156",1978-10-10,0.099,2018
"157",1978-10-23,0.035,2031
"158",1978-11-20,0.044,2060
"159",1978-12-04,0.039,2074
"160",1978-12-19,0.026,2089
"161",1979-01-08,0.038,2109
"162",1979-01-22,0.047,2123
"163",1979-02-05,0.051,2137
"164",1979-02-20,0.036,2152
"165",1979-03-05,0.057,2165
"166",1979-03-19,0.035,2179
"167",1979-04-02,0.073,2193
"168",1979-04-16,0.044,2207
"169",1979-04-30,0.058,2220
"170",1979-05-14,0.165,2234
"171",1979-05-29,0.047,2249
"172",1979-06-11,0.069,2262
"173",1979-06-25,0.046,2276
"174",1979-07-09,0.043,2290
"175",1979-07-23,0.096,2304
"176",1979-08-06,0.051,2318
"177",1979-08-20,0.083,2332
"178",1979-09-05,0.15,2348
"179",1979-09-18,0.526,2361
"180",1979-10-01,0.328,2374
"181",1979-10-15,0.027,2388
"182",1979-10-29,0.046,2403
"183",1979-11-14,0.037,2419
"184",1979-11-27,0.072,2432
"185",1979-12-27,0.041,2462
"186",1980-01-08,0.038,2474
"187",1980-03-19,0.057,2545
"188",1980-04-02,0.081,2559
"189",1980-04-17,0.035,2574
"190",1980-04-30,0.06,2586
"191",1980-05-13,0.05,2599
"192",1980-05-28,0.038,2614
"193",1980-06-09,0.022,2626
"194",1980-06-25,0.098,2642
"195",1980-07-08,0.046,2655
"196",1980-07-24,0.105,2671
"197",1980-08-04,0.0716666666666667,2682
"198",1980-08-20,0.276,2698
"199",1980-09-03,0.246,2712
"200",1980-09-17,0.242,2726
"201",1980-10-01,0.21,2740
"202",1980-10-14,0.019,2753
"203",1980-10-29,0.022,2769
"204",1980-11-12,0.03,2783
"205",1980-12-02,0.224,2803
"206",1980-12-18,0.039,2819
"207",1980-12-31,0.035,2832
"208",1981-01-13,0.061,2845
"209",1981-01-27,0.047,2859
"210",1981-02-10,0.046,2873
"211",1981-02-24,0.118,2887
"212",1981-03-10,0.048,2901
"213",1981-03-24,0.042,2915
"214",1981-04-08,0.047,2930
"215",1981-04-21,0.046,2943
"216",1981-05-05,0.0316666666666667,2956
"217",1981-05-19,0.052,2970
"218",1981-06-02,0.031,2984
"219",1981-06-16,0.027,2998
"220",1981-06-30,0.05,3012
"221",1981-07-15,0.043,3027
"222",1981-07-28,0.052,3040
"223",1981-08-11,0.038,3054
"224",1981-08-25,0.214,3068
"225",1981-09-09,0.248,3083
"226",1981-09-23,0.146,3097
"227",1981-10-05,0.31,3109
"228",1981-10-20,0.045,3124
"229",1981-11-03,0.107,3139
"230",1981-12-01,0.072,3167
"231",1981-12-29,0.079,3195
"232",1982-01-11,0.054,3208
"233",1982-02-09,0.056,3237
"234",1982-02-24,0.07,3252
"235",1982-04-05,0.08,3292
"236",1982-04-19,0.107,3306
"237",1982-05-03,0.107,3319
"238",1982-05-18,0.054,3334
"239",1982-06-01,0.28,3348
"240",1982-06-30,0.239,3377
"241",1982-07-27,0.236,3404
"242",1982-08-24,0.18,3432
"243",1982-09-09,0.148,3448
"244",1982-09-21,0.162,3460
"245",1982-10-19,0.074,3488
"246",1982-11-22,NA,3523
"247",1982-12-06,0.066,3537
"248",1982-12-21,0.175,3552
"249",1983-01-18,0.061,3580
"250",1983-02-01,0.042,3594
"251",1983-02-17,0.12,3610
